# 2011 RORC Mainseries IRC Four - Myth of Malham Race (Fri 27 May 11 08:00:00) - 44 boats - https://www.rorc.org/raceresults/2011/four05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA28747,Ultreia!,JPK 9.60,Matthias Kracht,2H,28 May - 18:09:49,1 - 10:09:49,0.977,1 - 09:22:40,
2,94,FRA27997,Night And Day,JPK 9.60,Pascal Loison,,28 May - 17:50:24,1 - 09:50:24,0.996,1 - 09:42:17,
3,90,GBR8316,Rapscallion,Sigma 38,Peter Diamond,,28 May - 19:02:24,1 - 11:02:24,0.985,1 - 10:30:52,
4,86,GBR3851,Hephzibah,High Tension 36,David Lees,,28 May - 20:29:31,1 - 12:29:31,0.948,1 - 10:35:40,
5,83,GBR4365T,Enigma,MG 346,Ian Braham,,28 May - 20:35:11,1 - 12:35:11,0.951,1 - 10:47:37,
6,80,GBR993R,Astarte,First 34.7,Nick & Suzi Jones,2H,28 May - 19:22:55,1 - 11:22:55,0.988,1 - 10:57:27,
7,78,GBR8287,Persephone of London,Sigma 38,Nigel Goodhew,,28 May - 19:58:50,1 - 11:58:50,0.985,1 - 11:26:27,
8,76,GBR8146,Vitesse,Sigma 38,Jon England,J England & P Hopps,28 May - 20:20:39,1 - 12:20:39,0.985,1 - 11:47:56,
9,74,GBR8329,Zanzara,Sigma 38,Nick Gale,,28 May - 20:36:14,1 - 12:36:14,0.985,1 - 12:03:17,
10,72,NED118,Winsome,S&S 41,Harry Heijst,,28 May - 20:25:25,1 - 12:25:25,0.991,1 - 12:05:45,
11,70,GBR1206L,Elmarleen,Sigma 33c,Will Sayer,2H,29 May - 01:57:55,1 - 17:57:55,0.863,1 - 12:12:58,
12,68,FRA9834,Exile/Mirabaud,X 34,Nicolas de la Fourniere,2H,28 May - 20:26:52,1 - 12:26:52,0.994,1 - 12:13:45,
13,66,FRA3730,Vim,Aphrodite 101,Frederic Waniart,2H,28 May - 23:58:35,1 - 15:58:35,0.909,1 - 12:20:19,
14,65,GBR6388T,Marta,Sigma 38,Brian Skeet,,28 May - 21:24:34,1 - 13:24:34,0.985,1 - 12:50:54,
15,64,GBR8519T,Polly's Kettle,Dehler 36 CWS,Simon Law,,28 May - 22:45:04,1 - 14:45:04,0.952,1 - 12:53:28,
16,63,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,2H,28 May - 22:40:32,1 - 14:40:32,0.958,1 - 13:03:04,
17,62,GBR3936,British Beagle,Sigma 36,Charles Emmett,2H,28 May - 23:29:05,1 - 15:29:05,0.939,1 - 13:04:34,
18,61,FRA6770,Iromiguy,Nicholson 33,Jean Yves Chateau,,29 May - 00:47:18,1 - 16:47:18,0.911,1 - 13:09:29,
19,60,GBR9297R,Jika Jika,J/97,Mike & Jamie Holmes,2H Jamie Holmes & Tom Whicher,28 May - 22:25:48,1 - 14:25:48,0.983,1 - 13:46:36,
20,59,FRA14828,Excalibur III,X 342 7/8 Mod,Bertrand Lavandier,,28 May - 23:31:35,1 - 15:31:35,0.961,1 - 13:59:05,
21,58.5,GBR7848T,Storm Trooper,Sunfast 37,Stormforce Coaching,Adam Smith,28 May - 22:18:04,1 - 14:18:04,0.994,1 - 14:04:17,
22,58,GBR6687T,Skywave,Elan 333,Royal Signals Yacht Club,Darren Gale,28 May - 23:27:59,1 - 15:27:59,0.971,1 - 14:19:19,
23,57.5,GBR8879T,Scherzo,Contention 33,Peter Eustace,2H,29 May - 02:16:52,1 - 18:16:52,0.913,1 - 14:36:10,
24,57,CO651,Drumbeat,Contessa 32,Eldred Himsworth,2H M Himsworth & Pierre Walrafen,29 May - 05:00:15,1 - 21:00:15,0.870,1 - 15:09:13,
25,56.5,GBR8352,Mefisto,Sigma 38,Kevin Sussmilch,,28 May - 23:52:22,1 - 15:52:22,0.985,1 - 15:16:29,
26,56,GBR5615T,No Fear,Sigma 38,Mark Prosper,,29 May - 00:46:17,1 - 16:46:17,0.985,1 - 16:09:35,
27,55.5,GBR3689,Mavis III of Gosport,Carter 36 Custom,Stephen Winter,,29 May - 02:39:20,1 - 18:39:20,0.948,1 - 16:26:15,
28,55,GBR3800T,Flying Formula,Sigma 38,David McCarthy,,29 May - 01:21:24,1 - 17:21:24,0.985,1 - 16:44:11,
29,54.5,GBR8799T,Wild Spirit,Sun Odyssey 40,Paul Jackson,,29 May - 01:31:36,1 - 17:31:36,0.988,1 - 17:01:42,
30,54,GBR4300,Imperator,SJ 35,Paul Waxman,,29 May - 04:10:00,1 - 20:10:00,0.957,1 - 18:16:03,
31,53.5,GBR9939,Flame,Sweden 38,Martin Fordham,,29 May - 03:03:15,1 - 19:03:15,0.983,1 - 18:19:20,
32,53,GBR1751T,Spellbinder Of Wytch,Starlight 39,Phoenix Yacht Club,Trevor Nicholls,29 May - 05:09:40,1 - 21:09:40,0.947,1 - 18:46:03,
33,52.5,GBR5007T,Little Spirit,First 375,Brian Cooper,,29 May - 06:33:02,1 - 22:33:02,0.934,1 - 19:28:42,
34,52,GBR1655R,Baron,Swan 411,David Stupples,,29 May - 05:52:00,1 - 21:52:00,0.982,1 - 21:02:28,
35,51.5,GBR579R,Tehani,Contessa 32,Corrie McQueen,2H,29 May - 11:51:32,2 - 03:51:32,0.869,1 - 21:03:55,
36,51,GBR3297,Galliver II,Sigma 38,Stephen Orland,,29 May - 06:13:00,1 - 22:13:00,0.985,1 - 21:31:24,
37,50.5,GBR2557L,Seize The Day,Moody 425,John Robbins,Gareth Wear,29 May - 14:34:20,2 - 06:34:20,0.903,2 - 01:16:43,
38,50,GBR2899,Freebird,Sadler 34,Jonti Clews,2H,29 May - 16:30:42,2 - 08:30:42,0.892,2 - 02:24:30,
39,49.5,GBR1921L,Yoda,Sigma 38,Paul Johnson,Duncan Bishop,29 May - 14:54:10,2 - 06:54:10,0.985,2 - 06:04:45,
40,49,GBR644R,Maybird,Shepherd 43 Classic,Maybird Classic Sailing,Darryl Hughes,30 May - 09:08:13,3 - 01:08:13,0.904,2 - 18:06:57,
,10,GBR1184,Volante,Camper & Nicholson 38,Tony (A.K.) Harwood,,,,0.865,,DNF-Did Not Finish
,10,GBR6013,Dans La Rouge,First 325,S. Grigg & A. Jackson,Simon Grigg,,,0.913,,DNF-Did Not Finish
,10,GBR3591T,Nokomis,Sigma 362,Andy Theobald,,,,0.931,,DNF-Did Not Finish
,10,GBR9956,Draig O'R Mor,Dehler 36,Kay & Kevin Stibbs,,,,0.985,,DNF-Did Not Finish
