# 2011 RORC Mainseries IRC Overall - Cervantes Trophy Race (Sat 30 Apr 11) - 106 boats - https://www.rorc.org/raceresults/2011/ircoverall02.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR521R,Bob,Farr 52,R Gray & S Laidlaw,Brett Aarons,,13:45:56,1.320,18:10:14,
2,94,GBR1298R,John B,Grand Soleil 54,Charles Ivill,,,16:36:51,1.152,19:08:22,
3,90,GBR42N,La Réponse,First 40,Andrew McIrvine,,,17:51:37,1.085,19:22:42,
4,86,GBR4757R,Joopster,J 122,Neil Kipling,,,17:58:41,1.088,19:33:36,
5,83,FRA25767,Exception,X 40,Patrick Ponchelet,,,18:26:53,1.062,19:35:31,
6,80,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,,19:30:10,1.008,19:39:32,
7,78,GBR111N,Arabella,J 111,Niall Dowling,Michael Boyd,,18:22:42,1.094,20:06:21,
8,76,GBR7207T,Trustmarque Playing Around,First 40.7,Peter Robson,,,18:56:29,1.063,20:08:05,
9,74,FRA9677,Orange mecaniX,X 41,Maxime de Mareuil,,,18:20:57,1.098,20:08:51,
10,72,GBR7383R,Visit Malta Puma,Reflex 38,Sailing Logic Ltd,Tim Thubron,,18:52:45,1.070,20:12:03,
11,70,BEL613,Rackham,JPK 110,Eric van Campenhout,,,19:12:25,1.054,20:14:39,
12,68,GBR731T,Tanit,Sydney 36,Paul and Richard Harris,,,19:03:48,1.065,20:18:09,
13,66,GBR5400,Swan Valhalla,Swan 55 Yawl,Sam van Holthe/Nick Fothergill,Sam van Holthe,,19:16:16,1.057,20:22:10,
14,65,FRA28738,Gwaihir Venturi,Dufour 34,Philippe Rios,,,20:50:41,0.981,20:26:55,
15,64,GBR8407R,Encore,First 40.7,Steven Anderson,,,19:17:40,1.060,20:27:08,
16,63,GBR8410R,Premier Flair,Elan 410,Jim Macgregor,Geoff Johns,,19:10:40,1.071,20:32:22,
17,62,FRA3730,Vim,Aphrodite 101,Frederic Waniart,,,22:44:36,0.909,20:40:25,
18,61,GBR4365T,Enigma,MG 346,Ian Braham,,,21:45:14,0.951,20:41:17,
19,60,NED4616,Fandango,Ff110,William Hutchinson,,,20:11:08,1.025,20:41:25,
