# 2011 RORC Mainseries IRC Overall - De Guingand Bowl Race (Sat 14 May 11) - 70 boats - https://www.rorc.org/raceresults/2011/ircoverall03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,NED46,Tonnerre de Breskens 3,Ker 46,Piet Vroon,,,14:56:16,1.262,18:51:05,
2,94,GBR521R,Bob,Farr 52,R Gray & S Laidlaw,Brett Aarons,,14:20:03,1.320,18:55:16,
3,90,GBR1298R,John B,Grand Soleil 54,Charles Ivill,,,16:33:46,1.152,19:04:49,
4,86,GBR236R,Erivale III,Ker 39,Michael Greville,,,17:29:22,1.107,19:21:39,
5,83,GBR2215L,Quokka 8,Grand Soleil 43,Sailing Logic Ltd/Peter Rutter,Philippe Falle,,17:41:29,1.099,19:26:34,
6,80,GBR42N,La Réponse,First 40,Andrew McIrvine,,,18:08:09,1.085,19:40:39,
7,78,GBR4241L,Brevity,Club Swan 42,Mark Devereux,,,17:02:13,1.170,19:56:00,
8,76,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,,19:57:51,1.008,20:07:26,
9,74,GBR111N,Arabella,J/111,Niall Dowling,Michael Boyd,,18:28:04,1.091,20:08:54,
10,72,GBR7835R,Solan Goose of Hamble,A 35,Peter Olden,,,19:39:51,1.032,20:17:36,
11,70,GBR1859L,Tarka II Of Hamble,First 40,Guy Prest,,,18:46:15,1.082,20:18:36,
12,68,GBR5433R,Jammy Dodger,J/133,Neil Martin,Andrew Horrocks,,18:27:27,1.101,20:19:18,
13,66,FRA29483,Major Tom,Dufour 34,Fabrice Tropres,,,20:56:04,0.979,20:29:41,
14,65,NED118,Winsome,S&S 41,Harry Heijst,,,20:41:10,0.991,20:30:00,
15,64,GBR7716R,Psipsina,HOD 35,Paddy Cronin,,,20:18:48,1.010,20:30:59,
16,63,FRA28747,Ultreia!,JPK 9.60,Matthias Kracht,,,21:01:28,0.977,20:32:27,
17,62,GBR6525N,Revive,Prima 38,Paul A Farrands,,,19:17:47,1.076,20:45:46,
18,61,GBR9205R,Diablo-J,J/105,Nick Martin,,,20:36:06,1.008,20:45:59,
19,60,FRA9816,Adrenaline,Prism 28,Pierre Viard,,,21:04:47,0.990,20:52:08,
20,59,FRA3730,Vim,Aphrodite 101,Frederic Waniart,,,22:58:39,0.909,20:53:12,
21,58.5,FRA36601,Botez Coat IV,J/109,Yves Dervieux,,,20:38:30,1.012,20:53:22,
22,58,GBR979R,Malice,HOD 35,Mike Moxley,,,20:19:26,1.028,20:53:35,
23,57.5,FRA21660,Stamina II,A 40,Sean Hurst,,,19:14:44,1.098,21:07:54,
24,57,GBR9956,Draig O'R Mor,Dehler 36,Kay & Kevin Stibbs,Kay Stibbs,,21:30:17,0.985,21:10:56,
25,56.5,GBR918R,Jarhead,J/109,Greg Nasmyth,,,20:39:47,1.029,21:15:44,
26,56,GBR6504N,Talisman,Prima 38,Simon Harwood,,,19:52:23,1.072,21:18:14,
27,55.5,GBR8329,Zanzara,Sigma 38,Nick Gale,,,21:38:58,0.985,21:19:29,
28,55,GBR932R,Velocity Girl,VQ 32,Richard Lett,,,20:50:10,1.025,21:21:25,
29,54.5,GBR722R,Voador,J/105,Nikki Curwen,,,21:06:31,1.012,21:21:43,
30,54,GBR8543R,Offbeat,J/109,David McLeman,,,21:04:19,1.015,21:23:17,
31,53.5,GBR9297R,Jika Jika,J/97,Mike & Jamie Holmes,Jamie Holmes,,21:45:44,0.983,21:23:32,
32,53,GBR667R,Space Race,First 40.7,Jonathan Blanshard,,,20:22:24,1.053,21:27:11,
33,52.5,GBR4365T,Enigma,MG 346,Ian Braham,,,22:36:00,0.951,21:29:33,
34,52,GBR815,Longue Pierre,Dehler 38,D Cooper & P England,David Cooper,,22:16:41,0.974,21:41:56,
35,51.5,GBR8633R,Jings,J/133,David Ballantyne,,,19:29:33,1.120,21:49:54,
36,51,GBR8170R,Euphorix,First 40.7,Paul Dentskevich,,,20:40:17,1.061,21:55:56,
37,50.5,GBR8809R,Inspara,J/109,Tor McLaren,,,21:21:17,1.028,21:57:10,
38,50,GBR6665R,Cajou,IMX 40,Mark Chatfield,,,20:42:16,1.068,22:06:44,
39,49.5,GBR5615T,No Fear,Sigma 38,Mark Prosper,,,22:32:40,0.985,22:12:23,
40,49,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,,23:15:28,0.958,22:16:51,
41,48.5,GBR8445R,Beaurepere,Grand Soleil 45,Jon Howes,Martin Hill,,20:50:08,1.071,22:18:54,
42,48,GBR8342,Inspiration of BOSS,Sigma 38,Peter Ellis,Vincent Lemoine,,23:16:18,0.985,22:55:21,
43,47.5,GBR6671T,Blue Juice,First 40.7,Trevor Drew,,,21:36:42,1.064,22:59:41,
44,47,GBR9109T,Red Arrow,J/109,RAFSA,Jorg Lobbedey,,22:26:01,1.029,23:05:03,
45,46.5,GBR9503T,Jamira,J/109,Mark Tracey,,,22:44:00,1.016,23:05:49,
46,46,GBR8799T,Wild Spirit,Sun Odyssey 40,Paul Jackson,,,23:27:28,0.988,23:10:35,
47,45.5,GBR8972T,Inseyandra,Bavaria 46 C,Solent Sail Ltd,Martin Thomas,,21:51:45,1.061,23:11:46,
48,45,GBR5236R,Rare,Figaro II,Ian Hoddle,,,21:10:26,1.105,23:23:50,
49,44.5,GBR6013,Dans La Rouge,First 325,S. Grigg & A. Jackson,Simon Grigg,,1 - 01:38:38,0.913,23:24:46,
50,44,GBR7735R,Eaujet,A 35,Mike West,,,22:55:04,1.033,23:40:27,
51,43.7,GBR8874R,Challenger 4,Challenge 72,Tall Ships,Stephen Durkin,,19:54:25,1.191,23:42:33,
52,43.4,GBR1232T,Phantom,Laurent Giles 44,Ashley Weston,,,21:57:06,1.082,23:45:06,
53,43.1,USA50794,Eclipse,First 42s7,Greg Conary,,,23:28:52,1.015,23:50:00,
54,42.8,GBR8873R,Challenger 3,Challenge 72,Tall Ships,Ricky Chalmers,,20:03:25,1.191,23:53:16,
55,42.5,GBR8872R,Challenger 2,Challenge 72,Tall Ships,Paul Chedd,,20:26:01,1.191,1 - 00:20:11,
56,42.2,GBR8368T,Adelaide Star,Bavaria 44,Commodore Yachting,Stuart Cooper,,23:20:19,1.043,1 - 00:20:32,
57,41.9,GBR1751T,Spellbinder Of Wytch,Starlight 39,Phoenix Yacht Club,Trevor Nicholls,,1 - 01:43:19,0.947,1 - 00:21:31,
58,41.6,GBR888,Rainbow UK,Contessa 32,Lee Egan,,,1 - 04:00:19,0.870,1 - 00:21:53,
59,41.3,GBR5007T,Little Spirit,First 375,Brian Cooper,,,1 - 02:07:02,0.934,1 - 00:23:37,
60,41,GBR7041R,Anticipation,First 40.7,Peter Newlands,,,23:19:25,1.059,1 - 00:41:59,
61,40.7,GBR8030T,Brisbane Star,Bavaria 37,Maurice Futerman,,,1 - 02:35:19,0.964,1 - 01:37:53,
62,40.4,GBR4973T,Exocet,IMX 38,Janet Pilkington,Liz Simons,,1 - 00:34:25,1.049,1 - 01:46:40,
63,40.1,GBR3297,Galliver II,Sigma 38,Stephen Orland,,,1 - 02:18:36,0.985,1 - 01:54:55,
64,39.8,GBR2899,Freebird,Sadler 34,Jonti Clews,,,1 - 05:21:08,0.892,1 - 02:10:56,
66,39.2,GBR282,Emerald Star,Bavaria 44,Commodore Yachting,Tony Brown,,1 - 03:00:20,1.012,1 - 03:19:47,
67,38.9,GBR644R,Maybird,Shepherd 43 Classic,Maybird Classic Sailing,Darryl Hughes,,1 - 08:13:48,0.904,1 - 05:08:09,
68,38.6,GBR1946L,Morwenna,Burnett 45 Pilot Cutter,Traditional Sailing,Stuart Jenkins,,1 - 12:40:00,0.925,1 - 09:55:00,
65,37.4,GBR8871R,Challenger 1,Challenge 72,Tall Ships,Martin Layng,,22:25:43,1.191,1 - 02:42:45,"Place 10% Penalty, Minimum 1 Places"
,10,GBR922R,Juno,X 34,Charles Whittam,,,,1.001,,DNF-Did Not Finish
,10,GBR4757R,Joopster,J/122,Neil Kipling,,,,1.088,,DNF-Did Not Finish
