# 2011 RORC Mainseries IRC Overall - North Sea Race (Fri 3 Jun 11) - 53 boats - https://www.rorc.org/raceresults/2011/ircoverall06.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,NED46,Tonnerre de Breskens 3,Ker 46,Piet Vroon,,,20:10:55,1.262,1 - 01:28:11,
2,94,GBR4321R,Oystercatcher XXVIII,Humphreys 54,Richard Matthews,,,18:38:20,1.390,1 - 01:54:29,
3,90,SWE20002,Pleomax,Volvo 60,Harm Prins,,,18:54:23,1.417,1 - 02:47:25,
4,86,NED8220,Pacha driven by E-Mission,Salona 42ibc,David de Graaf,Erik van Vuuren,,23:57:59,1.118,1 - 02:47:40,
5,83,NED8291,Miles 4 Justice,Dehler 41,Geertjan Knoops,,,23:48:20,1.132,1 - 02:56:52,
6,80,GBR720R,Assarain IV,J/133,Angus Bates,,,1 - 00:42:42,1.100,1 - 03:10:58,
7,78,NED8135,Bateleur,Bashford & Howison 41,Marco de Bat,,,1 - 00:38:23,1.108,1 - 03:18:03,
8,76,NED42039,Baraka Gp,Swan 42,Piet de Graaf,Mees de Graaf,,23:33:47,1.159,1 - 03:18:34,
9,74,NED45026,Checkmate,Swan 45,Peter De Ridder,,,23:18:07,1.176,1 - 03:24:11,
10,72,BEL3939,Allard Natural Stone,Sydney 39,Rudi Floridor,Tom Wyffels,,1 - 01:04:03,1.100,1 - 03:34:27,
11,70,NED7990,Yeti,J/109,Paul van der Pol,,,1 - 03:07:42,1.030,1 - 03:56:32,
12,68,NED1261,Pinta-M,S&S 41,Atse Blei,,,1 - 04:50:01,0.972,1 - 04:01:35,
13,66,NED7275,Captain Jack,J/109,Bert Visser,,,1 - 03:22:32,1.028,1 - 04:08:31,
14,65,GBR1424R,Heartbeat IV,Dufour 45e,Jason Payne-James,,,1 - 01:51:59,1.095,1 - 04:19:25,
15,64,NED7975,Blue June,Standfast 43,Henk Zomer,,,1 - 04:18:48,1.002,1 - 04:22:12,
16,63,GBR9707R,Inn Spirit,Humphreys 11m,Alan Bartlett,Ian Hart,,1 - 03:28:20,1.041,1 - 04:35:55,
17,62,NED8810,Taonga,Marten 49,Ferry Jantzen,,,23:05:02,1.249,1 - 04:49:54,
18,61,GBR111N,Arabella,J/111,Niall Dowling,Michael Boyd,,1 - 02:26:31,1.091,1 - 04:50:53,
19,60,NED3888,Ace,Bashford & Howison 36,Ard Moerman,,,1 - 03:09:29,1.069,1 - 05:01:55,
20,59,GBR7707T,Fay J,J/105,Stan Fenton,,,1 - 05:04:05,1.009,1 - 05:19:47,
21,58.5,NED13,Maas,X 35,Nanno Aukes,,,1 - 04:09:18,1.049,1 - 05:32:05,
22,58,GBR9205R,Diablo-J,J 105,Nick Martin,,,1 - 05:30:11,1.008,1 - 05:44:21,
23,57.5,GBR976R,Selene,Swan 44,Adrian Lower,,,1 - 05:39:07,1.003,1 - 05:44:27,
24,57,GBR7714R,White Knight of Wessex,HOD 35,James Neville,,,1 - 05:23:20,1.012,1 - 05:44:30,
