# 2011 RORC Mainseries IRC Overall - Cowes-Dinard-St Malo Race (Fri 8 Jul 11) - 159 boats - https://www.rorc.org/raceresults/2011/ircoverall09.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR6210L,Uxorious IV,Swan 62,Colin Buffin,,,21:34:06,1.228,1 - 02:29:09,
2,94,FRA34978,Ame-Hasle,A 35,Franck-Yves Escoffier,,,1 - 01:45:20,1.035,1 - 02:39:25,
3,90,NED46,Tonnerre de Breskens 3,Ker 46,Piet Vroon,,,21:26:27,1.262,1 - 03:03:30,
4,86,SUI1957,Near Miss,TP 52,Franck Noel,Benoit Briand,,19:32:27,1.386,1 - 03:05:01,
5,83,FRA36777,Codiam,Grand Soleil 43,N Loday & J C Nicoleau,Nicolas Loday,,1 - 00:48:46,1.103,1 - 03:22:07,
6,80,GBR2215L,Quokka 8,Grand Soleil 43,Sailing Logic Ltd/Peter Rutter,Philippe Falle,,1 - 00:55:26,1.099,1 - 03:23:29,
7,78,FRA36789,L'Ange De Milon,Landmark 43,Jacques Pelletier,,,23:47:18,1.158,1 - 03:32:49,
8,76,GBR6889R,Keronimo,Ker 40,Jonathan Goring,,,23:08:26,1.196,1 - 03:40:34,
9,74,FRA36859,Stamina III,A 40,Michel Peretie,,,1 - 01:32:00,1.089,1 - 03:48:21,
10,72,GBR236R,Erivale III,Ker 39,Michael Greville,,,1 - 00:56:21,1.117,1 - 03:51:25,
11,70,GBR714R,Carpe Diem,First 40,Nigel Wakefield,Edward Broadway,,1 - 01:47:51,1.083,1 - 03:56:19,
12,68,FRA122,Pen Azen,J/122,Philippe Delaporte,,,1 - 01:45:00,1.086,1 - 03:57:52,
13,66,GBR8633R,Jings,J/133,David Ballantyne,,,1 - 00:59:34,1.120,1 - 03:59:31,
14,65,SWE20002,Pleomax,Volvo 60,Harm Prins,,,19:49:41,1.421,1 - 04:10:32,
15,64,FRA34646,Lann Ael,JPK 110,Didier Gaudoux,,,1 - 03:19:00,1.035,1 - 04:16:22,
16,63,FRA35800,Iritis,First 40,Herve Benic,,,1 - 02:18:36,1.086,1 - 04:34:22,
17,62,FRA390,Agence Directe,A 35,Francois Carluer,,,1 - 03:59:37,1.027,1 - 04:44:58,
18,61,GBR42N,La Réponse,First 40,Andrew McIrvine,,,1 - 02:37:50,1.085,1 - 04:53:39,
19,60,FRA37372,UrukaÏ,First 40,Catherine Pourre,,,1 - 02:41:52,1.084,1 - 04:56:25,
