# 2012 RORC Mainseries IRC Four - North Sea Race (Fri 18 May 12 10:30:00) - 10 boats - https://www.rorc.org/raceresults/2012/four03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,90,GBR7707T,Fay J,J/105,Stan Fenton,,19 May - 13:34:12,1 - 03:04:12,1.006,1 - 03:13:57,
2,84,NED8244,Harpoen,J/105,Harry Rek,,19 May - 14:43:45,1 - 04:13:45,0.991,1 - 03:58:30,
3,80,GBR9462R,Amazon,Sun Fast 3200,Tony & Chuffy Merewether,,19 May - 15:07:03,1 - 04:37:03,1.000,1 - 04:37:03,
4,76,GBR9224R,Upstart,J/92s,Tim Cross,,19 May - 15:52:42,1 - 05:22:42,0.994,1 - 05:12:07,
5,73,GBR8876T,Panther,J/105,Yvonne Beusker,,19 May - 16:36:08,1 - 06:06:08,1.003,1 - 06:11:33,
6,70,GBR3015,McGregor IV,MG 38,Peter Ward,,19 May - 19:24:15,1 - 08:54:15,0.972,1 - 07:58:58,
7,68,BEL8585,Red Rooster,Pogo 8.50,Gwyn Hagenaers,2H,19 May - 19:38:00,1 - 09:08:00,0.969,1 - 08:06:22,
8,66,GBR1751T,Spellbinder Of Wytch,Starlight 39,Phoenix Yacht Club,Trevor Nicholls,19 May - 21:55:19,1 - 11:25:19,0.944,1 - 09:26:18,
,10,NED700,L' Esprit Du Morbihan,Carter 38 Custom / Tina,Vincent De Vries,,,,0.929,,DNS-Did Not Start
,10,GBR3921,Cosmic Dancer III,Baltic 37,Russell Walker,,,,0.964,,DNF-Did Not Finish
