# 2012 RORC Mainseries IRC Four - Round Ireland Race (Sun 24 Jun 12 12:00:00) - 13 boats - https://www.rorc.org/raceresults/2012/four06.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,93,IRL3861,Cavatina,Granada 38,Ian Hickey,,30 Jun - 09:56:20,5 - 21:56:20,0.923,5 - 11:00:35,
2,87,IRL3607,LC Tyres Lulabelle,First 36.7,Coyne/Flahive,,30 Jun - 00:47:34,5 - 12:47:34,1.006,5 - 13:35:22,
3,83,GBR1505R,Twister,First 31.7,T Fair & D Fletcher,,30 Jun - 10:37:39,5 - 22:37:39,0.952,5 - 15:46:53,
4,79,IRL1397,IOSS - Desert Star,Sunfast 37,Ronan O'Siochru,,30 Jun - 08:38:00,5 - 20:38:00,0.974,5 - 16:58:37,
5,76,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,30 Jun - 11:03:16,5 - 23:03:16,0.958,5 - 17:02:46,
6,73,IRL2260,Sarnia,S&S,Michael Creedon,,30 Jun - 22:47:21,6 - 10:47:21,0.891,5 - 17:55:02,
7,71,FRA9631,Adelie,First 34.7,Peter Hall,,30 Jun - 06:10:12,5 - 18:10:12,1.004,5 - 18:43:22,
8,69,GBR8799T,Wild Spirit,Sun Odyssey 40,Paul Jackson,,30 Jun - 09:20:20,5 - 21:20:20,0.982,5 - 18:47:41,
9,67,IRL8237T,Persistance,Sigma 38,Jerry Collins,,30 Jun - 10:26:34,5 - 22:26:34,0.985,5 - 20:18:22,
10,65,IRL2504,Pink Panther,Jenneau 40.3,Anthony Keane,,30 Jun - 17:26:24,6 - 05:26:24,0.940,5 - 20:28:25,
11,63,GBR4690R,Fastrak VIII,Sunfast 3200,Nigel Colley,,30 Jun - 09:21:42,5 - 21:21:42,0.996,5 - 20:47:46,
12,61,IRL3175,Legally Blonde,First 31.7,P Egan & C Drohan,,30 Jun - 16:48:50,6 - 04:48:50,0.954,5 - 21:58:06,
13,59,GBR6848T,Ocean Tango,Dehler 34,Floate & Norton,,1 Jul - 05:41:20,6 - 17:41:20,0.928,6 - 06:02:50,
