# 2012 RORC Mainseries IRC Four - Cowes-Dinard-St Malo Race (Fri 13 Jul 12 10:00:00) - 28 boats - https://www.rorc.org/raceresults/2012/four08.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA5348,Moontiger,J/105,Jean-pierre Bonnet,,14 Jul - 10:54:39,1 - 00:54:39,1.002,1 - 00:57:38,
2,94,FRA960,Leonardo,JPK 9.60,Eric Mordret,,14 Jul - 11:33:25,1 - 01:33:25,0.986,1 - 01:11:57,
3,90,NED118,Winsome,S&S 41,Harry Heijst,,14 Jul - 12:12:05,1 - 02:12:05,0.991,1 - 01:57:56,
4,86,GBR5777,Alchemist,Half Tonner,Mark Wynter,,14 Jul - 14:19:24,1 - 04:19:24,0.924,1 - 02:10:15,
5,83,FRA35450,Gwez-Gwern,Symphonie,Jacques Minet,,14 Jul - 15:10:00,1 - 05:10:00,0.909,1 - 02:30:45,
6,80,BEL9600,Lucky Duck,JPK 9.60,Nicolas Kervyn de Meerendre,,14 Jul - 12:53:27,1 - 02:53:27,0.994,1 - 02:43:46,
7,78,FRA2345,Cervantes IV,Two Tonner,Charles Anthony,,14 Jul - 13:38:57,1 - 03:38:57,0.967,1 - 02:44:12,
8,76,GBR815,Longue Pierre,Dehler 38,D Cooper & P England,David Cooper,14 Jul - 13:37:36,1 - 03:37:36,0.974,1 - 02:54:30,
9,74,FRA7100,Saint Sébastien III,Romanée,Thierry Fremont,,14 Jul - 16:14:56,1 - 06:14:56,0.902,1 - 03:17:04,
10,72,GBR8287,Persephone of London,Sigma 38,Nigel Goodhew,2H,14 Jul - 13:52:36,1 - 03:52:36,0.985,1 - 03:27:31,
11,70,GBR2539L,Roxanne,Jeanneau Sun Fast 3200,Simon Mitchell,2H,14 Jul - 13:50:27,1 - 03:50:27,0.998,1 - 03:47:07,
12,68,GBR8470R,White Knight 6,First 34.7,Royal Armoured Corps Yacht Club,Paul Macro,14 Jul - 14:14:07,1 - 04:14:07,0.987,1 - 03:52:06,
13,66,GBR9203R,Wee Bear,Projection 920,Chudziak-Horner-Malas,,14 Jul - 14:57:57,1 - 04:57:57,0.991,1 - 04:42:19,
14,65,GBR4127R,Get Carter,3/4 Tonner,Marcelle von Wendland,,14 Jul - 18:15:30,1 - 08:15:30,0.891,1 - 04:44:32,
15,64,GBR7332R,X-ToSea,X 332,David Hunt,,14 Jul - 15:49:41,1 - 05:49:41,0.978,1 - 05:10:19,
16,63,GBR8275,Pandanova II,Sigma 38,Andrew Gordon,,14 Jul - 15:40:47,1 - 05:40:47,0.985,1 - 05:14:04,
17,62,GBR8282,Degree Of Latitude,Sigma 38 OOD,John Rutherford,,14 Jul - 15:46:57,1 - 05:46:57,0.985,1 - 05:20:09,
18,61,FRA6770,Iromiguy,Nicholson 33,Jean Yves Chateau,,14 Jul - 18:20:38,1 - 08:20:38,0.910,1 - 05:25:59,
19,60,FRA34835,Exec Avenue,Bavaria Match 35,Thierry Mercier,,14 Jul - 15:56:52,1 - 05:56:52,1.000,1 - 05:56:52,
20,59,FRA36510,Lia Nona,Daydream 310,Pierre Bouhanna,,14 Jul - 18:00:02,1 - 08:00:02,0.959,1 - 06:41:19,
,10,FRA36513,Max,First 31.7,Jean-louis Stalain,2H,,,0.944,,DNS-Did Not Start
,10,FRA37465,L'Effrayant,Mgc 27,Belles Jean-noel,,,,0.882,,DNF-Did Not Finish
,10,FRA19630,4 Déci,Sigma 33,Christophe Affolter,,,,0.909,,DNF-Did Not Finish
,10,GBR3591T,Nokomis,Sigma 362,Andy Theobald,,,,0.932,,DNF-Did Not Finish
,10,FRA37344,JJ L'Amorosso,J/97,Philippe Reminiac,,,,0.978,,DNF-Did Not Finish
,10,GBR7732T,Mardy Gras,X 332,Fred Mundle,,,,0.986,,DNF-Did Not Finish
,10,FRA21714,Macaya,ILC 30,Morgann Pinson,,,,0.998,,DNF-Did Not Finish
,10,GBR922R,Juno,X 34,Charles Whittam,,,,1.000,,DNF-Did Not Finish
