# 2012 RORC Mainseries IRC Overall - 50th Deauville Race / Cervantes Trophy (Fri 1 Jun 12) - 95 boats - https://www.rorc.org/raceresults/2012/ircoverall04.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,,19:17:02,1.007,19:25:08,
2,94,FRA35080,Dunkerque Plaisance,A 35,Benoit Dhalluin,,,19:00:48,1.031,19:36:10,
3,90,GBR1259T,Moondog,Laser 28,Peter Pickett,2H,,21:47:45,0.901,19:38:17,
4,86,GBR979R,Malice,HOD 35,Mike Moxley,2H,,19:10:55,1.026,19:40:50,
5,83,GBR9837T,S X Girl,X 37,John & Christine White,,,19:13:32,1.030,19:48:08,
6,80,GBR8338,With Alacrity,Sigma 38,Chris & Vanessa Choules,,,20:09:37,0.985,19:51:28,
7,78,FRA36568,Le Mc Do De Cherbourg,,,,,19:51:36,1.002,19:53:59,
8,76,FRA6770,Iromiguy,Nicholson 33,Jean Yves Chateau,,,21:52:48,0.910,19:54:39,
9,74,GBR1672T,Kuutar,Swan 38,Angus Newton,,,21:30:45,0.926,19:55:14,
10,72,GBR2458L,Raffles,Elan 295,Peter Cover & Sally Greenway,,,21:30:07,0.928,19:57:14,
11,70,FRA5040B,Beelzbuth 3,Grand Soleil 40,Olivier Pesci,,,18:49:00,1.063,20:00:08,
12,68,GBR7383R,Visit Malta Puma,Reflex 38,Sailing Logic Ltd,,,18:44:02,1.068,20:00:28,
13,66,GBR4698T,Xarifa,X 342,Teresa Whelan,,,21:10:24,0.946,20:01:48,
14,65,GBR815,Longue Pierre,Dehler 38,David Cooper & Paul England,,,20:35:53,0.974,20:03:45,
15,64,GBR626,Old Mother Gun,Humphreys 40,Philip Farrands,,,19:12:16,1.045,20:04:07,
16,63,GBR9781R,Shades of Blue,J/110,Ed Holton,,,20:29:10,0.980,20:04:35,
17,62,BEL1383,Wasabi,JPK 10.10,Vincent Willemart,,,19:57:55,1.007,20:06:18,
18,61,FRA35439,Inis Mor,Ker 39,Bernard Gouy,,,17:58:09,1.122,20:09:41,
19,60,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,,,19:35:28,1.031,20:11:54,
20,59,GBR42N,La Réponse,First 40,Andrew McIrvine,,,18:41:19,1.086,20:17:45,
21,58.5,NED118,Winsome,S&S 41,Harry Heijst,,,20:31:08,0.991,20:20:03,
22,58,FRA6179,Maeva,Super Arlequin,Frederic Waniart,2H,,23:29:00,0.867,20:21:36,
23,57.5,FRA27726,Happy Hours,A 35,Jean-Michel Firmin,,,19:43:21,1.033,20:22:24,
24,57,FRA29961,Tusen Takk II,JPK 9.60,Philippe Auber,,,20:50:05,0.980,20:25:05,
25,56.5,GBR6447T,Wishful Thinking,Westerley Typhoon,Brian Mead,,,21:29:39,0.950,20:25:10,
26,56,USA50794,Eclipse,First 42s7,Greg Conary,,,20:09:10,1.014,20:26:06,
27,55.5,FRA16793,Seastem,First 29 SQ,Jerome Molin,,,22:55:04,0.892,20:26:34,
28,55,GBR5777,Alchemist,Half Tonner,Mark Wynter,,,22:07:40,0.924,20:26:46,
29,54.5,GBR9205R,Diablo-J,J/105,Nick Martin,2H,,20:18:25,1.007,20:26:57,
30,54,GBR7835R,Solan Goose of Hamble,A 35,Peter Olden,2H,,19:50:15,1.032,20:28:20,
31,53.5,FRA34824,Calimero,JPK 9.60,Bertrand Kerduel,,,20:37:14,0.993,20:28:34,
32,53,FRA38485,Courrier Vintage,MC34 Patton,M de Saint Denis & G Trentesaux,,,19:22:01,1.058,20:29:25,
33,52.5,FRA9816,Adrenaline,Prism 28,Pierre Viard & Nicolas Siloret,,,21:07:45,0.970,20:29:43,
34,52,GBR6693T,Fandango,First 40.7,Adam Ridett & Brendan McMahon,,,19:22:52,1.058,20:30:19,
35,51.5,GBR1010L,Xinska,X 40,Bernard Olesinski,,,19:23:18,1.058,20:30:46,
36,51,GBR9885T,Profile,First 40.7,Rasim Poloskin,,,19:21:58,1.063,20:35:10,
37,50.5,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,,18:40:22,1.104,20:36:53,
38,50,GBR5678T,Scarlet Jester,SJ 320,Jamie Muir,,,20:57:38,0.984,20:37:31,
39,49.5,GBR9383R,Intuition,Reflex 38,Yuri Fadeev,,,19:32:58,1.056,20:38:39,
40,49,GBR516R,White Rose,Elan 40,Bob Jackson,,,20:17:45,1.019,20:40:53,
41,48.5,FRA2345,Cervantes IV,Two Tonner,Anthony Lemarchand,,,21:24:25,0.967,20:42:02,
42,48,GBR8287,Persephone of London,Sigma 38,Nigel Goodhew,,,21:01:57,0.985,20:43:01,
43,47.5,GBR7382R,Jaguar Logic,Reflex 38,Sailing Logic Ltd,,,19:28:10,1.065,20:44:06,
44,47,GBR5809R,Jelenko,J/109,Jonathan Bevan,,,20:34:04,1.011,20:47:38,
45,46.5,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,,20:30:37,1.014,20:47:51,
46,46,GBR8329,Zanzara,Sigma 38,Nick Gale,2H,,21:07:25,0.985,20:48:24,
47,45.5,GBR1715T,Breakout,Swan 42,Simon Crawford,,,20:52:02,1.000,20:52:02,
48,45,GBR8147T,El Tiburon,Swan 44,Andrew Armstrong,,,21:19:10,0.979,20:52:18,
49,44.5,FRA16559,Latitude,X 119,Bruno Ratcliff,,,20:10:00,1.035,20:52:21,
50,44,GBR5236R,Rare,Figaro II,Ian Hoddle,2H,,19:07:21,1.094,20:55:12,
51,43.7,GBR4300,Imperator,SJ 35,Paul Waxman,,,21:51:51,0.957,20:55:26,
