# 2012 RORC Mainseries IRC Overall - Channel Race (Sat 4 Aug 12) - 29 boats - https://www.rorc.org/raceresults/2012/ircoverall09.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR2215L,Trustmarque Quokka 8,Grand Soleil 43,Peter Rutter,Philippe Falle,,1 - 02:06:32,1.099,1 - 04:41:37,
2,94,NED118,Winsome,S&S 41,Harry Heijst,,,1 - 05:14:51,0.991,1 - 04:59:03,
3,90,FRA35439,Inis Mor,Ker 39,Laurent Gouy,,,1 - 02:07:15,1.122,1 - 05:18:27,
4,86,GBR42N,La Réponse,First 40,Andrew McIrvine,,,1 - 03:04:54,1.086,1 - 05:24:38,
5,83,GBR236R,Erivale III,Ker 39,Michael Greville,,,1 - 02:32:01,1.116,1 - 05:36:41,
6,80,GBR9205R,Diablo-J,J/105,Nick Martin,2H,,1 - 05:27:58,1.007,1 - 05:40:21,
7,78,GBR39R,Magnum III,Ker 40,Andrew Pearce,,,1 - 00:58:48,1.193,1 - 05:48:04,
8,76,FRA9816,Adrenaline,Prism 28,Pierre Viard & Nicolas Siloret,,,1 - 06:24:33,0.991,1 - 06:08:08,
9,74,GBR8380R,Elixir,Elan 380,Felicity Gabbay,2H,,1 - 05:18:48,1.034,1 - 06:18:36,
13,74,NED46,Tonnerre de Breskens 3,Ker 46,Piet Vroon,,,1 - 00:41:13,1.273,1 - 07:25:35,RDG 60 min elapsed time
10,72,FRA38485,Courrier Vintage,MC34 Patton,M de Saint Denis & G Trentesaux,,,1 - 05:03:06,1.057,1 - 06:42:27,
11,70,GBR7714R,White Knight of Wessex,HOD 35,James Neville,,,1 - 06:34:23,1.010,1 - 06:52:44,
12,68,GBR1298R,John B,Grand Soleil 54,Charles Ivill,,,1 - 02:49:51,1.152,1 - 06:54:33,
14,65,BEL1383,Wasabi,JPK 10.10,Vincent Willemart,,,1 - 07:23:40,1.007,1 - 07:36:51,
15,64,GBR979R,Malice,HOD 35,Mike Moxley,2H,,1 - 07:33:33,1.026,1 - 08:22:47,
16,63,GBR5355N,Phosphorus,Rodman 42,Mark Emerson,,,1 - 04:48:02,1.143,1 - 08:55:09,
17,62,SWE20002,Pleomax,Volvo 60,Harm Prins,,,1 - 00:05:49,1.420,1 - 10:13:04,
18,61,GBR9383R,Intuition,Reflex 38,Yuri Fadeev,,,1 - 09:01:00,1.056,1 - 10:51:56,
,10,GBR1751T,Spellbinder Of Wytch,Starlight 39,Phoenix Yacht Club,Trevor Nicholls,,,0.944,,DNF-Did Not Finish
,10,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,2H,,,0.958,,DNF-Did Not Finish
,10,FRA28747,Ultreia!,JPK 9.60,Matthias Kracht,2H,,,0.976,,DNF-Did Not Finish
,10,GBR8470R,White Knight 6,First 34.7,Royal Armoured Corps Yacht Club,Paul Macro,,,0.987,,DNF-Did Not Finish
,10,GBR922R,Juno,X 34,Charles Whittam,,,,1.000,,DNF-Did Not Finish
,10,GBR2091R,Je Vante,J/109,Todd Wells,,,,1.014,,DNF-Did Not Finish
,10,GBR7383R,Visit Malta Puma,Reflex 38,Sailing Logic Ltd,James Gair,,,1.068,,DNF-Did Not Finish
,10,GBR5236R,Rare,Figaro II,Ian Hoddle,2H,,,1.094,,DNF-Did Not Finish
,10,GBR1346R,Belladonna,Grand Soleil 46,Andrew Howard,Ian Smyth,,,1.120,,DNF-Did Not Finish
,10,GBR6643R,Nightfall,Arcona 430,Tom Sperrey,,,,1.122,,DNF-Did Not Finish
,10,GBR93,Concise 2,Class 40,Tony Lawson,Ned Collier Wakefield,,,1.291,,DNF-Did Not Finish
