# NSR 2012 ORC Overall - Long Course - North Sea Race (Fri 18 May 12) - 23 boats - https://www.rorc.org/raceresults/2012/nsr-orcov01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,NED9110,Lenco,Salona 37,Erik van Vuuren,,,1 - 01:44:09,1.008,1 - 01:56:30,
2,2,NED6775,Redan,Dehler 39,Hein van Schaik,,,1 - 02:17:00,1.003,1 - 02:21:44,
3,3,NED5596,Soulmate,B&H 41,Leon Westhoeve,,,1 - 01:00:35,1.070,1 - 02:45:37,
4,4,NED6428,Griel,Dehler 39,Robert Jockin,,,1 - 03:06:45,0.999,1 - 03:05:07,
5,5,NED8445,Shiva,XC 45,Herman Schaap,,,1 - 01:41:24,1.063,1 - 03:18:30,
6,6,NED7786,Ijsvogel,Maxi 1300,Marcel Schuttelaar,,,1 - 02:32:54,1.030,1 - 03:20:41,
7,7,NED6063,Antares,Trintella 53,Frans Winterswijk,,,1 - 03:29:28,0.997,1 - 03:24:31,
8,8,NED7975,Blue June,Standfast 43,Henk Zomer,,,1 - 04:21:03,0.977,1 - 03:41:56,
9,9,NED7935,Flying Dolphin,Dufour 40 Performance,Willem de Jonge van Ellemeet,,,1 - 03:26:46,1.0127,1 - 03:47:41,
10,10,NED7386,Moshulu,IMX 38,Hans-albert de Graaf,,,1 - 03:36:22,1.008,1 - 03:49:37,
11,11,NED6854,Blondie,First 42s7,Henny Abbenhues,Laurens Helmes,,1 - 04:48:03,0.983,1 - 04:18:40,
12,12,NED7132,Windveer,First 36.7,Reijer Blankevoort,,,1 - 04:46:59,0.987,1 - 04:24:32,
13,13,NED7643,Joris K,Elan 37,Jaap Kakebeeke,,,1 - 05:05:03,0.991,1 - 04:49:21,
14,14,GBR5759R,Broersbank,Breehorn 44,Hendrik Onnes,,,1 - 06:04:23,0.962,1 - 04:55:49,
15,15,ITA13689,Iluka,First 40.7,Leon Rodenburg,,,1 - 06:02:48,0.964,1 - 04:57:54,
16,16,NED5568,Exxellence Hodspur,Hod 35,Patrick ten Brincke,,,1 - 05:25:48,0.987,1 - 05:02:51,
17,17,NED7280,Grace O'Malley,Bavaria 38 Match,Pieter Visser,Jur Ringers,,1 - 05:44:05,0.986,1 - 05:19:06,
18,18,NED47001,Mandate,Swan 47,Gerrit Hiemstra,,,1 - 05:28:06,1.013,1 - 05:51:05,
19,19,NED8211,Boudica,First 40,Berend Veldhoen,Pieter Visser,,1 - 10:13:00,1.037,1 - 11:28:58,
,24,NED6888,Vrijheid,Swan 46,Joost Kuiper,,,,1.025,,DNS-Did Not Start
,24,AUT15764,Visione,ILC 40,Nikolaus Knoflacher,,,,1.141,,DNS-Did Not Start
,24,NED8056,Ellinor,Swan 55,Cees van Nes,,,,1.020,,DNF-Did Not Finish
,24,NED8302,La Belle,Swan 56,Frans van Belle,,,,1.132,,DNF-Did Not Finish
