# 2012 RORC Mainseries IRC One - Cowes-Dinard-St Malo Race (Fri 13 Jul 12 10:30:00) - 12 boats - https://www.rorc.org/raceresults/2012/one08.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,92,FRA36777,Codiam,Grand Soleil 43,N Loday & J C Nicoleau,Nicolas Loday,14 Jul - 08:36:28,22:06:28,1.101,1 - 00:20:26,
2,86,GBR236R,Erivale III,Ker 39,Michael Greville,,14 Jul - 08:24:31,21:54:31,1.116,1 - 00:27:00,
3,82,NED7025,Eleuthera,Grand Soleil 44 R,Hervé Borgoltz,,14 Jul - 08:49:47,22:19:47,1.114,1 - 00:52:31,
4,78,FRA35439,Inis Mor,Ker 39,Laurent Gouy,,14 Jul - 08:57:59,22:27:59,1.122,1 - 01:12:26,
5,75,GBR1298R,John B,Grand Soleil 54,Charles Ivill,,14 Jul - 08:42:21,22:12:21,1.147,1 - 01:28:12,
6,72,GBR5355N,Phosphorus,Rodman 42,Mark Emerson,,14 Jul - 09:27:17,22:57:17,1.143,1 - 02:14:14,
7,70,FRA27967,Jivaro,J/133,Yves Grosjean,Alain Rouault,14 Jul - 10:16:12,23:46:12,1.110,1 - 02:23:05,
8,68,FRA34625,Solano,Latini 52,Frederic Rialland,,14 Jul - 07:44:42,21:14:42,1.258,1 - 02:43:34,
9,66,FRA26,Les Conquerants de Normandie,Class 40,Marc Lepesqueux,,14 Jul - 08:51:59,22:21:59,1.249,1 - 03:56:08,
10,64,FRA60,Obportus 3,Class 40,Olivier Roussey,,14 Jul - 11:14:52,1 - 00:44:52,1.262,1 - 07:13:54,
,10,GBR6643R,Nightfall,Arcona 430,Tom Sperrey,,,,1.122,,DNF-Did Not Finish
,10,GER6840,Sjambok,Reichel Pugh 48,Jens Kuehne,,,,1.271,,DNF-Did Not Finish
