# 2012 RORC Easter Challenge IRC One - Entries: 15      Races Sailed: 6 (None) - 15 boats - https://www.rorc.org/raceresults/2012/rec-oneos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,IRL3939,Antix,Ker 39,Anthony O'Leary,,,,1.131,,
,,GBR2045R,Alice II,Farr 45,Simon Henning,,,,1.217,,
,,GBR5955T,Kolga,Farr 45,British Keelboat Academy,,,,1.217,,
,,NED46,Tonnerre de Breskens 3,Ker 46,Piet Vroon,,,,1.276,,
,,IRL39000,Dignity,Mills 39,Andrew Williams,,,,1.111,,
,,GBR6889R,Keronimo,Ker 40,Jonathan Goring,,,,1.193,,
,,GBR39R,Magnum III,Ker 40,Andrew Pearce,,,,1.190,,
,,GBR521R,Toe in the Water,Farr 52,Toe in the Water,Brian Thompson,,,1.320,,
,,GBR4241L,Brevity,Club Swan 42,Mark Devereux,,,,1.157,,
,,GBR236R,Erivale III,Ker 39,Michael Greville,,,,1.116,,
,,GBR5355N,Phosphorus,Rodman 42,Mark Emerson,,,,1.143,,
,,GBR8888N,Cobra,King 40,Seb Blair,,,,1.114,,
,,GBR9160T,Espresso Martini,Farr 45,Jeffrey Blue,,,,1.218,,
,,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,,,1.104,,
,,GBR5940R,Tokoloshe,King 40,Michael Bartholomew,,,,1.121,,
