# 2012 RORC Mainseries IRC Three - Morgan Cup Race (Sat 5 May 12 09:00:00) - 12 boats - https://www.rorc.org/raceresults/2012/three02.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,92,GBR7735R,Eaujet,A 35,Mike West,Paul Worswick,6 May - 04:18:43,19:18:43,1.033,19:56:57,
2,86,GBR73R,Salvo,Corby 33,Peter Morton,,6 May - 05:01:15,20:01:15,1.044,20:54:06,
3,82,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,6 May - 05:59:24,20:59:24,1.007,21:08:13,
4,78,GBR1242R,Yeoman of Wight,J/109,British Keelboat Academy,David Aisher,6 May - 05:54:46,20:54:46,1.029,21:31:09,
5,75,GBR979R,Malice,HOD 35,Mike Moxley,,6 May - 06:01:48,21:01:48,1.026,21:34:36,
6,72,GBR7835R,Solan Goose of Hamble,A 35,Peter Olden,2H,6 May - 06:23:42,21:23:42,1.032,22:04:47,
7,70,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,6 May - 07:16:22,22:16:22,1.014,22:35:05,
8,68,GBR1466,Diamond Jem,J/109,Robert Stiles,,6 May - 07:02:36,22:02:36,1.025,22:35:40,
9,66,GBR8380R,Elixir,Elan 380,Felicity Gabbay,2H,6 May - 08:17:31,23:17:31,1.034,1 - 00:05:02,
10,64,GBR9205R,Diablo-J,J/105,Nick Martin,2H,6 May - 09:34:45,1 - 00:34:45,1.007,1 - 00:45:04,
11,62,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,6 May - 09:24:40,1 - 00:24:40,1.017,1 - 00:49:34,
,10,GBR722R,Voador,J/105,Nikki Curwen,2H,,,1.009,,DNF-Did Not Finish
