# 2012 RORC Mainseries IRC Three - North Sea Race (Fri 18 May 12 10:30:00) - 10 boats - https://www.rorc.org/raceresults/2012/three03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,90,NED7990,Yeti,J/109,Paul van der Pol,,19 May - 13:19:43,1 - 02:49:43,1.027,1 - 03:33:11,
2,84,NED7275,Captain Jack,J/109,Bert Visser,,19 May - 13:34:52,1 - 03:04:52,1.023,1 - 03:42:14,
3,80,BEL1383,Wasabi,JPK 10.10,Vincent Willemart,,19 May - 14:10:51,1 - 03:40:51,1.007,1 - 03:52:29,
4,76,GBR9205R,Diablo-J,J/105,Nick Martin,2H,19 May - 14:13:33,1 - 03:43:33,1.007,1 - 03:55:12,
5,73,NED7800,Arethusa,J/109,Kees Mijs,,19 May - 14:15:56,1 - 03:45:56,1.019,1 - 04:17:35,
6,70,NED8226,Rebellion,First 35,Chris Schram,2H,19 May - 15:01:27,1 - 04:31:27,1.018,1 - 05:02:15,
7,68,NED8192,Marlijn,First 35,P Hadjidakis & E Cammeraat,Pieter Hadjidakis,19 May - 15:06:26,1 - 04:36:26,1.017,1 - 05:05:37,
8,66,GBR1355R,Lulotte,Swan 55 Yawl,Ben Morris,,19 May - 14:39:39,1 - 04:09:39,1.046,1 - 05:27:22,
9,64,GER6611,Le Druide,Jod 35,Roderich Uerlichs,,19 May - 16:19:46,1 - 05:49:46,1.031,1 - 06:45:15,
10,62,NED7858,Home Of Jazz,VQ 32,Hendrik ten Hoor,2H,19 May - 20:06:20,1 - 09:36:20,1.046,1 - 11:09:05,
