# 2012 RORC Mainseries IRC Three - 50th Deauville Race / Cervantes Trophy (Fri 1 Jun 12 14:30:00) - 27 boats - https://www.rorc.org/raceresults/2012/three04.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,2 Jun - 09:47:02,19:17:02,1.007,19:25:08,
2,94,FRA35080,Dunkerque Plaisance,A 35,Benoit Dhalluin,,2 Jun - 09:30:48,19:00:48,1.031,19:36:10,
3,90,GBR979R,Malice,HOD 35,Mike Moxley,2H,2 Jun - 09:40:55,19:10:55,1.026,19:40:50,
4,86,GBR9837T,S X Girl,X 37,John White,2H,2 Jun - 09:43:32,19:13:32,1.030,19:48:08,
5,83,GBR626,Old Mother Gun,Humphreys 40,Philip Farrands,,2 Jun - 09:42:16,19:12:16,1.045,20:04:07,
6,80,BEL1383,Wasabi,JPK 10.10,Vincent Willemart,,2 Jun - 10:27:55,19:57:55,1.007,20:06:18,
7,78,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,,2 Jun - 10:05:28,19:35:28,1.031,20:11:54,
8,76,FRA27726,Happy Hours,A 35,Jean-Michel Firmin,,2 Jun - 10:13:21,19:43:21,1.033,20:22:24,
9,74,USA50794,Eclipse,First 42s7,Greg Conary,,2 Jun - 10:39:10,20:09:10,1.014,20:26:06,
10,72,GBR9205R,Diablo-J,J/105,Nick Martin,2H,2 Jun - 10:48:25,20:18:25,1.007,20:26:57,
11,70,GBR7835R,Solan Goose of Hamble,A 35,Peter Olden,2H,2 Jun - 10:20:15,19:50:15,1.032,20:28:20,
12,68,GBR516R,White Rose,Elan 40,Bob Jackson,,2 Jun - 10:47:45,20:17:45,1.019,20:40:53,
13,66,GBR5809R,Jelenko,J/109,Jonathan Bevan,,2 Jun - 11:04:04,20:34:04,1.011,20:47:38,
14,65,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,2 Jun - 11:00:37,20:30:37,1.014,20:47:51,
15,64,FRA16559,Latitude,X 119,Bruno Ratcliff,,2 Jun - 10:40:00,20:10:00,1.035,20:52:21,
16,63,GBR1535R,White Cloud IX,HOD 35,John & Alison Donnelly,2H,2 Jun - 10:50:55,20:20:55,1.029,20:56:19,
17,62,GBR2091R,Je Vante,J/109,Todd Wells,,2 Jun - 10:51:18,20:21:18,1.032,21:00:23,
18,61,GBR3111N,Mostly Harmless,J/105,Tom Hayhoe,,2 Jun - 11:08:26,20:38:26,1.018,21:00:44,
19,60,GBR8380R,Elixir,Elan 380,Felicity Gabbay,2H,2 Jun - 10:57:27,20:27:27,1.034,21:09:11,
20,59,GBR1694R,Exuberant,X 412,Robert Hillman,,2 Jun - 10:49:16,20:19:16,1.046,21:15:21,
21,58.5,FRA34983,Decatur,A 35,Yves Passat,,2 Jun - 11:23:45,20:53:45,1.031,21:32:37,
22,58,GBR960R,Hot Rats,First 35,Robbie & Lis Robinson,,2 Jun - 11:54:03,21:24:03,1.019,21:48:27,
23,57.5,GBR4811R,Magic,Elan 40,Graham Nixon,,2 Jun - 11:52:02,21:22:02,1.024,21:52:48,
24,57,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,2 Jun - 12:09:10,21:39:10,1.017,22:01:15,
25,56.5,GBR7716R,Psipsina,HOD 35,Diana Beverly,,2 Jun - 12:59:22,22:29:22,1.007,22:38:49,
26,56,GBR2555T,Gulliver Of Southampton,Nicholson 55,Mark Binnie,,2 Jun - 15:13:11,1 - 00:43:11,1.040,1 - 01:42:31,
,10,GBR9863,In X Celsis,X 119,Peter Jones,,,,1.040,,DNF-Did Not Finish
