# 2012 RORC Mainseries IRC Three - Cowes-Dinard-St Malo Race (Fri 13 Jul 12 10:10:00) - 23 boats - https://www.rorc.org/raceresults/2012/three08.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA34978,Ame-Hasle,A 35,Franck-Yves Escoffier,Jean-Marc Rousselin,14 Jul - 09:30:35,23:20:35,1.035,1 - 00:09:36,
2,94,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,14 Jul - 10:30:13,1 - 00:20:13,1.007,1 - 00:30:26,
3,90,FRA390,Agence Directe,A 35,Francois Carluer,Bruno Bessec,14 Jul - 10:06:35,23:56:35,1.028,1 - 00:36:48,
4,86,FRA28039,Mistho,J/109,Francois-Eric Chateau,,14 Jul - 10:58:50,1 - 00:48:50,1.016,1 - 01:12:39,
5,83,BEL1383,Wasabi,JPK 10.10,Vincent Willemart,,14 Jul - 11:18:36,1 - 01:08:36,1.007,1 - 01:19:10,
6,80,FRA9446,Felix,IMX 38,Marc Noel,,14 Jul - 11:01:37,1 - 00:51:37,1.031,1 - 01:37:51,
7,78,FRA36507,Galatée,A 35,Jean-Louis Goblet,2H,14 Jul - 11:28:00,1 - 01:18:00,1.026,1 - 01:57:28,
8,76,GBR979R,Malice,HOD 35,Mike Moxley,2H,14 Jul - 11:30:15,1 - 01:20:15,1.026,1 - 01:59:47,
9,74,GBR7835R,Solan Goose of Hamble,A 35,Peter Olden,2H,14 Jul - 11:44:30,1 - 01:34:30,1.032,1 - 02:23:36,
10,72,FRA36606,Canopee V,A 35,Jean-Philippe Tible,,14 Jul - 12:27:28,1 - 02:17:28,1.018,1 - 02:45:52,
11,70,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,14 Jul - 12:41:49,1 - 02:31:49,1.014,1 - 02:54:06,
12,68,GBR2091R,Je Vante,J/109,Todd Wells,,14 Jul - 12:31:41,1 - 02:21:41,1.032,1 - 03:12:18,
13,66,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,14 Jul - 13:33:42,1 - 03:23:42,1.017,1 - 03:51:39,
14,65,FRA34983,Decatur,A 35,Yves Passat,,14 Jul - 13:12:25,1 - 03:02:25,1.031,1 - 03:52:43,
15,64,GBR4002N,Sunsail 4002,First 40,Sunsail Ltd,Vadim Volkovoy,14 Jul - 12:57:55,1 - 02:47:55,1.042,1 - 03:55:27,
16,63,GBR9205R,Diablo-J,J/105,Nick Martin,2H,14 Jul - 13:57:43,1 - 03:47:43,1.007,1 - 03:59:23,
17,62,GBR3L,Me Julie,J/109,Dom Monkhouse,Trevor Sainty,14 Jul - 14:33:49,1 - 04:23:49,1.026,1 - 05:08:07,
18,61,GBR4001N,Sunsail 4001,First 40,Iskander Rakhimov,,14 Jul - 15:12:53,1 - 05:02:53,1.042,1 - 06:16:05,
19,60,FRA36601,Botez Coat IV,J/109,Yves Dervieux,,14 Jul - 16:19:03,1 - 06:09:03,1.011,1 - 06:28:57,
20,59,GBR6070L,Scaramouche,Frers 45,Dariusz Suchomski,Marek Mogielnicki,14 Jul - 16:19:34,1 - 06:09:34,1.030,1 - 07:03:51,
21,58.5,GBR9070R,Change of Course,C & C 115,Keith Gibbs,2H,14 Jul - 18:11:10,1 - 08:01:10,1.035,1 - 09:08:24,
,10,GBR529R,Just So,J/109,David McGough,,,,1.015,,DNF-Did Not Finish
,10,GBR9837T,S X Girl,X 37,John White,2H,,,1.030,,DNF-Did Not Finish
