# 2012 RORC Mainseries IRC Two-Handed - Entries: 40      Races Sailed: 8      Discard: 4 (None) - 40 boats - https://www.rorc.org/raceresults/2012/twohandedos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR9205R,Diablo-J,J/105,Nick Martin,,,,1.007,,
,,GBR979R,Malice,HOD 35,Mike Moxley,,,,1.026,,
,,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,,,0.958,,
,,GBR8380R,Elixir,Elan 380,Felicity Gabbay,,,,1.034,,
,,GBR7835R,Solan Goose of Hamble,A 35,Peter Olden,,,,1.032,,
,,FRA6179,Maeva,Super Arlequin,Frederic Waniart,,,,0.867,,
,,GBR722R,Voador,J/105,Nikki Curwen,,,,1.009,,
,,GBR5236R,Rare,Figaro II,Ian Hoddle,,,,1.094,,
,,FRA28747,Ultreia!,JPK 9.60,Matthias Kracht,,,,0.976,,
,,GBR9868T,J Bellino,J/122,Rob Craigie,,,,1.076,,
,,IRL3607,LC Tyres Lulabelle,First 36.7,Coyne/Flahive,,,,1.006,,
,,GBR1505R,Twister,First 31.7,T Fair & D Fletcher,,,,0.952,,
,,IRL2504,Pink Panther,Jenneau 40.3,Anthony Keane,,,,0.940,,
,,NED7244,Junique,J/122,Chris Revelman,,,,1.089,,
,,GBR4690R,Fastrak VIII,Sunfast 3200,Nigel Colley,,,,0.996,,
,,GBR9604R,Nunatak,J/120,Mike Jacques,,,,1.070,,
,,GBR6848T,Ocean Tango,Dehler 34,Floate & Norton,,,,0.928,,
,,NED8226,Rebellion,First 35,Chris Schram,,,,1.018,,
,,GBR1298R,John B,Grand Soleil 54,Charles Ivill,,,,1.147,,
,,GBR1259T,Moondog,Laser 28,Peter Pickett,,,,0.901,,
,,BEL8585,Red Rooster,Pogo 8.50,Gwyn Hagenaers,,,,0.969,,
,,FRA38402,Leon,JPK 10.10,Jean Pierre Kelbert,,,,1.007,,
,,NED7858,Home Of Jazz,VQ 32,Hendrik ten Hoor,,,,1.046,,
,,GBR970R,Jua Kali,Grand Soleil 43,HHA,,,,1.090,,
,,FRA36507,Galatée,A 35,Jean-Louis Goblet,,,,1.026,,
,,GBR2539L,Roxanne,Jeanneau Sun Fast 3200,Simon Mitchell,,,,0.998,,
,,GBR8329,Zanzara,Sigma 38,Nick Gale,,,,0.985,,
,,GBR43,Artemis 43,Figaro II,Artemis Offshore Academy,,,,1.081,,
,,GBR8287,Persephone of London,Sigma 38,Nigel Goodhew,,,,0.985,,
,,GBR1535R,White Cloud IX,HOD 35,John & Alison Donnelly,,,,1.029,,
,,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,,,,1.031,,
,,77,Oc 77,Beneteau Figaro 2,Artemis Offshore Academy,,,,1.082,,
,,GBR9070R,Change of Course,C & C 115,Keith Gibbs,,,,1.035,,
,,GBR8633R,Jings,J/133,David Ballantyne,,,,1.117,,
,,FRA36513,Max,First 31.7,Jean-louis Stalain,,,,0.944,,
,,GBR9837T,S X Girl,X 37,John White,,,,1.030,,
,,GBR3390T,Gentle Zephyr,Bavaria 390,Neal Martin,,,,0.968,,
,,GBR5180T,Aquila,Dehler 28,George Gerwitz,,,,0.865,,
,,27,Hot Socks,Figaro II,Katie Miller,,,,1.079,,
,,BEL613,Rackham,JPK 110,Eric van Campenhout,,,,1.043,,
