# 2013 RORC Mainseries IRC Canting Keel - Entries: 12      Races Sailed: 8      Discard: 3 (None) - 12 boats - https://www.rorc.org/raceresults/2013/ckos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,RUS1,Monster Project,Volvo 70,Andrew Budgen and Fred Schwyn,,,,1.651,,
,,GBR1R,ICAP Leopard,Farr 100,Mike Slade,,,,1.812,,
,,GBR100,Artemis Ocean Racing,IMOCA 60,Artemis Ocean Racing,,,,1.581,,
,,FRA45,Cartouche,Mach 45,Nicolas Groleau,,,,1.360,,
,,GBR23N,Lupa Of London,Baltic 78,Yachting Enterprise Ltd,,,,1.440,,
,,ITA16133,Cantankerous,Cookson 50,Germana Tognella,,,,1.369,,
,,USA50009,Privateer,Cookson 50,Ron O'Hanley,,,,1.374,,
,,GER5386,Morning Glory,Z 86,Kristina Plattner,,,,1.703,,
,,SWE1673,Team SCA,Volvo 70,Team SCA,,,,1.634,,
,,UAE1,Abu Dhabi,Volvo 70,Ian Walker,,,,1.673,,
,,SLO1001,Esimit Europa 2,RP 100,Igor Simcic,,,,1.872,,
,,IRL5005,Lee Overlay Partners,Cookson 50,Adrian Lee,,,,1.340,,
