# 2013 RORC Mainseries IRC Four - Rolex Fastnet Race (Sun 11 Aug 13 12:30:00) - 83 boats - https://www.rorc.org/raceresults/2013/four11.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,15 Aug - 07:36:14,3 - 19:06:14,1.006,3 - 19:39:02,
2,94,BEL1383,Wasabi,JPK 10.10,Vincent Willemart,,15 Aug - 09:35:48,3 - 21:05:48,1.005,3 - 21:33:44,
3,90,FRA37767,Swinhoe,JPK 10.10,Philippe Vicariot,,15 Aug - 09:51:17,3 - 21:21:17,1.004,3 - 21:43:41,
4,86,FRA36884,Alkaid III – Nautistock.com,JPK 10.10,Gerard Quenot,,15 Aug - 09:50:52,3 - 21:20:52,1.005,3 - 21:48:52,
5,83,FRA36568,Le MC Do De Cherbourg,Sun Fast 3200,Bruno James,2H,15 Aug - 11:53:30,3 - 23:23:30,0.999,3 - 23:17:47,
6,80,GBR8352,Mefisto,Sigma 38,Kevin Sussmilch,,15 Aug - 14:21:37,4 - 01:51:37,0.983,4 - 00:11:48,
7,78,BEL8335,Ragazza,J/35,J. Gabriël & B. De Bie & A. Malchair,,15 Aug - 12:12:59,3 - 23:42:59,1.006,4 - 00:17:26,
8,76,FRA35916,Kawan 2,Sun Fast 3200,Francois Gouin,,15 Aug - 13:22:38,4 - 00:52:38,0.997,4 - 00:35:12,
9,74,FRA35425,SNSP Hakuna Matata,Sun Fast 3200,Jean-Francois Nouel,,15 Aug - 13:05:47,4 - 00:35:47,1.000,4 - 00:35:47,
10,72,ESP10031,Fertiberia,A 31,Jesus Pintos,2H,15 Aug - 13:01:14,4 - 00:31:14,1.002,4 - 00:42:49,
11,70,GBR1866N,Breeze,Cal 40,Robert Boulter,,15 Aug - 17:13:40,4 - 04:43:40,0.965,4 - 01:12:08,
12,68,NED118,Winsome,S&S 41,Harry Heijst,,15 Aug - 14:53:26,4 - 02:23:26,0.988,4 - 01:12:36,
13,66,GBR8752T,Daring,First 36.7,Damien and Christine Bloor,Damien Bloor,15 Aug - 13:18:44,4 - 00:48:44,1.006,4 - 01:23:35,
14,65,ITA16134,Duffy,Dufour 34e Performance,Enrico Calvi,,15 Aug - 16:10:44,4 - 03:40:44,0.981,4 - 01:47:06,
15,64,GBR8287,Persephone of London,Sigma 38,Nigel Goodhew,Tim Goodhew,15 Aug - 16:13:51,4 - 03:43:51,0.983,4 - 02:02:07,
16,63,GBR4690R,Fastrak IX,Sun Fast 3200,Nigel de Quervain Colley,2H,15 Aug - 14:34:32,4 - 02:04:32,1.003,4 - 02:22:11,
17,62,FRA38402,Leon,JPK 10.10,Jacques Pelletier,2H,15 Aug - 14:49:37,4 - 02:19:37,1.006,4 - 02:55:01,
18,61,IRL3607,Lula Belle,First 36.7,Liam Coyne,2H,15 Aug - 15:43:50,4 - 03:13:50,0.998,4 - 03:01:56,
19,60,GBR8338,With Alacrity,Sigma 38,Chris Choules,Chris & Vanessa Choules & Friends,15 Aug - 17:23:50,4 - 04:53:50,0.983,4 - 03:10:55,
20,59,GBR9956,Draig O'R Mor,Dehler 36,Kay & Kevin Stibbs,Kay Stibbs,15 Aug - 17:37:51,4 - 05:07:51,0.982,4 - 03:18:38,
21,58.5,GBR1206L,Elmarleen,Sigma 33c,Will Sayer,2H,16 Aug - 08:27:21,4 - 19:57:21,0.857,4 - 03:22:27,
