# 2013 IRC National Championship IRC Four - Entries: 11      Races Sailed: 5      Discard: 1 (None) - 11 boats - https://www.rorc.org/raceresults/2013/ircnats-fouros.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR1497R,Induljence,J/97,Nick & Adam Munday,,,,0.978,,
,,GBR9250R,Who's To No,J/92,Richard Sparrow,,,,0.976,,
,,GBR5261,Chimp,Half Tonner,Michael Kershaw,,,,0.930,,
,,GBR584,Chia Chia,Half Ton Welbourn,Alex Eagleton,,,,0.943,,
,,GBR2697R,Jiggery Pokery,J/97,Charles Ivill,,,,0.975,,
,,GBR581R,Antix,X 302,John Allen,,,,0.929,,
,,GBR50R,Espada,Quarter Tonner,Louise Morton,,,,0.905,,
,,GBR6733R,Black Diamond,Figaro Solo,Mark Brown & Justin Leese,,,,0.966,,
,,NED118,Winsome,S&S 41,Harry Heijst,,,,0.988,,
,,NED317,Cisne,Swan 43,David Collins,,,,0.981,,
,,GBR3033L,Wild Child,Corby 30,Brian Wilkinson,,,,0.985,,
