# 2013 IRC National Championship IRC One - Entries: 17      Races Sailed: 5      Discard: 1 (None) - 17 boats - https://www.rorc.org/raceresults/2013/ircnats-oneos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR39R,Magnum III,Ker 40,Andrew Pearce,,,,1.192,,
,,NED46,Tonnerre de Breskens 3,Ker 46,Piet Vroon,,,,1.272,,
,,GBR42L,Magical Mystery Tour,Swan 42,Magnus Leask,,,,1.165,,
,,GBR9160T,Espresso Martini,Farr 45,Jeffrey Blue,,,,1.217,,
,,GBR5940R,Tokoloshe,King 40,Michael Bartholomew,,,,1.120,,
,,NED40010,Baraka GP,Ker 40,Harmen J de Graaf,,,,1.194,,
,,IRL3939,Antix,Ker 39,Anthony O'Leary,,,,1.136,,
,,GBR9181R,Chaos,Mills 43 Custom,Mark Lloyd,,,,1.172,,
,,IRL39000,Zero II,Mills 39,Cowes Race School,James Gair,,,1.110,,
,,GBR8888N,Cobra,King 40,Seb Blair,,,,1.118,,
,,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,,,1.193,,
,,GBR5955T,Kolga,Farr 45,British Keelboat Academy,,,,1.215,,
,,GBR1513L,Il Corvo,Grand Soleil 43,Astrid De Vin,,,,1.109,,
,,GBR45R,Wisc,Swan 45,Glynn Williams,,,,1.179,,
,,GBR8448R,Rebel,Farr 45,Stewart Whitehead,,,,1.218,,
,,BEL4701,Moana,First 47.7,François Goubau,Mathieu Goubau,,,1.109,,
,,GBR236R,Erivale III,Ker 39,Michael Greville,,,,1.115,,
