# 2013 RORC Mainseries IRC Overall - North Sea Race (Fri 10 May 13) - 48 boats - https://www.rorc.org/raceresults/2013/ircoverall03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,NED46,Tonnerre de Breskens 3,Ker 46,Piet Vroon,,,17:03:30,1.272,21:41:54,
2,94,FRA38485,Courrier Vintage,MC34 Patton,Gery Trentesaux,,,21:06:00,1.053,22:13:06,
3,90,SWE20002,Pleomax,Volvo 60,Harm Prins,Johan Bol,,15:46:30,1.415,22:19:18,
4,86,NED40010,Baraka GP,Ker 40,Harmen J de Graaf,,,18:42:42,1.196,22:22:45,
5,83,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,,19:15:37,1.193,22:58:39,
6,80,NED6169,Elke,First 40,Frans Rodenburg,,,21:25:15,1.087,23:17:04,
7,78,NED8949,Avanti,Grand Soleil 43,Chris Stouten,,,21:39:00,1.085,23:29:25,
8,76,NED1106,Havoc,Prima 38,Frans van der Heijden,,,22:12:12,1.067,23:41:27,
9,74,BEL1383,Wasabi,JPK 10.10,Vincent Willemart,,,23:58:36,1.005,1 - 00:05:48,
10,72,NED7244,Junique,J/122,Chris Revelman & Pascal Bakker,2H,,22:10:34,1.087,1 - 00:06:20,
11,70,ITA14519,Vanuden,Swan 45,VanUden Group,Patrick van ‘t Hoff,,20:37:17,1.182,1 - 00:22:28,
12,68,GBR3700L,Fatjax,X 37,Iain Kirkpatrick,,,23:44:07,1.038,1 - 00:38:14,
13,66,NED9111,Xcentric Ripper,J/111,John van der Starre & Robin Verhoef,2H,,22:46:07,1.085,1 - 00:42:14,
14,65,NED8436,Saffier Nitro,Bosgraff 36 2.10,Dennis Hennevanger,,,23:16:28,1.062,1 - 00:43:03,
15,64,GBR5355N,Phosphorus,Rodman 42,Mark Emerson,,,21:50:04,1.142,1 - 00:56:06,
16,63,GBR1513L,Il Corvo,Grand Soleil 43,Astrid De Vin,2H,,22:49:47,1.093,1 - 00:57:10,
17,62,AUT15764,Visione,ILC 40,Nikolaus Knoflacher,,,21:32:34,1.161,1 - 01:00:40,
18,61,GBR8191R,British Soldier,J/111,Army Sailing Association,Philip Caswell,,22:58:06,1.099,1 - 01:14:32,
19,60,FRA37588,So What,JPK 10.10,Chris Schram,2H,,1 - 01:04:18,1.010,1 - 01:19:21,
20,59,BEL8335,Ragazza,J/35,J. Gabriël & B. De Bie & A. Malchair,,,1 - 01:45:44,1.007,1 - 01:56:33,
21,58.5,NED7800,Arethusa,J/109,Kees Mijs,,,1 - 01:41:43,1.013,1 - 02:01:46,
22,58,GBR720R,Assarain IV,J/133,Angus Bates,,,23:44:21,1.103,1 - 02:11:03,
23,57.5,NED7990,Yeti,J/109,Paul van der Pol,2H,,1 - 01:42:51,1.026,1 - 02:22:58,
25,56.5,NED7898,Crazy D,Breehorn 41,Pieter Parie,2H,,1 - 01:59:11,1.021,1 - 02:31:56,
26,56,GBR7707T,Fay J,J/105,Stan Fenton,,,1 - 02:38:48,1.006,1 - 02:48:24,
27,55.5,NED8244,Harpoen,J/105,Harry Rek,2H,,1 - 02:59:39,1.001,1 - 03:01:16,
28,55,NED8306,Sparklings,Grand Soleil 37,Richard van Leeuwen,2H,,1 - 02:51:28,1.012,1 - 03:10:48,
29,54.5,NED8192,Marlijn,First 35,P Hadjidakis & E Cammeraat,Pieter Hadjidakis,,1 - 03:10:49,1.002,1 - 03:14:05,
30,54,GBR3015,McGregor IV,MG 38,Peter Ward,,,1 - 03:43:51,0.984,1 - 03:17:14,
31,53.5,GBR4720R,Scarlet Jester Of Maldon,First 40.7,Stephen Gosling,,,1 - 01:46:17,1.063,1 - 03:23:42,
32,53,BEL8420,Jedi,Sigma 38 OOD,Christophe Declercq,,,1 - 04:14:43,0.983,1 - 03:45:54,
33,52.5,GBR8532R,Firestorm,J/109,Wim van Slooten,2H,,1 - 03:04:09,1.029,1 - 03:51:15,
34,52,NED7966,eXe-Cuties,X 442,Sjaak Beulens,,,1 - 02:31:51,1.061,1 - 04:08:57,
35,51.5,GBR3921,Cosmic Dancer III,Baltic 37,Russell Walker,,,1 - 05:19:31,0.965,1 - 04:17:56,
36,51,GBR3529T,Valencia,Beneteau First 325 Shoal Draft,Richard Fawcett,,,1 - 08:28:00,0.901,1 - 05:15:09,
37,50.5,GBR4712R,Outrageous,Swan 47,Mark Stevenson,2H,,1 - 04:34:06,1.050,1 - 05:59:48,
38,50,NED7270,Jeanne D'Arc,Bavaria 38 Match,Zeezeilschool Scheveningen,Pieter Visser,,1 - 06:45:00,1.019,1 - 07:20:03,
39,49.5,NED8304,Emily,Nicholson 43,Gerard Jonker,,,1 - 11:10:00,0.930,1 - 08:42:18,
40,49,GBR986R,Strata 6,Sun Odyssey 36i,East Anglian Sea School,Mally Stearn,,1 - 11:41:00,1.002,1 - 11:45:17,
41,48.5,GBR4973T,Exocet,IMX 38,Janet Pilkington,Mike Sisley,,1 - 10:50:56,1.032,1 - 11:57:51,
24,45,NED7280,Grace O'Malley,Bavaria 38 Match,Zeezeilschool Scheveningen,Jur Ringers,,1 - 01:59:59,1.019,1 - 02:29:37,"DPI-Place 50% Penalty, Minimum 5 Places"
,10,GBR787,Paladin,Excalibur 36,Will Patten,,,,0.886,,DNF-Did Not Finish
,10,GBR3898,Ruffian,Sigma 36,Pete McIntyre,2H,,,0.951,,DNF-Did Not Finish
,10,GBR8876T,Panther,J/105,Yvonne Beusker,2H,,,1.002,,DNF-Did Not Finish
,10,GBR980R,Strata 3,Sun Odyssey 36i,East Anglian Sea School,Peter Smith,,,1.006,,DNF-Did Not Finish
,10,NED8202,Joost & Vrolijk,Dehler 36 JV,Joost Nederkoorn,2H,,,1.010,,DNF-Did Not Finish
,10,GBR8644T,Berserker,Dehler 36 SQ,Richard Thomas,,,,1.024,,DNF-Did Not Finish
,10,GBR1355R,Lulotte,Swan 55 Yawl,Ben Morris,,,,1.039,,DNF-Did Not Finish
