# 2013 RORC Mainseries IRC Overall - De Guingand Bowl Race (Fri 14 Jun 13) - 74 boats - https://www.rorc.org/raceresults/2013/ircoverall05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA38485,Courrier Vintage,MC34 Patton,Sam Marsaudon and Géry Trentesaux,Géry Trentesaux,,15:05:53,1.053,15:53:54,
2,94,GBR1702T,Scarlet Logic,Oyster 48,Ross Applebey/Sailing Logic,,,15:22:15,1.078,16:34:11,
3,90,FRA35439,Inis Mor,Ker 39,Laurent Gouy,,,14:46:20,1.123,16:35:21,
4,86,FRA25767,Exception,X 40,Patrick Ponchelet,,,15:44:24,1.054,16:35:24,
5,83,GBR42N,La Réponse,First 40,Andrew McIrvine,,,15:18:59,1.086,16:38:01,
6,80,GBR236R,Erivale III,Ker 39,Michael Greville,,,14:56:37,1.115,16:39:44,
7,78,GBR6840R,Lancelot II Logic,First 40,Sailing Logic/Stacey Vickers,,,15:30:04,1.080,16:44:28,
8,76,GBR1010L,Xinska,X 40,Bernard Olesinski,Orion Shuttleworth,,15:52:16,1.055,16:44:38,
9,74,GBR39R,Magnum III,Ker 40,Andrew Pearce,,,14:09:38,1.193,16:53:37,
10,72,FRA38902,Raging Bee,JPK 10.10,Louis-Marie Dussere,2H,,16:41:18,1.013,16:54:19,
11,70,GBR2215L,Trustmarque Quokka 8,Grand Soleil 43,Peter Rutter/Deep Blue Racing,Philippe Falle,,15:23:01,1.099,16:54:24,
12,68,GBR8352,Mefisto,Sigma 38,Kevin Sussmilch,,,17:12:49,0.983,16:55:16,
13,66,GBR7383R,Puma Logic,Reflex 38,Sailing Logic,,,15:54:10,1.065,16:56:11,
14,65,GBR8338,With Alacrity,Sigma 38,Chris Choules,Chris & Vanessa Choules & Friends,,17:14:51,0.983,16:57:15,
15,64,GBR2091R,Je Vante,J/109,Todd Wells,,,16:44:20,1.014,16:58:24,
16,63,GBR918R,Jarhead,J/109,Greg Nasmyth,,,16:46:55,1.014,17:01:01,
17,62,GBR1509R,JIBE,J/109,Robin Taunt,Fergus Roper,,16:51:30,1.013,17:04:39,
18,61,GBR1866N,Breeze,Cal 40,Robert Boulter,,,18:08:16,0.950,17:13:51,
19,60,GBR5355N,Phosphorus,Rodman 42,Mark Emerson,,,15:07:17,1.142,17:16:07,
20,59,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,,17:03:39,1.013,17:16:57,
21,58.5,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,,14:29:20,1.193,17:17:07,
22,58,GBR9205R,Diablo-J,J/105,Nick Martin,2H,,17:12:22,1.007,17:19:36,
23,57.5,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,,17:05:20,1.016,17:21:44,
24,57,GBR9793T,Cheeki Rafiki,First 40.7,Stormforce Coaching,Ifan James,,16:30:30,1.053,17:23:00,
25,56.5,GBR815,Longue Pierre,Dehler 38,D Cooper & P England,David Cooper,,17:51:45,0.974,17:23:53,
