# 2013 RORC Mainseries IRC Overall - Rolex Middle Sea Race (Sat 19 Oct 13) - 88 boats - https://www.rorc.org/raceresults/2013/ircoverall13.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,ITA5200,B2,IRC 52,Michele Galli,Francesco de Angelis,,3 - 01:19:54,1.389,4 - 05:51:28,
2,94,ITA65001,Nikka Sixty Five,65' sloop,Roberto Lacorte,,,3 - 03:03:30,1.389,4 - 08:15:22,
3,90,GER6261,Emma,Swan 60,Johann Killinger,,,3 - 06:26:07,1.335,4 - 08:42:40,
4,86,GBR8728R,Alegre,Mills 72,Andres Soriano,,,2 - 18:25:05,1.585,4 - 09:16:21,
5,83,ITA16133,Cantankerous,Cookson 50,Germana Tognella,Gabriele Bruni,,3 - 05:02:49,1.369,4 - 09:28:38,
6,80,HUN7002,Wild Joe,RP Custom 60,Marton Jozsa,,,2 - 23:38:26,1.488,4 - 10:36:04,
7,78,CAY65,Caro,Botin IRC 65,Roccomare Ltd,Stuart Bannatyne,,2 - 23:54:08,1.484,4 - 10:42:10,
8,76,GBR7236R,Robertissima III,JV 72,Luca Simone,Vasco Vascotto,,2 - 19:39:28,1.590,4 - 11:34:33,
9,74,GER5386,Morning Glory,Z 86,Kristina Plattner,,,2 - 16:12:19,1.703,4 - 13:20:30,
10,72,GER6408,Speedy,Marten 49,Hans Riegel,Bernard Xiberras,,3 - 16:33:09,1.254,4 - 15:02:41,
11,70,USA47,Otra Vez,J/122,Aaron Gatt Floridia,Aaron Gatt Floridia & Edward Gatt Floridia,,4 - 06:21:39,1.089,4 - 15:28:15,
12,68,GBR9192R,Eos,Elan 410,Roderick Stuart,,,4 - 08:29:40,1.067,4 - 15:29:44,
13,66,ITA15449,Pita Maha,X 40,Renzo Grottesi,,,4 - 08:48:34,1.065,4 - 15:37:19,
14,65,GER370,Oiltanking Juno,J/133,David Anastasi,David Ananstasi & Sonke Stein,,4 - 03:58:05,1.118,4 - 15:45:51,
15,64,ITA15037,Sagola Biotrading,Grand Soleil 37,Peppe Fornich,,,4 - 11:44:58,1.038,4 - 15:50:38,
17,62,ITA28965,Black Bull,J/111,Marco Flandin,Piero Platone,,4 - 07:47:05,1.094,4 - 17:32:26,
18,61,MLT9939,Xp-act,XP 44,Timmy Camilleri,Timmy Camilleri & Josef Schultheis,,4 - 04:21:11,1.138,4 - 18:12:06,
19,60,CZE117,Three Sisters,First 40.7,Tomas Dolezal,Milan Hajek,,4 - 13:00:25,1.057,4 - 19:13:13,
20,59,FRA40,Freyja,Elan 40,Bernard G. Cordeau,,,4 - 16:39:30,1.034,4 - 20:29:19,
21,58.5,ITA15585,Amapola,Oceanis 430,Gherardo Maviglia,,,4 - 23:19:31,0.977,4 - 20:34:51,
22,58,ITA16134,Duffy of Marina di Policoro,Dufour 34e Performance,Enrico Calvi,,,4 - 23:17:01,0.981,4 - 21:01:02,
23,57.5,ITA3202,Hakuna Matata,Sun Fast 3200,Massimo Zanotti,,,4 - 22:28:15,0.989,4 - 21:10:04,
24,57,MLT2222,Artie-RTFX,J/122,Lee Satariano,Lee Satariano & Christian Ripard,,4 - 11:41:54,1.088,4 - 21:10:33,
25,56.5,MLT441,Vikesha II,XP 44,Oleg Evdokimenko,,,4 - 07:24:30,1.137,4 - 21:34:31,
26,56,MLT450,Elusive II,First 45,Arthur Podesta,,,4 - 08:49:43,1.123,4 - 21:43:21,
27,55.5,ITA15934,Capricciricci,X 55,Gianluigi Dubbini,Piero Biasi,,4 - 01:50:37,1.206,4 - 21:59:58,
28,55,ITA4465,JStorm,J/111,Massimo Colosimo,Marzio Dotti,,4 - 12:09:15,1.095,4 - 22:25:44,
29,54.5,GBR53N,Music,Swan 53,James Blakemore,,,4 - 10:03:53,1.120,4 - 22:47:33,
30,54,GBR42N,La Réponse,First 40,Andrew McIrvine,,,4 - 13:43:11,1.083,4 - 22:49:35,
31,53.5,NED6572,King's Legend,Swan 65,Gijs Van Liebergen,,,4 - 07:48:17,1.145,4 - 22:51:23,
32,53,ITA16130,Tres Amis,Elan,Quadarella Aldo,,,4 - 14:28:25,1.077,4 - 22:58:48,
