# NSR 2013 ORC 2 - North Sea Race (Fri 10 May 13 11:10:00) - 12 boats - https://www.rorc.org/raceresults/2013/nsr-orc201.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,92,NED6063,Antares,Trintella 53,Frans Winterswijk,Nicole Eggink,11 May - 09:58:50,22:48:50,0.9972,22:45:00,
2,86,NED6428,Griel,Dehler 39,Robert Jockin,,11 May - 10:59:18,23:49:18,1.0026,23:53:01,
3,82,NED6854,Blondie,First 42s7,Henny Abbenhues,Laurens Helmes,11 May - 12:32:32,1 - 01:22:32,0.9812,1 - 00:53:55,
4,78,NED5568,Exxellence Hodspur,HOD 35,Patrick ten Brincke,,11 May - 12:41:07,1 - 01:31:07,0.9826,1 - 01:04:29,
5,75,NED7386,Moshulu,IMX 38,Hans-Albert de Graaf,,11 May - 12:15:04,1 - 01:05:04,1.0143,1 - 01:26:35,
6,72,ITA13689,Iluka,First 40.7,Leon Rodenburg,,11 May - 12:18:18,1 - 01:08:18,1.0212,1 - 01:40:17,
7,70,NED7935,Flying Dolphin,Dufour 40 Performance,Willem de Jonge van Ellemeet,,11 May - 12:59:48,1 - 01:49:48,1.0178,1 - 02:17:23,
8,68,NED5811,Salty Dog,Dehler 37 DB,Rene Bollen,,11 May - 14:09:58,1 - 02:59:58,0.9795,1 - 02:26:45,
9,66,NED9880,Excession,IMX 38,Willem Stam,,11 May - 13:15:18,1 - 02:05:18,1.0189,1 - 02:34:53,
10,64,NED7643,Joris K,Elan 37,Jaap Kakebeeke,,11 May - 14:27:54,1 - 03:17:54,0.9854,1 - 02:53:59,
,10,NED6385,Via Vai,X-362s,Bram Sprij,,,,0.9840,,DNS-Did Not Start
,10,NED8116,Horizon,Winner 12.20,Kees Doets,,,,1.0164,,DNS-Did Not Start
