# 2013 RORC Mainseries IRC One - De Guingand Bowl Race (Fri 14 Jun 13 16:30:00) - 10 boats - https://www.rorc.org/raceresults/2013/one05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,90,FRA35439,Inis Mor,Ker 39,Laurent Gouy,,15 Jun - 07:16:20,14:46:20,1.123,16:35:21,
2,84,GBR236R,Erivale III,Ker 39,Michael Greville,,15 Jun - 07:26:37,14:56:37,1.115,16:39:44,
3,80,GBR39R,Magnum III,Ker 40,Andrew Pearce,,15 Jun - 06:39:38,14:09:38,1.193,16:53:37,
4,76,GBR5355N,Phosphorus,Rodman 42,Mark Emerson,,15 Jun - 07:37:17,15:07:17,1.142,17:16:07,
5,73,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,15 Jun - 06:59:20,14:29:20,1.193,17:17:07,
6,70,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,15 Jun - 08:29:23,15:59:23,1.104,17:39:10,
7,68,GBR8248,Incisor,Corby 45,Windward Sailing,James Gair,15 Jun - 07:40:11,15:10:11,1.165,17:40:22,
8,66,GBR6643R,Nightfall,Arcona 430,Tom Sperrey,2H,15 Jun - 08:35:54,16:05:54,1.122,18:03:44,
9,64,GBR6944R,Smoke N' Oakum,Grand Soleil 44 Race,Steven Winstanley,,15 Jun - 09:17:50,16:47:50,1.124,18:52:48,
10,62,GBR641,Hope & Glory/UNICEF,Humphreys 50 Custom,Robert Gibson,,15 Jun - 09:50:03,17:20:03,1.143,19:48:47,
