# 2013 RORC Mainseries IRC One - Rolex Fastnet Race (Sun 11 Aug 13 13:30:00) - 43 boats - https://www.rorc.org/raceresults/2013/one11.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR39R,Magnum III,Ker 40,Andrew Pearce,,14 Aug - 19:34:35,3 - 06:04:35,1.192,3 - 21:04:01,
2,94,FRA35439,Inis Mor,Ker 39,Laurent Gouy,,15 Aug - 01:03:58,3 - 11:33:58,1.123,3 - 21:50:41,
3,90,BEL4701,Moana,First 47.7,François Goubau,Mathieu Goubau,15 Aug - 02:57:19,3 - 13:27:19,1.109,3 - 22:46:12,
4,86,NED40010,Baraka GP,Ker 40,Harmen J de Graaf,,14 Aug - 21:29:57,3 - 07:59:57,1.194,3 - 23:31:08,
5,83,GBR4947R,Lisa,First 44.7,Nicholas Jones,,15 Aug - 03:22:17,3 - 13:52:17,1.113,3 - 23:34:29,
6,80,ITA688,Aniene/Keronimo,Ker 40,Giorgio Martin,Stefano Spangaro,14 Aug - 21:46:49,3 - 08:16:49,1.191,3 - 23:36:50,
7,78,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,14 Aug - 21:51:42,3 - 08:21:42,1.194,3 - 23:57:07,
8,76,FRA36777,Codiam,Grand Soleil 43,N Loday & J C Nicoleau,Nicolas Loday,15 Aug - 04:27:17,3 - 14:57:17,1.104,3 - 23:59:53,
9,74,NED46,Tonnerre de Breskens 3,Ker 46,Piet Vroon,,14 Aug - 17:05:28,3 - 03:35:28,1.270,4 - 00:00:03,
10,72,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,15 Aug - 04:30:50,3 - 15:00:50,1.104,4 - 00:03:48,
11,70,IRL1335,Spirit Of Jacana,J/133,"Alan, Bruce and James Douglas",Bruce Douglas,15 Aug - 04:22:37,3 - 14:52:37,1.108,4 - 00:15:35,
12,68,GBR236R,Erivale III,Ker 39,Michael Greville,,15 Aug - 03:53:59,3 - 14:23:59,1.115,4 - 00:20:08,
13,66,NOR12343,Destin,Landmark 43,Tore Kandahl,,15 Aug - 00:56:47,3 - 11:26:47,1.156,4 - 00:27:50,
14,65,IRL3939,Antix,Ker 39,Anthony O'Leary,,15 Aug - 02:32:58,3 - 13:02:58,1.136,4 - 00:36:58,
15,64,FRA27967,Jivaro,J/133,Yves Grosjean,,15 Aug - 05:04:12,3 - 15:34:12,1.109,4 - 01:06:54,
