# 2013 RORC Mainseries IRC One - Rolex Middle Sea Race (Sat 19 Oct 13) - 29 boats - https://www.rorc.org/raceresults/2013/one13.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GER6408,Speedy,Marten 49,Hans Riegel,Bernard Xiberras,,3 - 16:33:09,1.254,4 - 15:02:41,
2,94,GER370,Oiltanking Juno,J/133,David Anastasi,David Ananstasi & Sonke Stein,,4 - 03:58:05,1.118,4 - 15:45:51,
3,90,MLT9939,Xp-act,XP 44,Timmy Camilleri,Timmy Camilleri & Josef Schultheis,,4 - 04:21:11,1.138,4 - 18:12:06,
4,86,MLT441,Vikesha II,XP 44,Oleg Evdokimenko,,,4 - 07:24:30,1.137,4 - 21:34:31,
5,83,MLT450,Elusive II,First 45,Arthur Podesta,,,4 - 08:49:43,1.123,4 - 21:43:21,
6,80,ITA15934,Capricciricci,X 55,Gianluigi Dubbini,Piero Biasi,,4 - 01:50:37,1.206,4 - 21:59:58,
7,78,GBR53N,Music,Swan 53,James Blakemore,,,4 - 10:03:53,1.120,4 - 22:47:33,
8,76,NED6572,King's Legend,Swan 65,Gijs Van Liebergen,,,4 - 07:48:17,1.145,4 - 22:51:23,
9,74,RUS2790,Courrier Du Coeur,First 44.7,Andrey Arbuzov,,,4 - 10:44:31,1.115,4 - 23:01:02,
10,72,SLO417,Muca Maca - Tamar racing,XP 44,Miha Dolinar,Miha Dolinar & Ivan Stravs,,4 - 11:03:55,1.112,4 - 23:03:24,
11,70,MLT1248,Comanche Raider II Gasanmamo,ILC 40,Jonas Diamantino,Jonas Diamantino & Ramon Sant Hill,,4 - 09:12:00,1.141,5 - 00:02:00,
12,68,ITA15145,Libertine,Comet45 S,Marco Paolucci,Marco Balbi,,4 - 10:12:29,1.134,5 - 00:26:24,
13,66,ESP6237,Clem,Swan 56,Amanda Hartley,Jaime Olazabal,,4 - 08:22:55,1.158,5 - 00:52:27,
14,65,FRA83,TWT Ucomm,Class40,Marco Rodolfi,,,4 - 00:17:35,1.261,5 - 01:25:32,
15,64,RUS6262,Krasotka,Sinergia 41,600nm Racing Club,Alex Chukaev,,4 - 12:33:04,1.123,5 - 01:54:10,
16,63,GBR3968,Gaetana,Swan 651,Riccardo Pavoncelli,,,4 - 08:18:34,1.169,5 - 01:56:16,
17,62,IRL7600,Lilla,C.N.B. Briand 76,DP Yachts Ltd,Simon de Pietro,,4 - 06:32:15,1.197,5 - 02:44:15,
18,61,RUS15284,High Spirit,First 44.7,Massimo Zanotti,,,4 - 15:46:17,1.105,5 - 03:30:27,
19,60,MLT166,August Rush Beta Paints,Pacer 376,Charles Borg Barthet,,,4 - 14:11:16,1.124,5 - 03:51:04,
20,59,14741,Sciara,First 44.7,Filippo Massimo Lancellotti,,,4 - 15:12:53,1.114,5 - 03:53:36,
21,58.5,NED7746,Montrachet,Swan 48,Robert Schuijt,,,4 - 15:46:15,1.111,5 - 04:10:39,Elapsed includes 15 min time penalty
22,58,GBR741169,Joker,Bavaria Vision 50,Alexander Markarov,,,4 - 17:02:39,1.104,5 - 04:48:03,
23,57.5,RUS931,Anna,Mobile 53,"ZAO SMM""",Mikhail Mataruev,,4 - 07:47:01,1.234,5 - 08:04:08,
25,56.5,SUI5603,Lurigna,Baltic 56,Karl Enzler,David Pizzuto,,4 - 06:05:38,1.267,5 - 09:21:11,
26,56,AUT2895,Lunz Am Meer,Swan 651,Marietta Strasoldo,Eugen R. Genghini,,4 - 14:55:55,1.194,5 - 12:27:10,
27,55.5,GBR2742R,Atame,Fast 42,Beppe Bisotto,,,4 - 23:37:50,1.109,5 - 12:40:13,
28,55,GER1375,Aquis Granus,Lutra 52,Gerhard Henssen,,,4 - 11:38:57,1.270,5 - 16:42:52,
29,54.5,ITA84,Extreme Sail Academy,Class40,Sergio Fratatruolo,,,4 - 13:28:59,1.274,5 - 19:28:53,
24,48.5,ITA14628,Libera,Comet 51S,Lorenzo Zichichi,,,4 - 18:01:01,1.134,5 - 09:17:43,SCP-Penalty Points of Place + 20% of Entry
