# 2013 RORC Easter Challenge IRC Four - Entries: 14      Races Sailed: 7 (None) - 14 boats - https://www.rorc.org/raceresults/2013/rec-fouros.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR7712R,Zarafa,HOD 35,Peter Scholfield,,,,1.000,,
,,GBR1444L,Altura & Steamy,First 34.7,Neil Cash / Nick Haigh,,,,0.995,,
,,GBR6733R,Black Diamond,Figaro Solo,Mark Brown,Mark Brown & Justin Leese,,,0.966,,
,,GBR8500R,Brightwork,X 332,Robert Baker,,,,0.977,,
,,GBR8414R,Aguila,Quarter Tonner,Sam Laidlaw,,,,0.901,,
,,GBR922R,Juno,X 34,Charles Whittam,,,,0.998,,
,,GBR726,Jumblesail,J/80,Robert Hunt,,,,0.958,,
,,ESP3090,Cote,Quarter Tonner,Rob Gray,Thomas Dawson,,,0.905,,
,,GBR3033L,Wild Child,Corby 30,Brian Wilkinson,,,,0.985,,
,,GBR5464R,Right Royal Of Upnor,Dehler 32,REYC,Chris Maher,,,0.983,,
,,GBR7253T,Ilex of Upnor,X 332,REYC,Jason West,,,0.956,,
,,GBR8405T,Ragna of Upnor,Elan 31,REYC,Lucie Allaway,,,0.949,,
,,GBR5261,Chimp,Half Tonner,Michael Kershaw,,,,0.930,,
,,I8709,Cri Cri,Quarter Tonner,Paul Colton,,,,0.916,,
