# 2013 RORC Easter Challenge IRC Two - Entries: 12      Races Sailed: 7 (None) - 12 boats - https://www.rorc.org/raceresults/2013/rec-twoos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR5940R,Tokoloshe,King 40,Michael Bartholomew,,,,1.120,,
,,GBR60R,Jeronimo,J/133,Jackie Dobson,,,,1.098,,
,,IRL3939,Antix,Ker 39,Anthony O'Leary,,,,1.138,,
,,IRL39000,Zero II,Mills 39,Cowes Race School,James Gair,,,1.110,,
,,GBR42N,La Réponse,First 40,Andrew McIrvine,,,,1.086,,
,,GBR1010L,Xinska,X 40,Bernard Olesinski,Rupert Morgan,,,1.051,,
,,GBR731T,Tanit,Sydney 36,Paul and Richard Harris,Richard Harris,,,1.055,,
,,GBR7404R,Interceptor,First 40.7,Stuart Wilkie,,,,1.055,,
,,GBR7207T,Playing Around,First 40.7,Nick Rawbone,Nicholas Robson,,,1.057,,
,,GBR9481R,Lancelot,First 40.7,Simon Boulding,,,,1.057,,
,,GBR5355N,Phosphorus,Rodman 42,Mark Emerson,,,,1.142,,
,,BEL11111,Djinn,J/111,JUST 4 SAILING,Jean-Patrick Smal,,,1.092,,
