# 2013 RORC Mainseries IRC Three - Rolex Fastnet Race (Sun 11 Aug 13 12:50:00) - 65 boats - https://www.rorc.org/raceresults/2013/three11.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA38895,Night And Day,JPK 10.10,Pascal Loison,2H,15 Aug - 07:19:57,3 - 18:29:57,1.009,3 - 19:18:49,
2,94,FRA9624,Rhapsodie V,J/120,Jean Jacques Godet,,15 Aug - 05:37:01,3 - 16:47:01,1.041,3 - 20:25:25,
3,90,FRA34607,Chenapan,A 35,Gilles Caminade,,15 Aug - 06:39:20,3 - 17:49:20,1.033,3 - 20:47:11,
4,86,FRA34646,Lann Ael,JPK 110,Didier Gaudoux,,15 Aug - 06:34:27,3 - 17:44:27,1.045,3 - 21:46:45,
5,83,FRA34634,Prime Time,A 35,M Alperovitch & J Huillard,Marc Alperovitch,15 Aug - 07:39:05,3 - 18:49:05,1.034,3 - 21:54:21,
6,80,FRA36920,Dare Dare,Dufour 36,Christophe Bru,,15 Aug - 08:18:22,3 - 19:28:22,1.028,3 - 22:02:02,
7,78,GBR3700L,Fatjax,X 37,Iain Kirkpatrick,,15 Aug - 07:47:33,3 - 18:57:33,1.040,3 - 22:35:51,
8,76,GBR2091R,Je Vante,J/109,Todd Wells,,15 Aug - 10:26:05,3 - 21:36:05,1.014,3 - 22:54:43,
9,74,FRA35080,Dunkerque Plaisance - Gill Racing Team,A 35,Benoit D'halluin,,15 Aug - 09:24:58,3 - 20:34:58,1.033,3 - 23:38:17,
10,72,FRA27691,MUSIX for Plan,Grand Soleil 37,Philippe Baetz,,15 Aug - 10:21:19,3 - 21:31:19,1.030,4 - 00:19:39,
11,70,GBR6738R,Seawolf Of Southampton,Pronavia 38,David Latham,,15 Aug - 09:44:07,3 - 20:54:07,1.040,4 - 00:37:05,
12,68,GBR918R,Jarhead,J/109,Greg Nasmyth,,15 Aug - 12:10:21,3 - 23:20:21,1.014,4 - 00:40:26,
13,66,GBR8537R,Jangada Too,J/109,Richard Palmer,2H,15 Aug - 12:34:08,3 - 23:44:08,1.010,4 - 00:41:34,
14,65,GBR626,Old Mother Gun,Humphreys 40,Philip Farrands,,15 Aug - 09:36:55,3 - 20:46:55,1.044,4 - 00:51:52,
15,64,FRA38902,Raging Bee,JPK 10.10,Louis-marie Dussere,2H,15 Aug - 12:52:17,4 - 00:02:17,1.009,4 - 00:54:09,
16,63,GBR1509R,JIBE,J/109,Robin Taunt,Fergus Roper,15 Aug - 12:54:07,4 - 00:04:07,1.013,4 - 01:19:03,
17,62,GBR8541R,Jolly Jack Tar,J/109,Adrian Wheal,,15 Aug - 13:02:51,4 - 00:12:51,1.016,4 - 01:45:13,
18,61,FRA34983,Decatur,A 35,Yves Passat,,15 Aug - 11:49:55,3 - 22:59:55,1.030,4 - 01:50:55,
19,60,IRL8088,Jedi,J/109,"Treanor, Sarratt, McGuinness",Andrew Sarratt,15 Aug - 13:02:25,4 - 00:12:25,1.019,4 - 02:02:06,
20,59,GBR3135L,Jumbuck,J/109,John Allison,,15 Aug - 13:17:47,4 - 00:27:47,1.017,4 - 02:06:11,
21,58.5,GBR9047R,Mojito,J/109,Peter Dunlop,Stephen Tudor,15 Aug - 13:37:37,4 - 00:47:37,1.014,4 - 02:08:55,
22,58,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,15 Aug - 14:00:16,4 - 01:10:16,1.013,4 - 02:26:04,
23,57.5,GBR8809R,Inspara,J/109,Tor McLaren,,15 Aug - 14:45:37,4 - 01:55:37,1.010,4 - 02:54:22,
24,57,GBR979R,Malice,HOD 35,Mike Moxley,2H,15 Aug - 13:33:01,4 - 00:43:01,1.023,4 - 02:56:29,
