# 2013 RORC Mainseries IRC Three - Entries: 108      Races Sailed: 13      Discard: 8 (None) - 108 boats - https://www.rorc.org/raceresults/2013/threeos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,FRA38895,Night And Day,JPK 10.10,Pascal Loison,,,,1.009,,
,,GBR2091R,Je Vante,J/109,Todd Wells,,,,1.014,,
,,GBR1509R,JIBE,J/109,Robin Taunt,,,,1.013,,
,,GBR9205R,Diablo-J,J/105,Nick Martin,,,,1.007,,
,,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,,,1.013,,
,,GBR9383R,Intuition,Reflex 38,Yuri Fadeev,,,,1.045,,
,,GBR3135L,Jumbuck,J/109,John Allison,,,,1.017,,
,,FRA38902,Raging Bee,JPK 10.10,Louis-marie Dussere,,,,1.009,,
,,GBR979R,Malice,HOD 35,Mike Moxley,,,,1.023,,
,,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,,,1.016,,
,,GBR918R,Jarhead,J/109,Greg Nasmyth,,,,1.014,,
,,GBR8809R,Inspara,J/109,Tor McLaren,,,,1.010,,
,,GBR1355R,Lulotte,Swan 55 Yawl,Ben Morris,,,,1.039,,
,,GBR3111N,Mostly Harmless,J/105,Tom Hayhoe,,,,1.013,,
,,GBR7909R,Jolene II,J/109,Philip Nelson,,,,1.013,,
,,FRA34634,Prime Time,A 35,M Alperovitch & J Huillard,,,,1.034,,
,,FRA37588,So What,JPK 10.10,Chris Schram,,,,1.012,,
,,GBR3700L,Fatjax,X 37,Iain Kirkpatrick,,,,1.040,,
,,BEL613,Rackham,JPK 110,Eric van Campenhout,,,,1.041,,
,,GBR4709R,Jambo!,J/109,Stephen Morris,,,,1.009,,
,,GBR2932L,Bold Eagle,Bavaria 40s,Surrey Sailing/Warwick Bookman,,,,1.016,,
,,FRA35080,Dunkerque Plaisance - Gill Racing Team,A 35,Benoit D'halluin,,,,1.033,,
,,GBR1329R,Thumper,Grand Soleil 39,Julian Johnson,,,,1.048,,
,,GBR8368T,Adelaide Star,Bavaria 44,Commodore Yachting,,,,1.039,,
,,GBR3L,Me Julie,J/109,Capstan Sailing,,,,1.025,,
,,FRA34983,Decatur,A 35,Yves Passat,,,,1.030,,
,,GBR8537R,Jangada Too,J/109,Richard Palmer,,,,1.010,,
,,GBR2460L,Run,First 35,David Mossman,,,,1.025,,
,,GBR626,Old Mother Gun,Humphreys 40,Philip Farrands,,,,1.044,,
,,GBR4973T,Exocet,IMX 38,Janet Pilkington,,,,1.032,,
,,GBR704R,Philosophie IV,First 40.7,Nicolas Gaumont-Prat,,,,1.039,,
