# 2013 RORC Mainseries IRC Zero - RORC Caribbean 600 (Mon 18 Feb 13) - 16 boats - https://www.rorc.org/raceresults/2013/zero01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,96,USA45,Bella Mente,JV 72 Custom,Hap Fauth,,,2 - 00:11:41,1.595,3 - 04:52:14,
2,90,CAY27,Adela,Dijkstra,Adela Ltd,Greg Norwood-Perkins,,2 - 08:12:04,1.388,3 - 06:00:26,
3,86,GBR112L,Nilaya,Baltic 112,Filip Balcaen,,,2 - 01:18:56,1.591,3 - 06:27:40,
4,82,GBR9059R,Nefertiti,Swan 90,Anders Nordquist,,,2 - 07:07:57,1.471,3 - 09:06:00,
5,79,GER6700,Varuna,Ker 51,Jens Kellinghusen,,,2 - 10:54:09,1.381,3 - 09:20:40,
6,76,USA28992,Locura,Nelson/Marek 92 Custom,Hector Velarde,,,2 - 15:45:10,1.323,3 - 12:20:42,
7,74,USA7575,Blackbird,Tripp 75,Jan Rupert,Michael Joubert,,2 - 09:35:55,1.473,3 - 12:50:34,
8,72,IRL1416,Cape Arrow,Southern Wind 100' RS,Tuskar Shipping Ltd,Andrea Balzarini,,2 - 12:48:13,1.447,3 - 15:58:58,
9,70,GBR1388N,Athos,Hoek 56m Custom,Antony Brookes,,,2 - 12:52:38,1.457,3 - 16:41:53,
10,68,US60006,Venomous,Carroll Marine 60,Derek Saunders,Michael Greville,,2 - 18:10:21,1.351,3 - 17:23:57,
11,66,ITA2300,Tyke,FY 61,Marco Serafini,,,2 - 20:37:36,1.308,3 - 17:45:49,
12,64,FRA1575,Med Spirit,Welbourn 92,Didier Lacombe,Vladimir Kulinichenko,,2 - 05:52:41,1.682,3 - 18:37:22,
,10,GER6300,Haspa Hamburg,JV 52 Custom,Hamburgischer Verein Seefahrt e.V.,Christoph Morgen,,,1.291,,DNF-Did Not Finish
,10,IRL77777,Whisper,Reichel Pugh 78,Mark Dicker,,,,1.399,,DNF-Did Not Finish
,10,GBR100L,Liara,Performance Yachts 100,Peter Metcalfe,,,,1.467,,DNF-Did Not Finish
,10,GBR800N,Idea of London,RP 78,Marine Charters,Tony McBride,,,1.485,,DNF-Did Not Finish
