# 2014 RORC Mainseries IRC Four - Round Ireland Race (Sat 28 Jun 14 14:00:00) - 16 boats - https://www.rorc.org/raceresults/2014/four07.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,96,IRL3861,Cavatina,Granada 38,Ian Hickey,,4 Jul - 07:36:20,5 - 17:36:20,0.922,5 - 06:52:20,
2,90,IRL3492,Big Deal,Dehler 34,Derek & Conor Dillon,2H,4 Jul - 09:52:20,5 - 19:52:20,0.927,5 - 09:39:42,
3,86,IRL1397,IOS – Desert Star,Sunfast 37,Irish Offshore Sailing,,4 Jul - 04:35:43,5 - 14:35:43,0.970,5 - 10:33:27,
4,82,GBR3015,McGregor IV,MG 38,Peter Ward,,4 Jul - 04:48:45,5 - 14:48:45,0.974,5 - 11:18:27,
5,79,GBR8799T,Wild Spirit,Sun Odyssey 40,Paul Jackson,,4 Jul - 06:37:33,5 - 16:37:33,0.984,5 - 14:26:23,
6,76,IRL8237,Persistance,Sigma 38,Jerry Collins,,4 Jul - 07:31:18,5 - 17:31:18,0.979,5 - 14:38:01,
7,74,GBR6965T,Musk-Ox,X-362S,Neville Devonport,2H,4 Jul - 05:45:11,5 - 15:45:11,0.992,5 - 14:40:01,
8,72,IRL9999,IOS – Sherkin,Sunfast 37,Irish Offshore Sailing,,4 Jul - 10:12:21,5 - 20:12:21,0.963,5 - 15:01:06,
9,70,IRL9631,Adelie,Beneteau 34.7,Butler – Hall,,4 Jul - 05:17:05,5 - 15:17:05,1.002,5 - 15:33:19,
10,68,GBR8666,Polished Manx,Sigma 33 OOD,Kuba Szymanski,,4 Jul - 21:37:18,6 - 07:37:18,0.898,5 - 16:09:23,
11,66,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,2H,4 Jul - 12:34:18,5 - 22:34:18,0.957,5 - 16:26:28,
12,64,IRL638,State O’Chassis,Sigma 38,Kevin Buckley,,4 Jul - 10:26:26,5 - 20:26:26,0.983,5 - 18:03:11,
13,62,GBR1399R,Dreamcatcher,Sun Odyssey 37,James Mansell,2H,4 Jul - 19:41:46,6 - 05:41:46,0.934,5 - 19:48:58,
,10,GBR6848T,Ocean Tango,Dehler 34 Nova Top,R Floate / C Norton,,,,0.928,,DNF-Did Not Finish
,10,IRL1966,Eugene F Collins  /Amazing Grace,Oyster 37,B O'Sullivan/B. Farrell,,,,0.928,,DNF-Did Not Finish
,10,GBR3921,Cosmic Dancer III,Baltic 37,Russell Walker,,,,0.965,,DNF-Did Not Finish
