# 2014 RORC Mainseries IRC Four - Cowes - Dinard - St Malo Race (Fri 11 Jul 14 10:00:00) - 14 boats - https://www.rorc.org/raceresults/2014/four08.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,94,FRA36568,Le MC Do De Cherbourg,Sun Fast 3200,Bruno James,2H,12 Jul - 06:43:12,20:43:12,0.998,20:40:43,
2,88,FRA4376,Hélisara,Stand Fast 37 / Tina 1.88,Jean-Paul Besnard,Loic Le Garrec,12 Jul - 08:50:20,22:50:20,0.910,20:47:00,
3,84,FRA25613,Firouzeh 4,J/109,Francois Boue,,12 Jul - 06:50:16,20:50:16,1.002,20:52:46,
4,80,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,12 Jul - 06:51:52,20:51:52,1.003,20:55:37,
5,77,FRA3333,Shortgood,First Class 10,Renaud Courbon,2H,12 Jul - 07:06:13,21:06:13,0.993,20:57:21,
6,74,FRA27550,Sous Mama Boulé,JPK 9.60,Ludovic Melnyk,2H,12 Jul - 07:39:04,21:39:04,0.976,21:07:53,
7,72,FRA35450,Gwez-Gwern,Symphonie,Jacques Minet,Florent le Sage,12 Jul - 09:17:33,23:17:33,0.908,21:08:59,
8,70,FRA37344,JJ L'Amorosso,J/97,Jean Pierre Briand,,12 Jul - 08:12:59,22:12:59,0.976,21:41:00,
9,68,GBR8146,Vitesse,Sigma 38,Jon England,,12 Jul - 08:10:36,22:10:36,0.983,21:47:59,
10,66,GBR9197R,High Jinks,J/97,Blair Forsyth,2H David Mossman,12 Jul - 08:32:26,22:32:26,0.978,22:02:41,
11,64,GBR3015,McGregor IV,MG 38,Peter Ward,,12 Jul - 08:41:14,22:41:14,0.974,22:05:50,
12,62,FRA18460,Callipyge,Sun Fast 32,Gaetan Bourdeaux,,12 Jul - 10:41:07,1 - 00:41:07,0.932,23:00:24,
13,60,FRA43669,Funchal III,Salona 35,Jean-Jacques Nere,2H,12 Jul - 09:13:09,23:13:09,0.999,23:11:45,
14,59,GBR7732T,Mardy Gras,X 332,Fred Mundle,,12 Jul - 15:48:00,1 - 05:48:00,0.984,1 - 05:19:24,
