# 2014 IRC National Championship IRC Two - Entries: 13      Races Sailed: 9      Discard: 1 (None) - 13 boats - https://www.rorc.org/raceresults/2014/ircnats-twoos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR8410R,Premier Flair,Elan 410,Jim Macgregor,,,,1.072,,
,,GBR8140C,Zephyr,First 40,Kevin Miller,,,,1.090,,
,,GBR4863R,Yes!,Corby 36,Adam Gosling,,,,1.067,,
,,GBR73R,Salvo,JND 35,Peter Morton,,,,1.059,,
,,GBR8601R,Ino,Corby 36,James Neville,,,,1.082,,
,,GBR3213L,Dusty P,First 40,Richard Patrick,,,,1.079,,
,,GBR7404R,Interceptor Logic,First 40.7,Stuart Wilkie,Sailing Logic/Tim Thubron,,,1.053,,
,,GBR7737R,Aurora,Corby 37,Roderick Stuart & Bill Ram,Roderick Stuart,,,1.092,,
,,GBR7207T,Playing Around,First 40.7,Nick Rawbone,,,,1.055,,
,,GBR1111X,Jitterbug,J/111,Cornel Riklin,,,,1.094,,
,,GBR4070L,Incognito,First 40.7,Paul McNamara & Tony Lowe,,,,1.051,,
,,GBR111N,McFly,J/111,Anthony Mack,,,,1.095,,
,,GBR42N,La Réponse,First 40,Andrew McIrvine,,,,1.083,,
