# 2014 RORC Mainseries IRC Overall - RORC Caribbean 600 (Mon 24 Feb 14) - 51 boats - https://www.rorc.org/raceresults/2014/ircoverall01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,USA60272,Shockwave,Mini Maxi,George Sakellaris,,,2 - 00:18:26,1.579,3 - 04:16:38,
2,94,USA45,Bella Mente,JV 72 Custom,Hap Fauth,,,2 - 00:05:44,1.603,3 - 05:05:50,
3,90,GBR528R,Pace,TP 52,Johnny Vincent,,,2 - 09:44:00,1.373,3 - 07:16:04,
4,86,USA50009,Privateer,Cookson 50,Ron O'Hanley,,,2 - 10:22:33,1.379,3 - 08:30:01,
5,83,CAY65,Caro,Botin IRC 65,Roccomare Ltd,Maximilian Klink,,2 - 07:40:24,1.467,3 - 09:40:22,
6,80,USA25555,Rambler,Reichel Pugh 90,George David,,,2 - 00:16:00,1.695,3 - 09:48:43,
7,78,NED46,Tonnerre de Breskens 3,Ker 46,Piet Vroon,,,2 - 16:42:16,1.274,3 - 10:26:00,
8,76,A1,Adela,Dijkstra,Adela Ltd,,,2 - 12:00:59,1.386,3 - 11:10:58,
9,74,USA60456,Grundoom,Carkeek 47.5,James Grundy,,,2 - 13:59:06,1.344,3 - 11:18:28,
10,72,GBR9059R,Nefertiti,Swan 90,Anders Nordquist,,,2 - 09:13:30,1.468,3 - 12:00:23,
11,70,GBR486,Sleeper,Azuree 46,Jonty Layfield,,,3 - 00:57:50,1.152,3 - 12:03:16,
12,68,IRL1416,Cape Arrow,Southern Wind 100' RS,Tuskar Shipping Ltd,Fabrizio Oddone,,2 - 10:53:47,1.448,3 - 13:16:55,
13,66,USA52821,White Rhino,Swan 56,Todd Stuart,,,3 - 00:14:33,1.181,3 - 13:19:06,
14,65,GBR6840R,Lancelot II,First 40,Andy Byham,Peter Sowrey,,3 - 07:23:44,1.075,3 - 13:21:01,
15,64,GBR2215L,Quokka 8,Grand Soleil 43,Michael Boyd & Niall Dowling,,,3 - 06:23:30,1.095,3 - 13:50:20,
16,63,GBR4778R,EH01,First 47.7,Global Yacht Racing,Andy Middleton,,3 - 07:08:07,1.099,3 - 14:58:11,
17,62,GBR007,Alpina,Swan 80 Mod,Oscar Konyukhov,,,2 - 14:55:31,1.385,3 - 15:09:05,
18,61,USA52830,Kismet,Morris 486,David Southwell,,,3 - 05:26:53,1.128,3 - 15:21:41,
19,60,RUS1,Monster Project,Volvo 70,Andrew Budgen and Fred Schwyn,Andrew Budgen,,2 - 05:29:35,1.648,3 - 16:09:24,
20,59,GBR5951T,Northern Child,Swan 51,Performance Yacht Charters,RD Racing - Dmitri Zaritakii,,3 - 09:52:38,1.080,3 - 16:25:39,
21,58.5,SBH030,AronnaX,X 482,Alain Charlot,,,3 - 08:27:47,1.099,3 - 16:25:44,
