# 2014 RORC Mainseries IRC Overall - Round Ireland Race (Sat 28 Jun 14) - 36 boats - https://www.rorc.org/raceresults/2014/ircoverall07.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR731T,Tanit,Sydney 36,Richard Harris,,,4 - 19:54:03,1.051,5 - 01:48:42,
2,94,IRL1383,Ruth,J/109,Liam Shanahan,,,5 - 00:00:17,1.016,5 - 01:55:29,
3,90,FRA35439,Inis Mor,Ker 39,Gouy Laurent,,,4 - 14:13:55,1.121,5 - 03:34:12,
4,86,IRL3209,Endgame,A 35,Frank Doyle,,,5 - 01:24:06,1.029,5 - 04:55:20,
5,83,IRL3861,Cavatina,Granada 38,Ian Hickey,,,5 - 17:36:20,0.922,5 - 06:52:20,
6,80,GBR5355N,Phosphorus,Rodman 42,Mark Emerson,,,4 - 16:31:39,1.136,5 - 07:49:52,
7,78,GBR8191R,British Soldier,J/111,Army Sailing Association,,,4 - 21:25:05,1.096,5 - 08:41:25,
8,76,IRL3492,Big Deal,Dehler 34,Derek & Conor Dillon,2H,,5 - 19:52:20,0.927,5 - 09:39:42,
9,74,IRL1397,IOS – Desert Star,Sunfast 37,Irish Offshore Sailing,,,5 - 14:35:43,0.970,5 - 10:33:27,
10,72,GBR3015,McGregor IV,MG 38,Peter Ward,Derek Brown,,5 - 14:48:45,0.974,5 - 11:18:27,
11,70,GBR9047R,Mojito,J/109,P Dunlop & V Cox,,,5 - 09:50:16,1.013,5 - 11:31:32,
12,68,GBR8799T,Wild Spirit,Sun Odyssey 40,Paul Jackson,,,5 - 16:37:33,0.984,5 - 14:26:23,
13,66,IRL8237,Persistance,Sigma 38,Jerry Collins,,,5 - 17:31:18,0.979,5 - 14:38:01,
14,65,GBR6965T,Musk-Ox,X-362S,Neville Devonport,2H,,5 - 15:45:11,0.992,5 - 14:40:01,
15,64,IRL9999,IOS – Sherkin,Sunfast 37,Irish Offshore Sailing,,,5 - 20:12:21,0.963,5 - 15:01:06,
16,63,IRL9631,Adelie,Beneteau 34.7,Butler – Hall,,,5 - 15:17:05,1.002,5 - 15:33:19,
17,62,GBR8666,Polished Manx,Sigma 33 OOD,Kuba Szymanski,,,6 - 07:37:18,0.898,5 - 16:09:23,
18,61,IRL1438,Jet Dream,J/105,Philip Bourke,,,5 - 15:06:43,1.008,5 - 16:11:34,
19,60,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,2H,,5 - 22:34:18,0.957,5 - 16:26:28,
20,59,IRL7386,Lynx Clipper,Reflex 38,M Breen/N Moss,2H,,5 - 12:25:01,1.040,5 - 17:42:49,
21,58.5,IRL638,State O’Chassis,Sigma 38,Kevin Buckley,,,5 - 20:26:26,0.983,5 - 18:03:11,
22,58,GBR7408R,Arthur Logic,First 40,Sailing Logic,Nick Martin,,5 - 08:58:10,1.081,5 - 19:24:57,
23,57.5,GBR1399R,Dreamcatcher,Sun Odyssey 37,James Mansell,2H,,6 - 05:41:46,0.934,5 - 19:48:58,
24,57,GBR 60006,NewsTalk For Adrenalin,Farr 60,Joe McDonald,,,4 - 09:12:36,1.351,5 - 22:08:19,
25,56.5,GBR7388R,Leopard Clipper,Reflex 38,Mark Osborn,2H,,5 - 15:32:20,1.049,5 - 22:10:49,
26,56,FRA26,Sensation Class 40,Class40,Marc Lepesqueux,,,4 - 17:14:50,1.256,5 - 22:14:19,
27,55.5,GBR2708L,Wildwood,North channel 9m,Ian Patterson,,,5 - 16:18:32,1.045,5 - 22:26:34,
28,55,RSA23,Arwen,Class40,Austen Clark,,,4 - 20:00:54,1.242,6 - 00:05:26,
29,54.5,GBR664,Bow Waves Racing,Swan 57,Finbarr O'Regan,,,5 - 18:57:23,1.095,6 - 08:09:26,
30,54,FRA43534,Libertalia,Volvo 60,Team Jolokia,,,4 - 11:00:19,1.459,6 - 12:07:15,
31,53.5,GBR2041L,2041,Challenge 67,Conor Fogerty,,,6 - 00:54:52,1.106,6 - 16:16:31,
32,53,RUS1,Monster Project,Volvo 70,Andrew Budgen and Fred Schwyn,Andrew Budgen,,4 - 04:25:25,1.648,6 - 21:29:53,
33,52.5,GBR10,Rosalba,IMOCA 60,Chris Le Prevost,,,4 - 08:50:19,1.635,7 - 03:24:40,
,10,GBR6848T,Ocean Tango,Dehler 34 Nova Top,R Floate / C Norton,,,,0.928,,DNF-Did Not Finish
,10,IRL1966,Eugene F Collins  /Amazing Grace,Oyster 37,B O'Sullivan/B. Farrell,,,,0.928,,DNF-Did Not Finish
,10,GBR3921,Cosmic Dancer III,Baltic 37,Russell Walker,,,,0.965,,DNF-Did Not Finish
