# 2014 RORC Mainseries IRC Overall - Cowes - Dinard - St Malo Race (Fri 11 Jul 14) - 68 boats - https://www.rorc.org/raceresults/2014/ircoverall08.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA35402,Black Jack,J/133,Eric Gicquel,,,18:46:01,1.092,20:29:37,
2,94,FRA35950,Nutmeg. Sparkling Charter,J/122,François Lognoné,,,19:08:34,1.077,20:37:00,
3,90,FRA36568,Le MC Do De Cherbourg,Sun Fast 3200,Bruno James,2H,,20:43:12,0.998,20:40:43,
4,86,FRA45,Alternative Sailing - Cartouche,Mach 45,Nicolas Groleau,,,15:16:10,1.358,20:44:09,
5,83,GBR1702T,Scarlet Logic,Oyster 48,Ross Applebey/Sailing Logic,,,19:21:53,1.072,20:45:32,
6,80,FRA4376,Hélisara,Stand Fast 37 / Tina 1.88,Jean-Paul Besnard,Loic Le Garrec,,22:50:20,0.910,20:47:00,
7,78,GBR133L,Jump,J133,Ian Dewhirst,,,18:54:00,1.100,20:47:24,
8,76,FRA36507,Galatée,A35,Jean-louis Goblet,2H,,20:21:24,1.022,20:48:16,
9,74,FRA25767,Exception,X 40,Patrick Ponchelet,,,19:45:29,1.054,20:49:30,
10,72,FRA43709,"Agence Directe 3,9%",JPK 10.80,Francois Carluer,2H,,20:09:20,1.034,20:50:27,
11,70,FRA25613,Firouzeh 4,J/109,Francois Boue,,,20:50:16,1.002,20:52:46,
12,68,GBR133N,Apollo 7,J/133,Nigel Passmore,,,19:07:17,1.092,20:52:50,
13,66,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,,20:51:52,1.003,20:55:37,
14,65,FRA3333,Shortgood,First Class 10,Renaud Courbon,2H,,21:06:13,0.993,20:57:21,
15,64,GBR2722R,Relentless on Jellyfish,J/122,David Richards,James George,,19:24:25,1.081,20:58:44,
16,63,GBR704R,Philosophie IV,First 40.7,Nicolas Gaumont-Prat,,,20:01:59,1.048,20:59:41,
17,62,GBR1355R,Lulotte,Swan 55 Yawl,Ben Morris,,,20:14:04,1.039,21:01:25,
18,61,FRA38639,Spineck,Grand Soleil 39 R,Hugues Riché,,,19:26:55,1.082,21:02:36,
19,60,FRA38902,Raging Bee,JPK 10.10,Louis-Marie Dussere,2H,,20:54:26,1.008,21:04:28,
20,59,GBR9205R,Diablo-J,J/105,Nick Martin,2H,,20:58:18,1.005,21:04:35,
21,58.5,GBR8250R,Fastrak X,Sun Fast 3600,Nigel de Quervain Colley,2H,,20:12:24,1.044,21:05:45,
22,58,NED46,Tonnerre de Breskens 3,Ker 46,Piet Vroon,,,16:34:16,1.274,21:06:42,
23,57.5,FRA27550,Sous Mama Boulé,JPK 9.60,Ludovic Melnyk,2H,,21:39:04,0.976,21:07:53,
24,57,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,,20:53:12,1.012,21:08:14,
25,56.5,FRA35450,Gwez-Gwern,Symphonie,Jacques Minet,Florent le Sage,,23:17:33,0.908,21:08:59,
26,56,GBR43,Artemis 43,Figaro II,Artemis Offshore Academy,Robin Elsey,,19:38:20,1.079,21:11:25,
27,55.5,FRA25515,Veronika,J/105,Frederic Nadaud,,,21:04:10,1.006,21:11:45,
28,55,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,,19:13:30,1.103,21:12:19,
29,54.5,BEL565,Asterix,Swan 56,Willy Walscharts,,,18:18:21,1.160,21:14:05,
30,54,GBR6255X,Lady Mariposa,Oyster 625,Daniel Hardy,,,18:23:59,1.156,21:16:12,
31,53.5,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,John Curran,,21:00:54,1.015,21:19:49,
32,53,BEL12345,Azawakh,MC34 Patton,Vincent Willemart and Eric Van Campenhout,Eric van Campenhout,,20:15:46,1.053,21:20:12,
33,52.5,FRA37588,So What,JPK 10.10,Chris Schram,2H,,21:09:05,1.010,21:21:46,
34,52,FRA9677,Orange mecaniX,X 41,Maxime de Mareuil,,,19:31:50,1.096,21:24:20,
35,51.5,GBR8191R,British Soldier,J/111,Army Sailing Association,,,19:36:50,1.096,21:29:49,
36,51,GBR5355N,Phosphorus,Rodman 42,Mark Emerson,,,18:55:39,1.136,21:30:06,
37,50.5,56,Redshift,Figaro II,Ed Fishwick,2H,,19:48:12,1.086,21:30:23,
38,50,GBR979R,Malice,HOD 35,Mike Moxley,2H,,21:02:15,1.023,21:31:17,
39,49.5,GBR100,Artemis - Team Endeavour,IMOCA 60,Artemis Ocean Racing,Mikey Ferguson,,13:29:40,1.595,21:31:25,
40,49,FRA34983,Decatur,A35,Yves Passat,,,20:55:20,1.029,21:31:44,
41,48.5,FRA35112,Pen Tach,A 35,Jean-Yves Daden,,,20:55:39,1.029,21:32:04,
42,48,FRA34652,Capax Infiniti,Sharp 42,Herve Gillet,,,20:03:11,1.081,21:40:38,
43,47.5,FRA37344,JJ L'Amorosso,J/97,Jean Pierre Briand,,,22:12:59,0.976,21:41:00,
44,47,GBR8146,Vitesse,Sigma 38,Jon England,,,22:10:36,0.983,21:47:59,
45,46.5,MLT105,Bigfoot,J/105,Robert Nelson,,,21:41:38,1.007,21:50:45,
46,46,BEL11111,Djinn,J/111,JUST 4 SAILING,Jean-Patrick Smal,,19:55:35,1.098,21:52:45,
47,45.5,GBR5236R,Rare,Figaro II,Ian Hoddle,2H,,20:04:56,1.091,21:54:35,
48,45,GBR9197R,High Jinks,J/97,Blair Forsyth,2H David Mossman,,22:32:26,0.978,22:02:41,
49,44.5,FRA43630,Exile Mirabaud,Pogo 30,Nicolas de la Fourniere,2H,,21:43:26,1.016,22:04:17,
50,44,GBR1415R,Kokomo,Prima 38,Steve Trigwell,,,20:33:24,1.074,22:04:40,
51,43.7,GBR3015,McGregor IV,MG 38,Peter Ward,Derek Brown,,22:41:14,0.974,22:05:50,
52,43.4,GBR8633R,Jings,J/133,David Ballantyne,,,19:53:22,1.112,22:07:01,
53,43.1,GBR9863,In X Celsis,X 119,Peter Jones,,,21:25:03,1.037,22:12:36,
54,42.8,GBR7735R,Eaujet,A35,Richard Elliott,2H,,21:45:50,1.033,22:28:56,
55,42.5,GBR6908R,Ruag White Knight 7,J/109,Royal Armoured Corps Yacht Club,Rob Hammond,,22:18:38,1.019,22:44:04,
56,42.2,RUS1,Monster Project,Volvo 70,Andrew Budgen and Fred Schwyn,Andrew Budgen,,13:49:31,1.648,22:47:03,
57,41.9,GBR2630L,Saga,Hanse 531,Darren McLaughlin,Peter Hopps,,20:13:25,1.136,22:58:26,
58,41.6,FRA18460,Callipyge,Sun Fast 32,Gaetan Bourdeaux,,,1 - 00:41:07,0.932,23:00:24,
59,41.3,FRA43669,Funchal III,Salona 35,Jean-Jacques Nere,2H,,23:13:09,0.999,23:11:45,
60,41,NED8248,RoaringX,X 41,Ad Lagendijk,2H,,21:15:40,1.095,23:16:51,
61,40.7,FRA26,Sensation Class 40,Class40,Marc Lepesqueux,,,18:42:00,1.251,23:23:37,
62,40.4,FRA35,Bureau Vallée - Fille De Feu V,IMOCA 60,BG Race SAS,Louis Burton,,14:38:40,1.610,23:34:39,
63,40.1,GBR9070R,Change of Course,C & C 115,Keith Gibbs,,,22:50:49,1.036,23:40:10,
64,39.8,GBR8750R,Bella of London,Grand Soleil 50,Mike Surridge,,,21:51:00,1.090,23:48:59,
65,39.5,FRA39335,Boomerang,Pogo 30,Olivier Paris,,,1 - 00:17:47,1.017,1 - 00:42:34,
