# 2014 RORC Mainseries IRC Three - Cherbourg Race (Fri 5 Sep 14 19:00:00) - 13 boats - https://www.rorc.org/raceresults/2014/three12.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,93,FRA43645,Raphaello,JPK 10.80,Eric Mordret,,6 Sep - 15:20:34,20:20:34,1.046,21:16:43,
2,87,GBR9205R,Diablo-J,J/105,Nick Martin,2H,6 Sep - 16:32:26,21:32:26,1.005,21:38:54,
3,83,FRA35112,Pen Tach,A 35,Jean-Yves Daden,,6 Sep - 16:20:12,21:20:12,1.029,21:57:20,
4,79,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,6 Sep - 16:43:40,21:43:40,1.012,21:59:19,
5,76,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,6 Sep - 16:42:57,21:42:57,1.015,22:02:30,
6,73,GBR704R,Philosophie IV,First 40.7,Nicolas Gaumont-Prat,,6 Sep - 16:07:08,21:07:08,1.048,22:07:57,
7,71,GBR7909R,Jolene II,J/109,Philip Nelson,,6 Sep - 16:57:02,21:57:02,1.012,22:12:50,
8,69,FRA37588,So What,JPK 10.10,Chris Schram,2H,6 Sep - 17:13:18,22:13:18,1.010,22:26:38,
9,67,GBR979R,Malice,HOD 35,Mike Moxley,2H,6 Sep - 17:23:41,22:23:41,1.023,22:54:35,
10,65,FRA35966,Dr Feelgood (again),A 35,Sebastien Delasnerie,,6 Sep - 17:19:47,22:19:47,1.028,22:57:18,
11,63,GBR2091R,Boo,J/109,Neil McGrigor,2H,6 Sep - 17:47:17,22:47:17,1.015,23:07:48,
,10,GBR3L,Me Julie,J/109,Dom Monkhouse/Summit Sailing LLP,Benjamin Grosman,,,1.011,,DNF-Did Not Finish
,10,GBR6908R,Ruag White Knight 7,J/109,Royal Armoured Corps Yacht Club,Rob Hammond,,,1.019,,DNF-Did Not Finish
