# 2014 RORC Mainseries IRC Two - Morgan Cup Race (Fri 27 Jun 14 19:00:00) - 11 boats - https://www.rorc.org/raceresults/2014/two06.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,91,GBR133N,Apollo 7,J/133,Nigel Passmore,,28 Jun - 14:50:32,19:50:32,1.092,21:40:04,
2,85,GBR2215L,Quokka 8,Grand Soleil 43,Michael Boyd & Niall Dowling,,28 Jun - 14:48:42,19:48:42,1.099,21:46:23,
3,81,GBR1702T,Scarlet Logic,Oyster 48,Ross Applebey/Sailing Logic,,28 Jun - 15:53:03,20:53:03,1.072,22:23:16,
4,77,GBR2722R,Relentless on Jellyfish,J/122,David Richards,James George,28 Jun - 16:24:48,21:24:48,1.081,23:08:52,
5,74,BEL12345,Azawakh,MC34 Patton,Vincent Willemart and Eric Van Campenhout,Eric van Campenhout,28 Jun - 17:04:20,22:04:20,1.053,23:14:31,
6,71,GBR8140C,Zephyr,First 40,Steve Cowie,Kevin Miller,28 Jun - 16:49:31,21:49:31,1.087,23:43:27,
7,69,FRA36859,Stamina III,A40,Michel Péretié,,28 Jun - 17:04:17,22:04:17,1.086,23:58:10,
8,67,GBR8409R,Galahad Of Cowes,First 40,Sailing Logic,David Thomson,28 Jun - 17:29:38,22:29:38,1.081,1 - 00:18:57,
9,65,GBR43,Artemis 43,Figaro II,Artemis Offshore Academy,Robin Elsey,28 Jun - 17:40:26,22:40:26,1.079,1 - 00:27:54,
,10,GBR2093L,Wolverine,Elan 450,Kevin Mulligan,,,,1.073,,DNF-Did Not Finish
,10,GBR2311L,Zephyr,First 45,Marinos Pappas,,,,1.095,,DNF-Did Not Finish
