# 2014 RORC Mainseries IRC Zero - RORC Caribbean 600 (Mon 24 Feb 14 11:30:00) - 17 boats - https://www.rorc.org/raceresults/2014/zero01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,97,USA60272,Shockwave,Mini Maxi,Shockwave,George Sakellaris,26 Feb - 00:18:26,1 - 12:48:26,1.579,2 - 10:07:07,
2,91,USA45,Bella Mente,JV 72 Custom,Hap Fauth,,26 Feb - 00:05:44,1 - 12:35:44,1.603,2 - 10:39:46,
3,87,USA25555,Rambler,Reichel Pugh 90,George David,,26 Feb - 00:16:00,1 - 12:46:00,1.695,2 - 14:19:10,
4,83,GBR528R,Pace,TP 52,Johnny Vincent,,26 Feb - 09:44:00,1 - 22:14:00,1.373,2 - 15:28:42,
5,80,CAY65,Caro,Botin IRC 65,Roccomare Ltd,Maximilian Klink,26 Feb - 07:40:24,1 - 20:10:24,1.467,2 - 16:48:08,
6,77,GBR9059R,Nefertiti,Swan 90,Anders Nordquist,,26 Feb - 09:13:30,1 - 21:43:30,1.468,2 - 19:07:27,
7,75,A1,Adela,Dijkstra,Adela Ltd,,26 Feb - 12:10:59,2 - 00:30:59,1.386,2 - 19:14:37,
8,73,USA60456,Grundoom,Carkeek 47.5,James Grundy,,26 Feb - 13:59:06,2 - 02:29:06,1.344,2 - 19:51:07,
9,71,IRL1416,Cape Arrow,Southern Wind 100' RS,Tuskar Shipping Ltd,Fabrizio Oddone,26 Feb - 10:53:47,1 - 23:23:47,1.448,2 - 20:37:48,
10,69,GBR007,Alpina,Swan 80 Mod,Oscar Konyukhov,,26 Feb - 14:55:31,2 - 03:25:31,1.385,2 - 23:13:26,
11,67,GBR1388N,Athos,Hoek 56m Custom,Antony Brookes,,26 Feb - 12:49:15,2 - 01:09:15,1.460,2 - 23:45:54,
12,65,GBR7924R,Bristolian,One Off,John Burnie,,26 Feb - 19:29:16,2 - 07:59:16,1.313,3 - 01:30:43,
13,63,GBR800N,Artic Idea,RP 78,John Wilson/Marine Charters,Clint Brooks,26 Feb - 13:35:48,2 - 02:05:48,1.477,3 - 01:59:34,
14,62,ESP7211,Ocean Phoenix,Pendennis 77,Jose Aguinaga,Juan Luis Serra Lalaurie,26 Feb - 22:06:49,2 - 10:36:49,1.277,3 - 02:50:58,
15,61,GER6262,Passion 4 C,Tripp 56,Stefan Lehnert,,26 Feb - 22:37:56,2 - 11:07:56,1.281,3 - 03:44:54,
16,60,FRA62,Votre Nom Autour du Monde - Synergie,IMOCA 60,Bertrand de Broc,,26 Feb - 09:40:14,1 - 22:10:14,1.738,3 - 08:14:40,
,10,ESP7369,Balearia,TP 52,Jascha Bach,,,,1.372,,DNF-Did Not Finish
