# 2015 RORC Mainseries IRC Overall - East Coast Race (Fri 12 Jun 15) - 12 boats - https://www.rorc.org/raceresults/2015/ircoverall06.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,92,GBR720R,Assarain IV,J/133,Angus Bates,,,20:13:40,1.100,22:15:02,
2,86,GBR9462R,Amazon,,T & C Merewether,,,22:26:01,1.000,22:26:01,
3,82,GBR3921,Cosmic Dancer III,Baltic 37,Russell Walker,,,23:21:24,0.965,22:32:21,
4,78,GBR4950,Woozle Hunter,Sigma 33,Ian Ivermee,,,1 - 01:19:44,0.913,23:07:31,
5,75,GBR5446C,Snatch,Swan 48,Adrian Lower & David Smith,,,21:06:50,1.101,23:14:47,
6,72,GBR3015,McGregor IV,,Peter Ward,,,1 - 00:20:01,0.973,23:40:36,
7,70,GBR917R,Andrasta,Iceni 39,Henry Bateson,,,21:04:00,1.178,1 - 00:49:00,
8,68,NED6586,Maverick,J/120,Chris Schram,2H,,1 - 00:56:25,1.055,1 - 02:18:43,
,10,GBR986R,Strata 6,Sun Odyssey 36i,East Anglian Sea School,Peter Smith,,,1.001,,DNF-Did Not Finish
,10,GBR980R,Strata 3,Sun Odyssey 36i,East Anglian Sea School,Keith Miller,,,1.005,,DNF-Did Not Finish
,10,GBR4321R,Oystercatcher XXX,,R Matthews,,,,1.227,,DNF-Did Not Finish
,10,GBR8804R,Charlie Don't Surf,,D & A Gibbons,,,,0.985,,RET-Retired after Finishing
