# 2015 North Sea Race - ORC Two Handed - North Sea Race (Fri 15 May 15 10:45:00) - 17 boats - https://www.rorc.org/raceresults/2015/nsr-orctwohanded01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,97,NED9111,Xcentric Ripper,J/111,John van der Starre & Robin Verhoef,,16 May - 12:15:40,1 - 01:30:40,1.0349,1 - 02:24:05,
2,91,IRL3208,Blizzard Of Uz,Sun Fast 3200,Erik Mayer-Martenson,,16 May - 14:07:15,1 - 03:22:15,0.9712,1 - 02:34:57,
3,87,GBR9369,Push-Up,Bashford Sydney 36,Jesse Mulder,,16 May - 13:44:39,1 - 02:59:39,0.9942,1 - 02:50:15,
4,83,NED7244,Junique,J/122,Chris Revelman & Pascal Bakker,,16 May - 12:57:46,1 - 02:12:46,1.0556,1 - 03:40:13,
5,80,GBR8532R,Firestorm,J/109,Wim van Slooten,,16 May - 15:12:03,1 - 04:27:03,0.9760,1 - 03:46:05,
6,77,NED8949,Avanti,Grand Soleil 43,Chris Stouten,,16 May - 13:21:56,1 - 02:36:56,1.0517,1 - 03:59:30,
7,75,NED6586,Maverick,J/120,Chris Schram,,16 May - 14:30:17,1 - 03:45:17,1.0200,1 - 04:18:35,
8,73,GBR1513L,Il Corvo,Grand Soleil 43,Astrid De Vin,,16 May - 13:43:46,1 - 02:58:46,1.0643,1 - 04:42:51,
9,71,NED7975,Blue June,Standfast 43,Henk Zomer,,16 May - 17:05:38,1 - 06:20:38,0.9474,1 - 04:44:52,
10,69,GBR1293R,Batfish,J/133,Bart Desaunois,,16 May - 13:56:09,1 - 03:11:09,1.0688,1 - 05:03:22,
11,67,GBR8876T,Panther,J/105,Yvonne Beusker,,16 May - 17:14:35,1 - 06:29:35,0.9710,1 - 05:36:32,
12,65,NED8329,Karma,One Off,René Glasz,,16 May - 19:23:59,1 - 08:38:59,0.9207,1 - 06:03:38,
13,63,NED8549,Harkelijn,Duetta 94/Dehler 31,Hendrik Harkema,,16 May - 22:56:59,1 - 12:11:59,0.8307,1 - 06:04:16,
,10,NED8202,Joost & Vrolijk,Dehler 36 JV,Joost Nederkoorn,,,,0.9720,,DNF-Did Not Finish
,10,NED7800,Arethusa,J/109,Kees Mijs,,,,0.9768,,DNF-Did Not Finish
,10,NED8248,RoaringX,X 41,Ad Lagendijk,,,,1.0522,,DNF-Did Not Finish
,10,NED8843,Luctor3,Sydney Yachts Gts43,Wouter Hermsen,,,,1.1671,,DNF-Did Not Finish
