# 2015 RORC Mainseries IRC One - RORC Caribbean 600 (Mon 23 Feb 15 11:20:00) - 15 boats - https://www.rorc.org/raceresults/2015/one01.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,95,USA61137,Otra Vez,Ker 43 Custom,William Coates,,26 Feb - 06:08:28,2 - 18:48:28,1.258,3 - 12:02:39,
2,89,GBR711,Maximizer,Farr 72,Jose Diego-arozamena,,26 Feb - 08:54:41,2 - 21:34:41,1.258,3 - 15:31:45,
3,85,GBR53N,Music,Swan 53,James Blakemore,,26 Feb - 19:27:36,3 - 08:07:36,1.117,3 - 17:30:05,
4,81,GBR9660R,Fenix,Swan 60,Richard Balding,,26 Feb - 16:08:27,3 - 04:48:27,1.197,3 - 19:56:19,
5,78,GBR486,Sleeper,Azuree 46,Jonty Layfield,2H,26 Feb - 20:41:10,3 - 09:21:10,1.146,3 - 21:13:49,
6,75,GBR907R,Malice on Palpatine,Stimson 42,Stormforce Coaching,Richard Thisby,26 Feb - 22:14:18,3 - 10:54:18,1.126,3 - 21:21:04,
7,73,USA52830,Kismet,Morris 486,David Southwell,Fiona Gordon,26 Feb - 22:01:13,3 - 10:41:13,1.129,3 - 21:21:13,
8,71,USA71,Black Watch,S&S 68 Custom Yawl,Joseph Robillard,,26 Feb - 22:37:10,3 - 11:17:10,1.129,3 - 22:01:48,
9,69,GBR6255X,Lady Mariposa,Oyster 625,Daniel Hardy,,26 Feb - 21:39:09,3 - 10:19:09,1.155,3 - 23:04:43,
10,67,CAN54403,Spitfire,J/145 C,Jonathan Bamberger,,26 Feb - 22:37:27,3 - 11:17:27,1.157,4 - 00:22:03,
11,65,RUS931,Anna,Mobile 53,"ZAO SMM""""",Mikhail Mataruev,26 Feb - 18:05:38,3 - 06:45:38,1.228,4 - 00:43:05,
12,63,911882,Taz,Reichel Pugh 37,Bernard Evan-Wong,,26 Feb - 23:11:40,3 - 11:51:40,1.164,4 - 01:36:52,
13,61,USA2650,Hound,Nielsen 59 Custom,Frank Eberhart,David Risch,27 Feb - 04:14:04,3 - 16:54:04,1.111,4 - 02:46:09,
14,60,GBR8653R,Spirit of Juno,Farr 65,Ondeck,Paul Jackson,26 Feb - 20:52:51,3 - 09:32:51,1.242,4 - 05:16:55,
15,59,GER6003,Pogo 2,Class40,Markus Seebich,Fabian Kennis,27 Feb - 12:47:35,4 - 01:27:35,1.175,4 - 18:30:55,
