# 2015 RORC Mainseries IRC One - North Sea Race (Fri 15 May 15) - 17 boats - https://www.rorc.org/raceresults/2015/one03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,97,NED342,Coin Coin,Sydney 43 GTS,Bastiaan de Voogd,,,23:10:39,1.187,1 - 03:30:42,
2,91,NED8282,Leeloo,Icon 48 / Custom,Harold Vermeulen,,,1 - 00:38:29,1.137,1 - 04:01:02,
3,87,NED40010,Baraka GP,Ker 40,Harmen J de Graaf,,,23:23:43,1.200,1 - 04:04:28,
4,83,NED7084,Skarp,Landmark 43,Chris de Jongh,,,1 - 00:47:35,1.150,1 - 04:30:43,
5,80,GBR5355N,Phosphorus,Rodman 42,Mark Emerson,,,1 - 01:17:49,1.129,1 - 04:33:37,
6,77,GBR5446C,Snatch,Swan 48,Adrian Lower,David Smith,,1 - 02:11:14,1.101,1 - 04:49:56,
7,75,NED7777,Moving Intelligence,Dehler 44,Patrick Horst,,,1 - 02:04:05,1.136,1 - 05:36:48,
8,73,AUT15764,Visione,ILC 40,Nikolaus Knoflacher,,,1 - 01:32:41,1.162,1 - 05:40:59,
9,71,GBR1513L,Il Corvo,Grand Soleil 43,Astrid De Vin,2H,,1 - 02:58:46,1.103,1 - 05:45:30,
10,69,USA18,K-Force,Swan 45,Jan De Kraker,,,1 - 01:03:38,1.188,1 - 05:46:19,
11,67,GER6009,Leu,JV 45 One Off,Claus Loewe,,,1 - 01:11:48,1.182,1 - 05:46:57,
12,65,GBR1293R,Batfish,J/133,Bart Desaunois,2H,,1 - 03:11:09,1.104,1 - 06:00:47,
13,63,GBR4545R,Nature,Farr 45,Zeezeilschool Scheveningen,Jur Ringers,,1 - 01:27:20,1.210,1 - 06:48:04,
14,62,GBR4512R,People,Farr 45,Zeezeilschool Scheveningen,Pieter Visser,,1 - 01:54:41,1.210,1 - 07:21:10,
15,61,GBR2289L,CatZero,Challenge 72,CatZero,Daniel Watson,,1 - 02:49:57,1.181,1 - 07:41:21,
,10,NED8248,RoaringX,X 41,Ad Lagendijk,2H,,,1.101,,DNF-Did Not Finish
,10,NED8843,Luctor3,Sydney Yachts Gts43,Wouter Hermsen,2H,,,1.186,,DNF-Did Not Finish
