# 2015 RORC Mainseries IRC One - Channel Race (Sat 1 Aug 15 10:40:00) - 18 boats - https://www.rorc.org/raceresults/2015/one10.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,98,FRA38757,Teasing Machine,A13,Eric De Turkheim,,2 Aug - 04:02:51,17:22:51,1.168,20:18:03,
2,92,GBR4947R,Lisa,First 44.7,Nicholas Jones,,2 Aug - 05:19:38,18:39:38,1.104,20:36:05,
3,88,GBR6889R,Keronimo,Ker 40,Andrew Williams,,2 Aug - 04:02:08,17:22:08,1.191,20:41:11,
4,84,NED40010,Baraka GP,Ker 40,Harmen J de Graaf,,2 Aug - 03:55:50,17:15:50,1.203,20:46:06,
5,81,GBR8248,Incisor,Corby 45,Windward Sailing,Cowes Race School / James Gair,2 Aug - 04:38:27,17:58:27,1.162,20:53:10,
6,78,RP45,Katsu,Reichel/Pugh 45,Alan Hannon,,2 Aug - 04:20:24,17:40:24,1.242,21:57:01,
7,76,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,2 Aug - 05:14:42,18:34:42,1.193,22:09:50,
8,74,GBR8633R,Jings,J/133,David Ballantyne,,2 Aug - 07:26:39,20:46:39,1.109,23:02:32,
9,72,GBR851R,Cracklin Rosie,Corby 40,Steven Anderson,,2 Aug - 07:34:57,20:54:57,1.104,23:05:28,
10,70,GBR236R,Erivale III,Ker 39,Michael Greville,,2 Aug - 07:32:32,20:52:32,1.112,23:12:49,
11,68,GBR8217T,Juno IV,AC 45,Stormforce Coaching,Peter Burwood,2 Aug - 07:44:49,21:04:49,1.124,23:41:39,
12,66,GBR759R,Eclectic,Azuree 46,Colin Campbell,,2 Aug - 07:39:07,20:59:07,1.132,23:45:19,
13,64,GBR907R,Palpatine,Stimson 42,Stormforce Coaching,Richard Thisby,2 Aug - 07:46:49,21:06:49,1.126,23:46:26,
14,63,GBR3957L,PG Roshni,Azuree 46,Thomas Kneen,,2 Aug - 07:58:34,21:18:34,1.129,1 - 00:03:30,
15,62,GBR6255X,Lady Mariposa,Oyster 625,Daniel Hardy,,2 Aug - 07:55:08,21:15:08,1.155,1 - 00:32:47,
16,61,GBR809,Lutine,X 55,Lloyd's Yacht Club,Neil Armstrong,2 Aug - 08:07:06,21:27:06,1.195,1 - 01:38:05,
17,60,RSA23,Arwen,Class40,Austen Clark,,2 Aug - 07:43:10,21:03:10,1.258,1 - 02:29:04,
18,59,GBR9356T,Cv7,Clipper 68,Clipper Ventures,Adrian Bannister,2 Aug - 14:10:00,1 - 03:30:00,1.215,1 - 09:24:45,
