# 2015 RORC Mainseries IRC Three - Cervantes Trophy Race (Sat 2 May 15 10:10:00) - 39 boats - https://www.rorc.org/raceresults/2015/three02.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA43772,Courrier Du Leon,JPK 10.80,Géry Trentesaux,,3 May - 05:56:26,19:46:26,1.050,20:45:45,
2,94,FRA43645,Raphaello,JPK 10.80,Eric Mordret,Arnaud Delamare and Eric Mordret,3 May - 06:14:26,20:04:26,1.042,20:55:01,
3,90,FRA38895,Night And Day,JPK 10.10,Pascal Loison,2H,3 May - 07:02:18,20:52:18,1.009,21:03:34,
4,86,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,2H,3 May - 06:46:17,20:36:17,1.039,21:24:30,
5,83,FRA38902,Raging Bee,JPK 10.10,Louis-Marie Dussere,2H,3 May - 07:27:21,21:17:21,1.006,21:25:01,
6,80,GBR795R,Ninjod,Sun Fast 3600,Paul Brant,2H,3 May - 06:52:21,20:42:21,1.040,21:32:03,
7,78,GBR958R,Pincer Movement,JPK 10.10,Richard Searle,2H,3 May - 07:33:45,21:23:45,1.008,21:34:01,
8,76,GBR8537R,Jangada Too,J/109,Richard Palmer,,3 May - 07:53:00,21:43:00,1.009,21:54:44,
9,74,FRA27754,Clezio,Grand Soleil 39,Yvon Haquet,,3 May - 07:29:14,21:19:14,1.030,21:57:37,
10,72,GBR5809R,Jelenko,J/109,Trevor Sainty,,3 May - 07:58:57,21:48:57,1.009,22:00:44,
11,70,GBR9205R,Diablo-J,J/105,Nick Martin,2H,3 May - 08:03:31,21:53:31,1.006,22:01:24,
12,68,GBR6865R,Jagerbomb,J/109,Paul Griffiths,2H,3 May - 08:01:54,21:51:54,1.010,22:05:01,
13,66,GBR979R,Malice,HOD 35,Mike Moxley,2H,3 May - 08:04:19,21:54:19,1.009,22:06:09,
14,65,GBR7909R,Jolene II,J/109,Philip Nelson,,3 May - 07:55:14,21:45:14,1.017,22:07:25,
15,64,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,3 May - 08:06:13,21:56:13,1.012,22:12:01,
16,63,GBR8643T,Arcsine,Arcona 370,Kathy Claydon,,3 May - 07:44:52,21:34:52,1.029,22:12:25,
17,62,FRA35966,Dr Feelgood (again),A 35,Sebastien Delasnerie,Olivier Fantou,3 May - 07:47:52,21:37:52,1.027,22:12:55,
18,61,GBR1404R,Flair IV,Elan 40,Ashley Harris,2H,3 May - 07:56:48,21:46:48,1.021,22:14:15,
19,60,FRA15055,Princesse Gotionude,JOD 35,Nicolas Dezeustre,,3 May - 07:58:12,21:48:12,1.020,22:14:22,
20,59,GBR8529R,Jazzy Jellyfish,J/109,Kevin Armstrong,,3 May - 08:05:24,21:55:24,1.015,22:15:08,
21,58.5,GBR4343C,Tweak,JOD 35,Richard Breese,2H,3 May - 08:22:56,22:12:56,1.012,22:28:56,
22,58,GBR6809R,Jybe Talkin',J/109,Christopher Burleigh,,3 May - 08:23:19,22:13:19,1.013,22:30:39,
23,57.5,FRA19999,Yoalla 4,Fauroux 34,Yves Fouchet,,3 May - 08:35:54,22:25:54,1.006,22:33:59,
24,57,GBR4709R,Jambo!,J/109,Stephen Morris,,3 May - 08:54:53,22:44:53,1.008,22:55:48,
25,56.5,GBR1355R,Lulotte,Swan 55 Yawl,Ben Morris,,3 May - 08:27:30,22:17:30,1.036,23:05:39,
26,56,GBR9109T,Red Arrow,J/109,RAFSA,Francis Gmitrowicz,3 May - 08:52:10,22:42:10,1.025,23:16:13,
27,55.5,FRA35112,Pen Tach,A 35,Jean-Yves Daden,,3 May - 08:47:48,22:37:48,1.029,23:17:11,
28,55,GBR6908R,White Knight 7,J/109,Royal Armoured Corps Yacht Club,Dave Hoey,3 May - 09:15:57,23:05:57,1.010,23:19:49,
29,54.5,GBR6097T,Going Concern,Baltic 42,Oliver Stanley,Max Slee,3 May - 09:23:23,23:13:23,1.010,23:27:19,
30,54,GBR7388R,Leopard Clipper,Reflex 38,Mark Osborn,2H,3 May - 08:40:55,22:30:55,1.049,23:37:07,
31,53.5,GBR9863,In X Celsis,X 119,Peter Jones,,3 May - 09:36:29,23:26:29,1.037,1 - 00:18:31,
32,53,GBR3567L,Blue Zulu,Skye 51,Patrick Moreton,,3 May - 10:18:32,1 - 00:08:32,1.008,1 - 00:20:07,
33,52.5,GBR1174L,Taika,J/105,Stuart Rhys-williams,2H,3 May - 10:31:54,1 - 00:21:54,1.007,1 - 00:32:08,
34,52,FRA15012,Ginger,JOD 35,Alan Thornewill,2H,3 May - 10:59:35,1 - 00:49:35,1.004,1 - 00:55:33,
35,51.5,GBR5436R,Sunrise,Elan E4/360s,Thomas Kneen,,3 May - 10:22:14,1 - 00:12:14,1.032,1 - 00:58:42,
36,51,GBR2L,Jigsaw,J/109,Chris Andrews,2H,3 May - 10:57:00,1 - 00:47:00,1.011,1 - 01:03:21,
37,50.5,GBR3189L,Griet,Arcona 400,Peter Hale,,3 May - 11:11:08,1 - 01:01:08,1.050,1 - 02:16:11,
38,50,GBR8972T,Inseyandra,Bavaria 46 C,Solent Sail Ltd,Martin Thomas,3 May - 12:04:20,1 - 01:54:20,1.048,1 - 03:08:56,
,10,GBR529R,Just So,J/109,David McGough,,,,1.009,,DNS-Did Not Start
