# 2015 RORC Mainseries IRC Three - De Guingand Bowl Race (Fri 5 Jun 15 19:40:00) - 24 boats - https://www.rorc.org/raceresults/2015/three05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA43772,Courrier Du Leon,JPK 10.80,Géry Trentesaux,,6 Jun - 13:55:21,18:15:21,1.046,19:05:44,
2,94,FRA38902,Raging Bee,JPK 10.10,Louis-Marie Dussere,2H,6 Jun - 15:17:02,19:37:02,1.006,19:44:06,
3,90,GBR3135L,Jumbuck,J/109,John Allison,,6 Jun - 15:21:26,19:41:26,1.015,19:59:09,
4,86,GBR529R,Just So,J/109,David McGough,,6 Jun - 15:27:34,19:47:34,1.011,20:00:38,
5,83,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,6 Jun - 15:32:48,19:52:48,1.012,20:07:07,
6,80,GBR979R,Malice,HOD 35,Mike Moxley,2H,6 Jun - 15:37:43,19:57:43,1.009,20:08:30,
7,78,GBR8541R,Jolly Jack Tar,J/109,Michael Shrives,Joe Henry,6 Jun - 15:43:54,20:03:54,1.012,20:18:21,
8,76,GBR9205R,Diablo-J,J/105,Nick Martin,2H,6 Jun - 16:00:22,20:20:22,1.006,20:27:41,
9,74,GBR5809R,Jelenko,J/109,Trevor Sainty,,6 Jun - 16:02:03,20:22:03,1.009,20:33:03,
10,72,GBR6809R,Jybe Talkin',J/109,Christopher Burleigh,,6 Jun - 15:57:34,20:17:34,1.013,20:33:24,
11,70,GBR8543R,Pure Joy,J/109,Pure Racing,Sarah Rossiter,6 Jun - 15:59:17,20:19:17,1.013,20:35:08,
12,68,FRA43791,Shaitan,JPK 10.80,Patrick Bauné / Jean-Eudes Renier,Renier / Baune,6 Jun - 15:24:00,19:44:00,1.044,20:36:06,
13,66,GBR3111N,Mostly Harmless,J/105,Tom Hayhoe and Natalie Jobling,Tom Hayhoe,6 Jun - 16:07:35,20:27:35,1.012,20:42:19,
14,65,FRA35966,Dr Feelgood (again),A 35,Sebastien Delasnerie,Olivier Fantou,6 Jun - 16:03:09,20:23:09,1.027,20:56:11,
15,64,GBR1575L,Pure Attitude,X 37,Martin Gray,,6 Jun - 16:17:21,20:37:21,1.027,21:10:46,
16,63,FRA35112,Pen Tach,A 35,Jean-Yves Daden,,6 Jun - 16:15:37,20:35:37,1.029,21:11:27,
17,62,GBR1329R,Thumper,Grand Soleil 39,Julian Johnson,,6 Jun - 16:10:50,20:30:50,1.050,21:32:23,
18,61,GBR2460L,Run,First 35,Langoon Watersports,Stephen Hacking,6 Jun - 17:07:37,21:27:37,1.025,21:59:48,
19,60,GBR3567L,Blue Zulu,Skye 51,Patrick Moreton,,6 Jun - 17:47:18,22:07:18,1.008,22:17:55,
20,59,GBR2053R,Erica,Bavaria Match 35,Peter Seymour,2H,6 Jun - 18:27:00,22:47:00,1.007,22:56:34,
21,58.5,GBR8972T,Inseyandra,Bavaria 46 C,Solent Sail Ltd,Martin Thomas,6 Jun - 17:47:42,22:07:42,1.048,23:11:26,
22,58,GBR8368T,Adelaide Star,Bavaria 44,Commodore Yachting,Simon Layton,6 Jun - 21:32:55,1 - 01:52:55,1.036,1 - 02:48:49,
,10,FRA15012,Ginger,JOD 35,Alan Thornewill,2H,,,1.004,,DNF-Did Not Finish
,10,GBR6908R,White Knight 7,J/109,Royal Armoured Corps Yacht Club,Dave Hoey,,,1.010,,RET-Retired after Finishing
