# 2015 RORC Mainseries IRC Two - De Guingand Bowl Race (Fri 5 Jun 15 19:50:00) - 24 boats - https://www.rorc.org/raceresults/2015/two05.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA36859,Stamina III,A 40,Michel Peretie,,6 Jun - 14:09:15,18:19:15,1.085,19:52:41,
2,94,FRA25767,Exception,X 40,Patrick Ponchelet,,6 Jun - 14:44:10,18:54:10,1.053,19:54:17,
3,90,BEL12345,Azawakh,MC34 Patton,Vincent Willemart and Eric Van Campenhout,Eric van Campenhout,6 Jun - 14:41:40,18:51:40,1.059,19:58:26,
4,86,GBR8383R,Assassin,Prima 38,Mark Brown,Brown / Leese,6 Jun - 14:56:52,19:06:52,1.051,20:05:21,
5,83,GBR1010L,Xinska,X 40,Bernard Olesinski,Rupert Morgan,6 Jun - 14:41:34,18:51:34,1.069,20:09:39,
6,80,GBR2215L,Quokka 8,Grand Soleil 43,Michael Boyd & Peter Rutter,,6 Jun - 14:17:18,18:27:18,1.099,20:16:55,
7,78,GBR7951R,Drop Bear,First 40,John Reivers,,6 Jun - 14:41:10,18:51:10,1.079,20:20:32,
8,76,GBR7041R,Anticipation,First 40.7,Peter Newlands,Charles Linard,6 Jun - 15:13:16,19:23:16,1.056,20:28:25,
9,74,GBR8405R,Southern Child,First 40,Performance Yacht Charter,Lucy Reynolds,6 Jun - 14:44:22,18:54:22,1.084,20:29:39,
10,72,GBR9604R,Nunatak,J/120,Elin Haf Davies,2H,6 Jun - 15:21:17,19:31:17,1.055,20:35:42,
11,70,GBR2722R,Jolly Jellyfish,J/122,Jazzy Jellyfish on Jolly Jellyfish,Kevin Armstrong,6 Jun - 14:53:12,19:03:12,1.081,20:35:48,
12,67,GBR1415R,Kokomo,Prima 38,Steve Trigwell,,6 Jun - 15:13:01,19:23:01,1.073,20:47:55,
12,67,GBR6525N,Revive,Prima 38,Paul A Farrands,,6 Jun - 15:11:56,19:21:56,1.074,20:47:55,
14,65,GBR7743R,Kestrel,Arcona 410,Simon Bamford,,6 Jun - 15:30:04,19:40:04,1.077,21:10:56,
15,64,GBR7952R,Bunyip,First 40,John Reivers,Matthew Muhlenkamp,6 Jun - 15:24:04,19:34:04,1.083,21:11:31,
16,63,GBR9922T,R&W,J/122,Andy Theobald,,6 Jun - 15:20:11,19:30:11,1.087,21:11:59,
17,62,GBR7384R,Sirens' Tigress,Reflex 38,Glenny / Child / Keam-George,Susan Glenny,6 Jun - 16:08:03,20:18:03,1.053,21:22:36,
18,61,GBR9949T,Fireball,First 40.7,Chris Clark,,6 Jun - 16:20:29,20:30:29,1.054,21:36:56,
19,60,GBR6504N,Talisman,Prima 38,Simon Harwood,,6 Jun - 16:06:43,20:16:43,1.067,21:38:14,
20,59,GBR8883R,Volunteer,First 40.7,Volunteer Yachting Ltd.,Royal Naval Reserve,6 Jun - 16:20:44,20:30:44,1.057,21:40:53,
21,58.5,GBR2311L,Zephyr,First 45,Marinos Pappas,,6 Jun - 15:42:36,19:52:36,1.094,21:44:42,
22,58,RUS404,Knyaz,A40,"Artem Brum, Radik Minibaev, Iskander Rakhimov",Boris Omelnitskiy,6 Jun - 16:09:13,20:19:13,1.074,21:49:26,
23,57.5,GBR8191R,British Soldier,J/111,Army Sailing Association,William Naylor,6 Jun - 15:47:50,19:57:50,1.098,21:55:13,
,10,GBR1471L,Inspire,Elan 410,Urban Truant,Russell Lake,,,1.064,,DNF-Did Not Finish
