# 2015 RORC Mainseries IRC Two - Cowes - Dinard - St Malo Race (Fri 10 Jul 15 09:30:00) - 39 boats - https://www.rorc.org/raceresults/2015/two09.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA43749,Nutmeg Solidaire En Peloton,MC 34,François Lognoné,Corentin Lognone,11 Jul - 04:00:29,18:30:29,1.052,19:28:14,
2,94,FRA56002,Motivé,Farr 30,Eric Basset,,11 Jul - 04:40:41,19:10:41,1.059,20:18:34,
3,90,FRA38568,Pintia,J/133,Gilles Fournier,,11 Jul - 04:09:40,18:39:40,1.095,20:26:02,
4,86,FRA122,Pen Azen,J/122,Daniel Collin,,11 Jul - 04:28:53,18:58:53,1.083,20:33:25,
5,83,56,Redshift,Figaro II,Ed Fishwick,2H,11 Jul - 04:45:48,19:15:48,1.079,20:47:06,
6,80,GBR8410R,Premier Flair,Elan 410,Jim Macgregor,,11 Jul - 05:13:29,19:43:29,1.071,21:07:31,
7,78,FRA36859,Stamina III,A 40,Michel Peretie,,11 Jul - 05:04:12,19:34:12,1.085,21:14:00,
8,76,FRA35402,Black Jack,J/133,Eric Gicquel,,11 Jul - 04:53:31,19:23:31,1.095,21:14:03,
9,74,GBR2215L,Quokka 8,Grand Soleil 43,Michael Boyd,,11 Jul - 04:49:24,19:19:24,1.099,21:14:11,
10,72,GBR8383R,Assassin,Prima 38,Mark Brown,Mark Brown & Justin Leese,11 Jul - 05:42:34,20:12:34,1.051,21:14:24,
11,70,GBR7041R,Anticipation,First 40.7,Peter Newlands,,11 Jul - 05:41:43,20:11:43,1.056,21:19:34,
12,68,GBR2806L,Winston Logic,First 40,Sailing Logic,Tim Scarisbrick,11 Jul - 05:21:59,19:51:59,1.074,21:20:11,
13,66,NED6586,Maverick,J/120,Chris Schram,2H,11 Jul - 05:44:07,20:14:07,1.055,21:20:54,
14,65,FRA9677,Orange mecaniX,X 41,Maxime de Mareuil,,11 Jul - 05:15:04,19:45:04,1.093,21:35:17,
15,64,GBR8883R,Volunteer,First 40.7,Volunteer Yachting Ltd.,Royal Naval Reserve,11 Jul - 05:56:05,20:26:05,1.057,21:35:58,
16,63,GBR9604R,Nunatak,J/120,Elin Haf Davies,2H,11 Jul - 05:59:29,20:29:29,1.055,21:37:06,
17,62,RUS404,Knyaz,A40,"Artem Brum, Radik Minibaev, Iskander Rakhimov",B Omelnitskiy/A Brum/R Minibaev/I Rakhimov,11 Jul - 05:42:31,20:12:31,1.074,21:42:15,
18,61,GBR4778R,EH01,First 47.7,Global Yacht Racing,Andy Middleton,11 Jul - 05:19:31,19:49:31,1.095,21:42:31,
19,60,GBR8405R,Southern Child,First 40,Performance Yacht Charter,Lucy Reynolds,11 Jul - 05:33:58,20:03:58,1.084,21:45:06,
20,59,GBR3213L,Dusty P,First 40,Stormforce Coaching,Jim Bennett,11 Jul - 05:45:09,20:15:09,1.080,21:52:22,
21,58.5,GBR1471L,Inspire,Elan 410,Urban Truant,Richard Beniston,11 Jul - 06:06:40,20:36:40,1.064,21:55:49,
22,58,GBR9922T,R&W,J/122,Andy Theobald,,11 Jul - 05:41:09,20:11:09,1.087,21:56:31,
23,57.5,GBR7384R,Sirens' Tigress,Reflex 38,Glenny / Child / Keam-George,Susan Glenny,11 Jul - 06:27:44,20:57:44,1.056,22:08:10,
24,57,GBR5502T,Swan Galiana,Swan 55 Yawl,Patrick Green,,11 Jul - 06:13:00,20:43:00,1.069,22:08:46,
25,56.5,GBR8409R,Galahad Logic,First 40,Sailing Logic,Allie Smith,11 Jul - 06:06:39,20:36:39,1.076,22:10:38,
26,56,GBR2630L,Saga,Hanse 531,Sailing GB,Andrew Brock,11 Jul - 05:45:39,20:15:39,1.099,22:16:00,
27,55.5,GBR7408R,Arthur Logic,First 40,Sailing Logic,Nick Martin,11 Jul - 06:18:52,20:48:52,1.070,22:16:17,
28,55,GBR1234L,Vixen,Swan 46 Mk II,John Spooner,Tim Aisher and George Spooner,11 Jul - 06:28:47,20:58:47,1.066,22:21:52,
29,54.5,GBR6840R,Lancelot II/ Not a Diamond,First 40,Sailing Logic,Matt Williams/Neil Harrison,11 Jul - 06:20:02,20:50:02,1.075,22:23:47,
30,54,NED8489,Westwind,Varianta 44,Zeezeilers van Marken,Siebe Schootstra,11 Jul - 06:32:37,21:02:37,1.071,22:32:16,
31,53.5,GBR3234L,Rocketdog 2,First 40,Sailing Logic,Moscow Sailing School,11 Jul - 06:39:29,21:09:29,1.068,22:35:48,
32,53,GBR7743R,Kestrel,Arcona 410,Simon Bamford,,11 Jul - 06:33:17,21:03:17,1.077,22:40:33,
33,52.5,GBR7727T,Ballistic,First 40.7,Trevor Greening,HOEOCA,11 Jul - 07:02:27,21:32:27,1.057,22:46:07,
34,52,GBR56069,Miss Tippy,Oyster 56,Brian Norton,,11 Jul - 06:54:11,21:24:11,1.064,22:46:22,
35,51.5,GBR2722R,Jolly Jellyfish,J/122,David Richards,2H,11 Jul - 06:54:04,21:24:04,1.081,23:08:05,
36,51,FRA38249,Egor Glaz,Opium 39,Jean-Luc Bizien-Jaglin,2H,11 Jul - 07:54:43,22:24:43,1.081,1 - 00:13:38,
37,50.5,GBR8750R,Bella of London,Grand Soleil 50,Mike Surridge,,11 Jul - 08:23:25,22:53:25,1.086,1 - 00:51:32,
38,50,FRA38517,Kerit,First 40,Bertrand du Sordet,,11 Jul - 08:59:51,23:29:51,1.064,1 - 01:00:05,
,10,77,Artemis 77,Figaro II,Artemis Offshore Academy,Will Harris & Sam Jacklin,,,1.079,,RET-Retired after Finishing
