# 2015 RORC Mainseries IRC Two - Channel Race (Sat 1 Aug 15 10:30:00) - 23 boats - https://www.rorc.org/raceresults/2015/two10.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GBR7041R,Anticipation,First 40.7,Peter Newlands,,2 Aug - 07:33:09,21:03:09,1.056,22:13:53,
2,94,GBR9604R,Nunatak,J/120,Elin Haf Davies,2H,2 Aug - 07:51:26,21:21:26,1.055,22:31:55,
3,90,GBR6671T,Blue Juice,First 40.7,Civil Service Offshore Racing Club,Simon Zavad,2 Aug - 08:01:15,21:31:15,1.058,22:46:09,
4,86,GBR2806L,Winston Logic,First 40,Sailing Logic,Tim Scarisbrick,2 Aug - 07:46:36,21:16:36,1.074,22:51:04,
5,83,GBR3213L,Dusty P,First 40,Stormforce Coaching,Jim Bennett,2 Aug - 07:41:24,21:11:24,1.080,22:53:07,
6,80,GBR1471L,Inspire,Elan 410,Urban Truant,Richard Beniston,2 Aug - 08:02:49,21:32:49,1.064,22:55:33,
7,78,GBR42N,La Réponse,First 40,Andrew McIrvine,,2 Aug - 07:39:26,21:09:26,1.084,22:56:04,
8,76,GBR8405R,Southern Child,First 40,Performance Yacht Charter,Lucy Reynolds,2 Aug - 07:39:28,21:09:28,1.084,22:56:06,
9,74,GBR7743R,Kestrel,Arcona 410,Simon Bamford,,2 Aug - 07:49:46,21:19:46,1.077,22:58:19,
10,72,GBR5951T,Northern Child,Swan 51,Performance Yacht Charter,Christian Reynolds,2 Aug - 07:55:00,21:25:00,1.073,22:58:48,
11,70,GBR8191R,British Soldier,J/111,Army Sailing Association,Tim Hill,2 Aug - 07:33:24,21:03:24,1.098,23:07:13,
12,68,GBR4778R,EH01,First 47.7,Global Yacht Racing,Andy Middleton,2 Aug - 07:37:42,21:07:42,1.095,23:08:08,
13,66,GBR8409R,Galahad Logic,First 40,Sailing Logic,Allie Smith,2 Aug - 08:01:28,21:31:28,1.076,23:09:37,
14,65,GBR2722R,Jolly Jellyfish,J/122,David Richards,2H,2 Aug - 08:05:02,21:35:02,1.081,23:19:56,
15,64,GBR9922T,R&W,J/122,Andy Theobald,,2 Aug - 08:00:08,21:30:08,1.087,23:22:22,
16,63,GBR2215L,Quokka 8,Grand Soleil 43,Michael Boyd,,2 Aug - 07:46:58,21:16:58,1.099,23:23:23,
17,62,FRA38778,Ubu 8,Pogo 30,Kevin Cortial,,2 Aug - 09:19:50,22:49:50,1.061,1 - 00:13:24,
18,61,GBR2311L,Zephyr,First 45,Marinos Pappas,,2 Aug - 09:01:21,22:31:21,1.094,1 - 00:38:23,
,10,GBR7384R,Sirens' Tigress,Reflex 38,Glenny / Child / Keam-George,Susan Glenny,,,1.056,,DNF-Did Not Finish
,10,GBR1234L,Vixen,Swan 46 Mk II,John Spooner,Tim Aisher and George Spooner,,,1.066,,DNF-Did Not Finish
,10,GBR7408R,Arthur Logic,First 40,Sailing Logic,Nick Martin,,,1.070,,DNF-Did Not Finish
,10,GBR5446C,Snatch,Swan 48,Adrian Lower & David Smith,,,,1.099,,DNF-Did Not Finish
,10,77,Artemis 77,Figaro II,Artemis Offshore Academy,Will Harris & Sam Jacklin,,,1.079,,RET-Retired after Finishing
