# 2015 RORC Mainseries IRC Two - Rolex Middle Sea Race (Sat 17 Oct 15 11:40:00) - 21 boats - https://www.rorc.org/raceresults/2015/two13.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,MLT2222,Artie,J/122,Lee Satariano,Lee Satariano/Christian Ripard,22 Oct - 02:51:00,4 - 15:11:00,1.088,5 - 00:58:03,
2,94,ITA1040,Canevel Spumanti,First 40 Cr,Costantin Manuele,,22 Oct - 04:52:04,4 - 17:12:04,1.081,5 - 02:22:13,
3,90,FRA78,SL Energies,J111,Laurant Charmy,,22 Oct - 04:41:47,4 - 17:01:47,1.086,5 - 02:45:01,
4,86,MLT142,Unica,Solaris,Jamie Sammut,,22 Oct - 05:17:53,4 - 17:37:53,1.092,5 - 04:05:08,
5,83,FRA27967,Jivaro,J/133,Yves Grosjean,,22 Oct - 05:31:46,4 - 17:51:46,1.100,5 - 05:14:57,
6,80,ITA333,Aurora,Canard 41,Paolo Bonomo,,22 Oct - 08:40:18,4 - 21:00:18,1.089,5 - 07:25:06,
7,78,RUS2711,Mirabelle Rosatom,Elan 350,Nikolay Drozdov,Pavel Savenko,22 Oct - 17:05:19,5 - 05:25:19,1.056,5 - 12:26:44,
8,76,TUR2028,Tekno Barrisol - Keyif 60,Grand Soleil 45,Elif Gumruk Mokran,Elif Gumruk Mokran,22 Oct - 18:10:47,5 - 06:30:47,1.059,5 - 13:58:38,
9,74,GBR2742R,Atame,Fastyacht Fast 42,Beppe Bisotto,2H,22 Oct - 16:04:38,5 - 04:24:38,1.084,5 - 14:51:40,
10,72,POR8307,Team Cascais,Dc 1200 Cr,Alexandre Kossack,,22 Oct - 17:40:19,5 - 06:00:19,1.071,5 - 14:57:06,
11,70,FRA9687,Imageconsole.com,J/122,Bernard McGranaghan,Bernard McGranaghan/David Crosbie,22 Oct - 17:48:37,5 - 06:08:37,1.082,5 - 16:29:15,
12,68,RUS14001,Jukebox,Imx 40,Mikhail Voronov,,22 Oct - 21:08:42,5 - 09:28:42,1.077,5 - 19:26:53,
13,66,GBR5951T,Northern Child - Performance Yacht Charter,Swan 51,Lucy Jones,,22 Oct - 21:47:22,5 - 10:07:22,1.073,5 - 19:37:18,
14,65,CZE517,Cassiopeia Hebe IV,Dufour 500 Gl,Zdenek Jakoubek,Jakub Havelka,23 Oct - 02:41:02,5 - 15:01:02,1.078,6 - 01:32:55,
15,64,RUS030,Gagarin,First 47.7,Alexey Moskvin,,23 Oct - 09:24:39,5 - 21:44:39,1.082,6 - 09:22:02,
,10,MLT445,Sigiriya,445Gl,Ian D'Arcy,,,,1.057,,DNF-Did Not Finish
,10,MLT1962,Du 4,Dufour 45,Cathal Drohann,,,,1.076,,DNF-Did Not Finish
,10,GBR1702T,Scarlet Oyster,Lightwave 48,Ross Applebey,Ross Applebey/Mark Burton,,,1.077,,DNF-Did Not Finish
,10,ITA4741,Sciara,First 44.7,Filippo Massimo Lancellotti,2H,,,1.086,,DNF-Did Not Finish
,10,MLT274,Team Wild Goose,Dufour 44,Dan Walsh,,,,1.089,,DNF-Did Not Finish
,10,GBR4778R,EH01,First 47.7,Global Yacht Racing,Andy Middleton,,,1.093,,DNF-Did Not Finish
