# 2015 RORC Mainseries IRC Two-Handed - Channel Race (Sat 1 Aug 15) - 11 boats - https://www.rorc.org/raceresults/2015/twohanded10.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,91,FRA38895,Night And Day,JPK 10.10,Pascal Loison,,,21:01:01,1.009,21:12:22,
2,85,FRA38902,Raging Bee,JPK 10.10,Louis-Marie Dussere,,,21:11:29,1.006,21:19:07,
3,81,GBR8287,Persephone of London,Sigma 38,Nigel Goodhew,,,21:49:08,0.982,21:25:34,
4,77,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,,21:34:54,1.003,21:38:47,
5,74,GBR9205R,Diablo-J,J/105,Nick Martin,,,21:41:17,1.006,21:49:05,
6,71,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,,,21:40:20,1.039,22:31:03,
7,69,GBR9604R,Nunatak,J/120,Elin Haf Davies,,,21:21:26,1.055,22:31:55,
8,67,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,,,23:49:18,0.957,22:47:50,
9,65,GBR795R,Ninjod,Sun Fast 3600,Paul Brant,,,21:57:55,1.040,22:50:38,
10,63,GBR2722R,Jolly Jellyfish,J/122,David Richards,,,21:35:02,1.081,23:19:56,
,10,77,Artemis 77,Figaro II,Artemis Offshore Academy,Will Harris & Sam Jacklin,,,1.079,,RET-Retired after Finishing
