# 2015 RORC Mainseries IRC Zero - Rolex Fastnet Race (Sun 16 Aug 15 13:40:00) - 13 boats - https://www.rorc.org/raceresults/2015/zero11.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,93,IVB72,Momo,Maxi 72,Momo Racing Ltd,Dieter Schoen,19 Aug - 06:57:33,2 - 17:17:33,1.606,4 - 08:51:35,
2,87,NED51,Tonnerre 4,Ker 51,Piet Vroon,Frank Gerber,19 Aug - 19:57:06,3 - 06:17:06,1.384,4 - 12:20:47,
3,83,GER7007,Black Pearl,Carkeek 47,Stefan Jentzsch,,19 Aug - 22:41:29,3 - 09:01:29,1.344,4 - 12:53:50,
4,79,CAY65,Caro,Botin IRC 65,Roccomare Ltd,Maximilian Klink,19 Aug - 19:14:34,3 - 05:34:34,1.458,4 - 17:06:21,
5,76,USA52599,Snow Lion,Ker 50,Lawrence Huntington,,20 Aug - 07:26:27,3 - 17:46:27,1.284,4 - 19:16:12,
6,73,USA2600,Siren,Reichel/Pugh 57,William Hubbard,,20 Aug - 05:41:13,3 - 16:01:13,1.337,4 - 21:40:59,
7,71,USA52560,Prospector,Farr 60,Larry Landry & Paul McDowell,Terence Glackin,20 Aug - 03:11:07,3 - 13:31:07,1.378,4 - 21:50:41,
8,69,GER6300,Haspa Hamburg,JV 52 Custom,Hamburgischer Verein Seefahrt,Georg Christiansen,20 Aug - 09:03:16,3 - 19:23:16,1.308,4 - 23:32:07,
9,67,US60006,Venomous,Carroll Marine 60,Windward Sailing,Derek Saunders,20 Aug - 06:09:58,3 - 16:29:58,1.355,4 - 23:55:00,
10,65,GBR7924R,Bristolian,Frers 93 Custom,Philip Rann,,20 Aug - 09:55:46,3 - 20:15:46,1.311,5 - 00:57:23,
,10,GER7001,Shakti,Ker 46,Christoph Avenarius and Gorm Gondesen,,,,1.282,,DNF-Did Not Finish
,10,GBR5200N,Sorcha,TP 52,Sorcha Yachting Ltd,Peter Harrison,,,1.390,,DNF-Did Not Finish
,10,USA60010,Lucky,Reichel/Pugh 63,Bryon Ehrhart,,,,1.513,,DNF-Did Not Finish
