# 2016 RORC Mainseries Class 40 - Entries: 23      Races Sailed: 13      Discard: 8 (None) - 23 boats - https://www.rorc.org/raceresults/2016/classfourtyos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR93,Concise 2,Class40,Tony Lawson,,,,,,
,,FRA113,Partouche,Class40,Christophe Coatnoan,,,,,,
,,NED141,Moonpalace,Class40,Adriaan van Oord,,,,,,
,,FRA147,Campagne De France,Class40,Halvard Mabire,,,,,,
,,ESP123,Tales II,Class40,Gonzalo Botin,,,,,,
,,SWE95,Talanta,Pogo 40S2,Mikael Rykin,,,,,,
,,GBR132,Silvi Belle 2,Class40,Mike Gascoyne,,,,,,
,,BEL107,Roaring Forty 2,Class40,Michel Kleinjans,,,,,,
,,AUT49,Vaquita,Class 40,Anemos Team Asd,,,,,,
,,FRA101,Colombre XL,Class40,Massimo Juris,,,,,,
,,CRO69,Waypoint,Pogo S1,Damir Chargo,,,,,,
,,FRA98,Creno Moustache Solidaire,Class40,Thibault Hector,,,,,,
,,ITA86,Patricia 2 Team Pogo,Pogo 40-1,Lucas Bertrand,,,,,,
,,GBR38,Fuji,Class40,Ari Kaensaekoski,,,,,,
,,FRA22,Voiles 44,Class40,Thierry Martias,,,,,,
,,GBR97,Fortissimo,Class40,James Close,,,,,,
,,GBR90,Mussulo 40,Class40,Jose Guilherme Caldas,,,,,,
,,RSA23,Arwen,Class40,Austen Clark,,,,,,
,,FRA140,Sensation Class 40.2,Sabrosa 40 Mk2,Marc Lepesqueux,,,,,,
,,FRA103,Kinetik III,Class40,Jean-marie Loirat,,,,,,
,,FRA50,Simple Ve,Class40,Lemee Bertrand,,,,,,
,,GBR129,Concise 8,Class40,Tony Lawson,,,,,,
,,NED109,Masai,Class40,Ben Korner,,,,,,
