# 2016 IRC National Championship - IRC Two - Entries: 19      Races Sailed: 8      Discard: 1 (None) - 19 boats - https://www.rorc.org/raceresults/2016/ircnats-twoos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR4863R,Yes!,JPK 1080+,Adam Gosling,,,,1.052,,
,,GBR42N,La Réponse,First 40,Andrew McIrvine,,,,1.085,,
,,NED6169,Elke,First 40,Frans Rodenburg,,,,1.087,,
,,FRA43855,J Lance 12,J/112,Frederic Bouvier,,,,1.044,,
,,FRA43831,Timeline,JPK 10.80,Marc Alperovitch,,,,1.046,,
,,GBR73R,Salvo,Jnd 35,Peter Morton,,,,1.059,,
,,FRA38418,Audrey,JPK 10.80,Michael Boyd,,,,1.044,,
,,GBR8410R,Premier Flair,Elan 410,Jim Macgregor,,,,1.072,,
,,FRA43791,Shaitan,JPK 10.80,Jean-Eudes Renier,,,,1.043,,
,,GBR1010L,Xinska,X 40,Bernard Olesinski,,,,1.069,,
,,GBR4070L,Incognito,First 40.7,Paul McNamara & Tony Lowe,,,,1.050,,
,,GBR9922T,R&W,J/122,Andy Theobald,,,,1.084,,
,,GBR7938R,Al Fresco,Prima 38,Allan Meredith,,,,1.079,,
,,GBR3213L,Dusty P,First 40,Richard Patrick,,,,1.076,,
,,GBR7207T,Playing Around,First 40.7,Nick Rawbone,,,,1.053,,
,,GBR8405R,Southern Child,First 40,Performance Yacht Charter,,,,1.085,,
,,GBR7384R,Sirens' Tigress,Reflex 38,Glenny / Child / Keam-George,,,,1.055,,
,,GBR714R,Kratos,First 40,Robert Martin,,,,1.076,,
,,GBR9235R,Mad Max,Max Fun 35,Andy Williams,,,,1.086,,
