# 2016 RORC Mainseries IRC Overall - Cowes Dinard St Malo Race (Fri 8 Jul 16) - 77 boats - https://www.rorc.org/raceresults/2016/ircoverall10.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA1953,Sfs II,Vor 70,Lionel Pean,0,,14:33:03,1.647,23:57:55,
2,94,FRA38568,Pintia,J/133,Gilles Fournier,0,,22:08:08,1.092,1 - 00:10:19,
3,90,FRA43857,L'Ange De Milon,Milon 41,Jacques Pelletier,0,,21:53:58,1.118,1 - 00:29:01,
4,86,GBR236R,Erivale III,Ker 39,Michael Greville,0,,22:12:11,1.116,1 - 00:46:43,
5,83,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,0,,23:37:30,1.064,1 - 01:08:13,
6,80,FRA35800,Iritis,First 40,Herve Benic,0,,23:43:54,1.080,1 - 01:37:49,
7,78,RP45,Katsu,RP 45,Alan Hannon,0,,20:50:07,1.243,1 - 01:53:54,
8,76,GBR741R,Hooligan VII,Ker 40,Edward Broadway,0,,21:57:29,1.191,1 - 02:09:07,
9,74,GBR4947R,Lisa,First 44.7,Nicholas Jones,0,,1 - 00:24:27,1.101,1 - 02:52:22,
10,72,FRA43799,Grain De Soleil 6,Vismara 40,Svilarich Nicolas,0,,1 - 00:26:29,1.100,1 - 02:53:08,
11,70,GBR7122X,Juno,J/122e,Christopher Daniel,0,,1 - 00:39:04,1.091,1 - 02:53:40,
12,68,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,0,,1 - 03:05:16,1.003,1 - 03:10:09,
13,66,FRA43831,Timeline,JPK 10.80,Marc Alperovitch,0,,1 - 02:17:55,1.046,1 - 03:30:30,
14,65,FRA43645,Dream Pearls,JPK 10.80,Arnaud Delamare and Eric Mordret,0,,1 - 02:44:09,1.043,1 - 03:53:08,
15,64,GBR529R,Just So,J/109,David McGough,0,,1 - 03:47:45,1.007,1 - 03:59:25,
16,63,GBR7408R,Arthur Logic,First 40,Sailing Logic,0,,1 - 02:10:37,1.070,1 - 04:00:34,
17,62,FRA43749,Nutmeg Solidaire En Peloton,MC 34,François Lognoné,0,,1 - 02:29:47,1.058,1 - 04:01:59,
18,61,FRA45001,Bretagne Telecom,Mach 45,Nicolas Groleau,0,,20:40:38,1.356,1 - 04:02:18,
19,60,FRA43791,Shaitan,JPK 10.80,Jean-Eudes Renier,2H,,1 - 02:57:36,1.043,1 - 04:07:09,
20,59,GBR759R,Eclectic,Azuree 46,Colin Campbell,0,,1 - 00:52:02,1.132,1 - 04:08:59,
21,58.5,GBR562R,Night Owl II,Mat 12,Ed Hall,0,,1 - 00:47:15,1.136,1 - 04:09:31,
