# 2016 RORC Mainseries IRC Overall - Channel Race (Sat 30 Jul 16) - 35 boats - https://www.rorc.org/raceresults/2016/ircoverall11.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,GER7001,Shakti,Ker 46,Christoph Avenarius and Gorm Gondesen,,,12:35:36,1.282,16:08:41,
2,94,GBR4947R,Lisa,First 44.7,Nicholas Jones,,,15:25:50,1.101,16:59:21,
3,90,RP45,Katsu,RP 45,Alan Hannon,,,13:49:23,1.243,17:10:55,
4,86,NED51,Tonnerre 4,Ker 51,Piet Vroon,,,12:37:25,1.390,17:32:49,
5,83,GBR521R,Bob,Farr 52,Stephen Durkin,,,13:37:45,1.317,17:56:59,
6,80,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,,15:38:16,1.191,18:37:29,
7,78,GBR7735R,Eaujet,A 35,Richard Elliott,,,18:28:25,1.024,18:55:01,
8,76,GBR5936R,Game On,Sun Fast 3600,Ian Hoddle,2H,,18:20:30,1.040,19:04:31,
9,74,GBR9922T,R&w,J/122,Andy Theobald,,,17:36:08,1.084,19:04:51,
10,72,GBR3657L,Bellino,Sun Fast 3600,Rob Craigie,2H,,18:35:38,1.039,19:19:09,
11,70,GBR100,Artemis Ocean Racing,IMOCA 60,Artemis Ocean Racing,,,12:06:30,1.600,19:22:24,
12,68,GBR7408R,Arthur Logic,First 40,Sailing Logic,,,18:15:23,1.070,19:32:04,
13,66,CHI-11,Sanya Lan,Volvo Open 70,Harm Prins,,,11:51:33,1.654,19:36:54,
14,65,FRA43645,Dream Pearls,JPK 10.80,Arnaud Delamare and Eric Mordret,,,19:40:45,1.043,20:31:31,
15,64,GBR236R,Erivale III,Ker 39,Michael Greville,,,18:23:51,1.116,20:31:54,
16,63,FRA38418,Audrey,JPK 10.80,Michael Boyd,,,19:43:00,1.043,20:33:52,
17,62,GBR9604R,Nunatak,J/120,Elin Haf Davies and Chris Frost,2H,,19:55:26,1.056,21:02:23,
18,61,NED118,Winsome,S&S 41,Harry J. Heijst,,,21:42:37,0.989,21:28:17,
19,60,GBR8809R,Mojo Risin',J/109,J/109 Racing Limited,,,21:17:42,1.009,21:29:12,
20,59,GBR8191R,British Soldier,J/111,Army Sailing Association,,,19:47:05,1.093,21:37:29,
21,58.5,GBR5253,Silver Shamrock,Shamrock 1/2 Ton Prototype,Stuart Greenfield,2H,,1 - 00:38:36,0.884,21:47:05,
22,58,NED6586,Maverick,J/120,Chris Schram,2H,,20:57:49,1.053,22:04:29,
23,57.5,FRA38902,Raging Bee,JPK 10.10,Louis-Marie Dussere,2H,,22:03:44,1.006,22:11:41,
24,57,GBR9205R,Diablo-j,J/105,Nick Martin,2H,,22:06:03,1.005,22:12:41,
25,56.5,GBR6709R,J-T'Aime,J/109,Christopher Palmer,,,22:05:53,1.011,22:20:28,
26,56,GBR795R,Ninjod,Sun Fast 3600,Paul Brant,2H,,21:35:40,1.037,22:23:36,
27,55.5,MLT105,Bigfoot,J/105,Robert Nelson,2H,,22:32:12,0.997,22:28:09,
28,55,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,2H,,1 - 00:20:13,0.956,23:15:58,
29,54.5,GBR1751T,Spellbinder Of Wytch,Starlight 39,Phoenix Yacht Club,,,1 - 01:02:47,0.944,23:38:38,
30,54,GBR8342,Inspiration Of Boss,Sigma 38,Peter Ellis,,,1 - 00:10:22,0.982,23:44:16,
31,53.5,GBR3923L,Merlin,First 40,Lucy Jones,,,22:07:02,1.074,23:45:14,
32,53,GBR8380R,Elixir,Elan 380,Felicity Gabbay,2H,,23:20:51,1.023,23:53:04,
33,52.5,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,2H,,1 - 00:25:15,0.997,1 - 00:20:51,
34,52,GBR4081L,Julia,Oceanis 55,Richard Neocleous,,,22:36:03,1.097,1 - 00:47:35,
35,51.5,GBR1889L,Purple Mist,Sun Odyssey 36 I 1.94,Katherine Cope,,,1 - 02:03:11,0.976,1 - 01:25:40,
