# 2016 RORC Mainseries IRC Overall - Ile d'Ouessant Race (Sun 14 Aug 16) - 36 boats - https://www.rorc.org/raceresults/2016/ircoverall12.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,100,FRA38757,Teasing Machine,A13,Eric de Turckheim,,,2 - 07:24:50,1.169,2 - 16:46:44,
2,94,GER7001,Shakti,Ker 46,Christoph Avenarius and Gorm Gondesen,,,2 - 05:07:58,1.282,2 - 20:06:58,
3,90,NED51,Tonnerre 4,Ker 51,Piet Vroon,,,2 - 01:57:09,1.390,2 - 21:26:02,
4,86,FRA38895,Night And Day,JPK 10.10,Pascal Loison,2H,,2 - 23:42:11,1.002,2 - 23:50:47,
5,83,RP45,Katsu,RP 45,Alan Hannon,,,2 - 10:11:25,1.243,3 - 00:19:50,
6,80,FRA38902,Raging Bee,JPK 10.10,Louis-Marie Dussere,2H,,3 - 00:28:09,1.006,3 - 00:54:14,
7,78,FRA37310,Foggy Dew,JPK 10.10,Noel Racine,,,3 - 01:08:24,1.003,3 - 01:21:34,
8,76,GBR958R,Jangada,JPK 10.10,Richard Palmer,2H,,3 - 03:39:42,1.009,3 - 04:20:33,
9,74,FRA38418,Audrey,JPK 10.80,Michael Boyd,,,3 - 01:12:28,1.043,3 - 04:21:21,
10,72,GBR1702T,Scarlet Oyster,Oyster 48,Ross Applebey,,,3 - 00:16:52,1.062,3 - 04:45:45,
11,70,IRL1471,Bam,Jeaneau Sunfast 3600,Conor Fogerty,,,3 - 02:12:11,1.036,3 - 04:52:28,
12,68,GBR2722R,Jolly Jellyfish,J/122,David Richards,,,2 - 23:37:14,1.081,3 - 05:25:19,
13,66,GBR4947R,Lisa,First 44.7,Nicholas Jones,,,2 - 22:21:58,1.101,3 - 05:28:23,
14,65,GBR741R,Hooligan VII,Ker 40,Edward Broadway,,,2 - 17:14:01,1.191,3 - 05:41:36,
15,64,GBR8405R,Southern Child,First 40,Susan Glenny,,,2 - 23:57:22,1.085,3 - 06:04:21,
16,63,GBR100,Artemis Ocean Racing,IMOCA 60,Artemis Ocean Racing,,,2 - 00:56:18,1.600,3 - 06:18:05,
17,62,MLT105,Bigfoot,J/105,Robert Nelson,2H,,3 - 06:49:32,0.997,3 - 06:35:21,
18,61,GBR9205R,Diablo-j,J/105,Nick Martin,2H,,3 - 07:29:40,1.005,3 - 07:53:31,
19,60,GBR236R,Erivale III,Ker 39,Michael Greville,,,2 - 23:39:23,1.116,3 - 07:58:07,
20,59,GBR7408R,Arthur Logic,First 40,Sailing Logic,,,3 - 03:13:08,1.070,3 - 08:29:03,
21,58.5,GBR759R,Eclectic,Azuree 46,Colin Campbell,,,3 - 00:08:51,1.132,3 - 09:40:15,
22,58,GBR123,Xara,Swan Sr 38,Jonathan Rolls,,,3 - 15:23:59,0.938,3 - 09:58:51,
23,57.5,ESP10315,Stamina,Jnd 39,Michel Peretie,,,3 - 00:46:06,1.129,3 - 10:09:20,
24,57,GBR5253,Silver Shamrock,Shamrock 1/2 Ton Prototype,Stuart Greenfield,2H,,3 - 21:03:29,0.884,3 - 10:15:48,
25,56.5,GBR8191R,British Soldier,J/111,Army Sailing Association,,,3 - 03:29:17,1.093,3 - 10:30:30,
26,56,GBR6504N,Talisman,Prima 38,Simon Harwood,,,3 - 06:40:55,1.066,3 - 11:52:30,
27,55.5,GBR5963T,Pyxis,X 332,Kirsteen Donaldson,2H,,3 - 21:14:08,0.956,3 - 17:07:59,
,10,GBR1215N,Surprise,Sweden Yachts 390,Simon Janion,,,,0.959,,DNF-Did Not Finish
,10,GBR8799T,Wild Spirit,Sun Odyssey 40,Paul Jackson,,,,0.981,,DNF-Did Not Finish
,10,GBR9030R,May Contain Nuts,Whitbread 30,Kevin Rolfe,,,,0.995,,DNF-Did Not Finish
,10,FRA43653,Nirvana,Sun Fast 3200,Keith Thompson,2H,,,0.997,,DNF-Did Not Finish
,10,USA60507,Bonfire IV,J/109,Island Charters,2H,,,1.009,,DNF-Did Not Finish
,10,GBR8380R,Elixir,Elan 380,Felicity Gabbay,2H,,,1.023,,DNF-Did Not Finish
,10,GBR7735R,Eaujet,A 35,Richard Elliott,2H,,,1.024,,DNF-Did Not Finish
,10,NED6586,Maverick,J/120,Chris Schram,2H,,,1.053,,DNF-Did Not Finish
,10,56,Redshift,Figaro II,Ed Fishwick,2H,,,1.071,,DNF-Did Not Finish
