# 2016 RORC Mainseries Multihull - Entries: 17      Races Sailed: 9      Discard: 4 (None) - 17 boats - https://www.rorc.org/raceresults/2016/multihullos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,3,Phaedo 3,MOD70,Lloyd Thornburg,,,,1.980,,
,,GBR70,Concise 10,MOD 70,Tony Lawson,,,,1.983,,
,,OMA07,Musandam-Oman Sail,MOD 70,Musandam-Oman Sail,,,,1.984,,
,,BEL666,Zed 6,Prototype Catamaran Ts42,Gerald Bibot,,,,1.231,,
,,GBR788M,Hissy Fit,Dazcat 1495,Simon Baker,,,,1.228,,
,,ITA0000,Maserati,MOD70,Giovanni Soldini,,,,2.014,,
,,83,Ciela Village,Multi 50,Thierry Bouchard,,,,1.705,,
,,USA6203,Zenyatta,Gunboat 62,Jonathan Bush,,,,1.239,,
,,USA82946,Lucky Strike,Newick 50,Fred Ball,,,,1.314,,
,,GBR725M,Bare Necessities,Dazcat D1150,Bruce Sutherland,,,,1.221,,
,,GBR741M,Suenos,Dazcat 1195,Rupert Kidd,,,,1.167,,
,,FRA177,No Limit,Outremer 5x Racing,Marilley Yann,,,,1.373,,
,,GBR708M,Heimatau,Farrier F36,Tom McLuskie,,,,1.113,,
,,55,Pir² Port De Fécamp,Multi 50,Etienne Hochede,,,,1.442,,
,,FRA38534,Dire Straits,Catamaran,Antoine Monsifrot,,,,1.422,,
,,GBR666M,Dazzla,Dazcat 46,Michael Butterfield,,,,1.999,,
,,FRA05,Trilogic,TRI 50,Hugo Karlsson-Smythe,,,,1.489,,
