# 2016 RORC Easter Challenge - Fast 40+ - Entries: 10      Races Sailed: 5 (None) - 10 boats - https://www.rorc.org/raceresults/2016/rec-fastfortyos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,USA61137,Otra Vez,Ker 43 Custom,William Coates,,,,1.270,,
,,GBR1851X,Invictus,Ker 40+,Sir Keith Mills,,,,1.270,,
,,GBR50R,Girls On Film,Carkeek 40 Mk3,Peter Morton,,,,1.270,,
,,IRL708,Antix,Ker 40,Anthony O'Leary,,,,1.215,,
,,GBR8449R,Rebellion,Carkeek 40 Mk 2,Stewart Whitehead,,,,1.267,,
,,SUI19,Jubilee,GP 42,Tony Dickin,,,,1.245,,
,,GBR1682R,Tokoloshe II,GP 42,Michael Bartholomew,,,,1.264,,
,,GBR1542R,42° South,GP 42,Mark Rijkse,,,,1.260,,
,,GBR4242C,Zephyr,GP 42,Steve Cowie,,,,1.266,,
,,GBR4921R,Ino XXX,HH 422,James Neville,,,,1.228,,
