# 2016 RORC Easter Challenge - IRC Three - Entries: 12      Races Sailed: 5 (None) - 12 boats - https://www.rorc.org/raceresults/2016/rec-threeos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR888X,Sunrise,Jpk 1080,Tom Kneen,,,,1.046,,
,,GBR1250N,Strait Dealer,JPK 10.10,David Franks,,,,1.012,,
,,GBR1466R,Diamond Jem,J/109,Robert Stiles,,,,1.022,,
,,GBR979R,Malice,HOD 35,Mike Moxley,,,,1.022,,
,,GBR667R,Space Race,First 40.7,Jonathan Blanshard,,,,1.051,,
,,GBR8383R,Assassin,Prima 38,Mark Brown,,,,1.050,,
,,GBR8541R,Jolly Jack Tar,J/109,RNSA,,,,1.011,,
,,FRA35080,Dunkerque - Les Dunes de Flandre,A35,Benoit D'halluin,,,,1.031,,
,,GBR7005R,Trojan Of Upnor,J109,Jason West,,,,1.023,,
,,GBR7906R,Party,First 35,Claire Turner,,,,1.014,,
,,GBR8809R,Mojo risin',J/109,J/109 Racing Limited,,,,1.009,,
,,GBR3033L,Rigit on Wild Child,Corby 30,Brian Wilkinson,,,,1.000,,
